연도,행정구,폐업수,사업체수,폐업률
2023,강서구,3755,9501,39.52
2023,금정구,3645,12451,29.27
2023,기장군,3429,10411,32.94
2023,남구,4104,12825,32
2023,동구,2212,6680,33.11
2023,동래구,4195,15140,27.71
2023,부산진구,7057,23860,29.58
2023,북구,3486,11448,30.45
2023,사상구,3927,10986,35.75
2023,사하구,4102,13744,29.85
2023,서구,1434,5024,28.54
2023,수영구,3856,12370,31.17
2023,연제구,3616,12332,29.32
2023,영도구,1360,4755,28.6
2023,중구,1892,6568,28.81
2023,해운대구,8005,22211,36.04
2024,강서구,4123,9752,42.28
2024,금정구,3503,12323,28.43
2024,기장군,3421,10572,32.36
2024,남구,3956,13024,30.37
2024,동구,2126,6767,31.42
2024,동래구,4149,15261,27.19
2024,부산진구,7315,24283,30.12
2024,북구,3403,11474,29.66
2024,사상구,3730,10988,33.95
2024,사하구,4046,13794,29.33
2024,서구,1451,5040,28.79
2024,수영구,3702,12646,29.27
2024,연제구,3609,12593,28.66
2024,영도구,1459,4725,30.88
2024,중구,1870,6455,28.97
2024,해운대구,7301,22363,32.65
2025,강서구,3850,9883,38.96
2025,금정구,3365,12104,27.8
2025,기장군,3200,10668,30
2025,남구,3676,13028,28.22
2025,동구,2277,6778,33.59
2025,동래구,4090,15345,26.65
2025,부산진구,6911,24350,28.38
2025,북구,3275,11296,28.99
2025,사상구,3533,10824,32.64
2025,사하구,3797,13686,27.74
2025,서구,1456,5006,29.09
2025,수영구,3515,12976,27.09
2025,연제구,3648,12598,28.96
2025,영도구,1374,4638,29.62
2025,중구,1746,6301,27.71
2025,해운대구,6938,22481,30.86
