연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202301,강서구,116492,3381336,2415172,5913000
202301,금정구,11984,2425745,3791823,6229552
202301,기장군,44563,3759980,2862748,6667291
202301,남구,46794,2470836,4333217,6850847
202301,동구,37029,2645570,1401824,4084423
202301,동래구,7455,3174882,4236452,7418789
202301,부산진구,50664,6058770,6440102,12549536
202301,북구,5926,2144142,4574059,6724127
202301,사상구,11949,2321249,2919472,5252670
202301,사하구,36967,2026636,4400998,6464601
202301,서구,33408,1644464,1630086,3307958
202301,수영구,17392,3214071,2965823,6197286
202301,연제구,12887,2504044,2852098,5369029
202301,영도구,56970,1572354,1859932,3489256
202301,중구,50397,3278177,1179832,4508406
202301,해운대구,53176,5661530,7299950,13014656
202302,강서구,132639,3097090,2259870,5489599
202302,금정구,11477,2179468,3462266,5653211
202302,기장군,50147,3151040,2646168,5847355
202302,남구,54040,2225542,3995814,6275396
202302,동구,35401,2521082,1309416,3865899
202302,동래구,6128,2723371,3867070,6596569
202302,부산진구,49318,5580239,5950742,11580299
202302,북구,5734,1752152,4177590,5935476
202302,사상구,12544,2080824,2693064,4786432
202302,사하구,37558,1741194,4084244,5862996
202302,서구,37866,1528555,1495246,3061667
202302,수영구,17276,2914562,2700131,5631969
202302,연제구,10594,2190808,2602733,4804135
202302,영도구,50214,1414186,1705872,3170272
202302,중구,50709,3029810,1088878,4169397
202302,해운대구,55482,5216491,6631300,11903273
202303,강서구,135031,3563840,2591652,6290523
202303,금정구,14381,3009496,3912174,6936051
202303,기장군,48588,3456495,3021106,6526189
202303,남구,60409,2980411,4502900,7543720
202303,동구,59195,2688066,1495708,4242969
202303,동래구,7757,3161700,4380008,7549465
202303,부산진구,67312,6294806,6666142,13028260
202303,북구,6647,2061300,4693073,6761020
202303,사상구,17493,2669107,3010270,5696870
202303,사하구,42942,2157662,4705348,6905952
202303,서구,43374,1836712,1721738,3601824
202303,수영구,27386,3131446,3043369,6202201
202303,연제구,11027,2560562,2939948,5511537
202303,영도구,63213,1678982,1925651,3667846
202303,중구,77821,3369100,1235941,4682862
202303,해운대구,83672,5414857,7480700,12979229
202304,강서구,243693,3443132,2497232,6184057
202304,금정구,32318,2328448,3665739,6026505
202304,기장군,108049,3528004,2874554,6510607
202304,남구,123558,2306836,4264354,6694748
202304,동구,145739,2636410,1398880,4181029
202304,동래구,14731,2947248,4141658,7103637
202304,부산진구,143108,5626348,6289108,12058564
202304,북구,14542,1958310,4450012,6422864
202304,사상구,37593,2211646,2844572,5093811
202304,사하구,101149,1807456,4335188,6243793
202304,서구,99493,1609363,1591300,3300156
202304,수영구,66032,3010872,2873552,5950456
202304,연제구,22416,2347572,2766722,5136710
202304,영도구,127912,1487213,1810361,3425486
202304,중구,177129,3179404,1161279,4517812
202304,해운대구,199285,5293841,7082600,12575726
202305,강서구,241891,3519089,2729020,6490000
202305,금정구,29645,2552042,4173900,6755587
202305,기장군,104323,3718340,3083745,6906408
202305,남구,103561,2503490,4745132,7352183
202305,동구,125782,2833418,1525867,4485067
202305,동래구,17069,3136402,4447922,7601393
202305,부산진구,140007,6097956,6827163,13065126
202305,북구,13417,2087561,4727751,6828729
202305,사상구,34492,2340782,3131037,5506311
202305,사하구,96103,1920348,4578318,6594769
202305,서구,95125,1735052,1749030,3579207
202305,수영구,59591,3195052,3058450,6313093
202305,연제구,23595,2487758,2947766,5459119
202305,영도구,128120,1666416,2017004,3811540
202305,중구,160783,3404516,1259458,4824757
202305,해운대구,181921,5748760,7575799,13506480
202306,강서구,242018,3367434,2499091,6108543
202306,금정구,23244,2333202,3630904,5987350
202306,기장군,100942,3456026,2999986,6556954
202306,남구,89154,2397528,4137777,6624459
202306,동구,115954,2746538,1387407,4249899
202306,동래구,15641,3018844,3952627,6987112
202306,부산진구,136524,5758868,6374302,12269694
202306,북구,14267,1919232,4481050,6414549
202306,사상구,26599,2196124,2510932,4733655
202306,사하구,92553,1800082,4084322,5976957
202306,서구,99061,1698694,1587509,3385264
202306,수영구,56902,3155936,2778699,5991537
202306,연제구,22469,2357509,1475736,3855714
202306,영도구,112657,1609230,1909618,3631505
202306,중구,149970,3261139,1211147,4622256
202306,해운대구,197304,5529534,7128331,12855169
202307,강서구,242755,3359402,2536726,6138883
202307,금정구,23972,2325404,3518806,5868182
202307,기장군,100863,3576360,3018460,6695683
202307,남구,87686,2414755,4069152,6571593
202307,동구,111755,2844975,1414644,4371374
202307,동래구,17031,3096513,4007899,7121443
202307,부산진구,131426,6025460,6431344,12588230
202307,북구,17919,1978630,4622415,6618964
202307,사상구,26602,2243437,2525362,4795401
202307,사하구,83235,1883049,4140294,6106578
202307,서구,89516,1692285,1569197,3350998
202307,수영구,51106,3371214,2841258,6263578
202307,연제구,26877,2448593,1486020,3961490
202307,영도구,119671,1607130,1887074,3613875
202307,중구,142931,3225271,1222252,4590454
202307,해운대구,186103,6127496,7275110,13588709
202308,강서구,259951,3404012,2510476,6174439
202308,금정구,30722,2361569,3452004,5844295
202308,기장군,117773,3709024,2985514,6812311
202308,남구,102546,2459936,4024038,6586520
202308,동구,127809,2906617,1400476,4434902
202308,동래구,18657,3124544,3940083,7083284
202308,부산진구,146520,5966730,6404440,12517690
202308,북구,19773,1973590,4537544,6530907
202308,사상구,33547,2240637,2556648,4830832
202308,사하구,88841,1940816,4127232,6156889
202308,서구,97266,1746314,1560370,3403950
202308,수영구,54871,3462904,2825025,6342800
202308,연제구,30784,2584736,1658664,4274184
202308,영도구,148060,1669325,1880172,3697557
202308,중구,166161,3354827,1208546,4729534
202308,해운대구,188711,6150130,7236106,13574947
202309,강서구,279564,3337716,2475910,6093190
202309,금정구,36534,2952299,3458602,6447435
202309,기장군,121791,3456929,2918510,6497230
202309,남구,117526,2868628,3986052,6972206
202309,동구,138163,2741504,1334554,4214221
202309,동래구,15146,3214960,3907792,7137898
202309,부산진구,167131,6192795,6241364,12601290
202309,북구,16702,2165768,4584094,6766564
202309,사상구,40670,2612032,2537374,5190076
202309,사하구,98604,2245562,4109287,6453453
202309,서구,115238,1824599,1525380,3465217
202309,수영구,65425,3174888,2757184,5997497
202309,연제구,27910,2752810,1814312,4595032
202309,영도구,146936,1738328,1848780,3734044
202309,중구,187681,3402172,1166274,4756127
202309,해운대구,221263,5610644,7057589,12889496
202310,강서구,308542,3380002,2685074,6373618
202310,금정구,44259,2529418,3889060,6462737
202310,기장군,147329,3580612,3088386,6816327
202310,남구,166076,2546960,4361158,7074194
202310,동구,182999,2954466,1473650,4611115
202310,동래구,21002,3148271,4303260,7472533
202310,부산진구,183008,6016882,6546897,12746787
202310,북구,16047,2003484,4902132,6921663
202310,사상구,41635,2331704,2992378,5365717
202310,사하구,117741,2011716,4517268,6646725
202310,서구,132068,1774986,1645322,3552376
202310,수영구,85788,3154774,2958112,6198674
202310,연제구,30753,2633785,2236381,4900919
202310,영도구,179541,1651209,1936557,3767307
202310,중구,216902,3549234,1214384,4980520
202310,해운대구,280030,5709165,7493748,13482943
202311,강서구,265238,3048248,2603212,5916698
202311,금정구,38242,2347972,3967355,6353569
202311,기장군,113540,2953111,2997330,6063981
202311,남구,125690,2439188,4357878,6922756
202311,동구,150498,2733493,1421094,4305085
202311,동래구,19060,2921628,4140322,7081010
202311,부산진구,158846,5701028,6484639,12344513
202311,북구,15475,1845750,4786271,6647496
202311,사상구,35331,2214398,2946146,5195875
202311,사하구,98613,1824182,4495974,6418769
202311,서구,110665,1596794,1640230,3347689
202311,수영구,66350,2876500,2842438,5785288
202311,연제구,29096,2480006,2165292,4674394
202311,영도구,130366,1413062,1970787,3514215
202311,중구,187783,3227424,1209848,4625055
202311,해운대구,203472,5269306,7334750,12807528
202312,강서구,236585,3070032,2450938,5757555
202312,금정구,24751,2334283,3794368,6153402
202312,기장군,98421,3245305,2906382,6250108
202312,남구,92804,2452314,4137476,6682594
202312,동구,117603,2792982,1346905,4257490
202312,동래구,12114,3117726,4004840,7134680
202312,부산진구,124542,6037899,6314588,12477029
202312,북구,13990,1964680,4686339,6665009
202312,사상구,27289,2255270,2803367,5085926
202312,사하구,86438,1881530,4204137,6172105
202312,서구,92705,1617763,1576180,3286648
202312,수영구,45566,3092446,2680478,5818490
202312,연제구,21137,2697128,2080796,4799061
202312,영도구,96372,1582710,1902425,3581507
202312,중구,151456,3696038,1173400,5020894
202312,해운대구,154263,5871428,7162222,13187913
202401,강서구,226453,3231204,2534770,5992427
202401,금정구,19690,2248830,3674706,5943226
202401,기장군,85268,3123456,2928944,6137668
202401,남구,80265,2385982,4088147,6554394
202401,동구,86228,2820692,1363180,4270100
202401,동래구,12546,3027154,4034961,7074661
202401,부산진구,112648,6021694,6333792,12468134
202401,북구,12862,1898540,4715428,6626830
202401,사상구,25271,2212220,2803416,5040907
202401,사하구,68800,1875650,4113862,6058312
202401,서구,80415,1638749,1605348,3324512
202401,수영구,37564,3046344,2607850,5691758
202401,연제구,24669,2660452,1605110,4290231
202401,영도구,92840,1508941,1888628,3490409
202401,중구,113243,3293752,1206814,4613809
202401,해운대구,126553,5493033,7337827,12957413
202402,강서구,256754,3181034,2230392,5668180
202402,금정구,20307,2456643,3353798,5830748
