연월,지역명,체류시간(분)
202201,강서구,705
202201,금정구,1161
202201,기장군,636
202201,남구,1292
202201,동구,593
202201,동래구,1244
202201,부산진구,899
202201,북구,1431
202201,사상구,1073
202201,사하구,1671
202201,서구,868
202201,수영구,884
202201,연제구,1084
202201,영도구,780
202201,중구,359
202201,해운대구,1054
202202,강서구,659
202202,금정구,1103
202202,기장군,592
202202,남구,1249
202202,동구,565
202202,동래구,1088
202202,부산진구,836
202202,북구,1208
202202,사상구,979
202202,사하구,1513
202202,서구,900
202202,수영구,842
202202,연제구,940
202202,영도구,751
202202,중구,368
202202,해운대구,1005
202203,강서구,822
202203,금정구,2222
202203,기장군,773
202203,남구,2199
202203,동구,623
202203,동래구,1260
202203,부산진구,1288
202203,북구,1700
202203,사상구,1492
202203,사하구,2208
202203,서구,1180
202203,수영구,1060
202203,연제구,1235
202203,영도구,1514
202203,중구,475
202203,해운대구,1278
202204,강서구,575
202204,금정구,857
202204,기장군,550
202204,남구,1007
202204,동구,471
202204,동래구,908
202204,부산진구,739
202204,북구,1061
202204,사상구,823
202204,사하구,1362
202204,서구,807
202204,수영구,697
202204,연제구,843
202204,영도구,846
202204,중구,388
202204,해운대구,906
202205,강서구,586
202205,금정구,923
202205,기장군,553
202205,남구,1079
202205,동구,437
202205,동래구,935
202205,부산진구,779
202205,북구,1145
202205,사상구,862
202205,사하구,1342
202205,서구,782
202205,수영구,715
202205,연제구,879
202205,영도구,989
202205,중구,327
202205,해운대구,902
202206,강서구,635
202206,금정구,939
202206,기장군,628
202206,남구,1063
202206,동구,449
202206,동래구,897
202206,부산진구,755
202206,북구,1114
202206,사상구,874
202206,사하구,1361
202206,서구,919
202206,수영구,707
202206,연제구,885
202206,영도구,675
202206,중구,335
202206,해운대구,1104
202207,강서구,661
202207,금정구,1009
202207,기장군,633
202207,남구,1188
202207,동구,448
202207,동래구,1014
202207,부산진구,848
202207,북구,1236
202207,사상구,934
202207,사하구,1462
202207,서구,873
202207,수영구,764
202207,연제구,967
202207,영도구,726
202207,중구,381
202207,해운대구,984
202208,강서구,634
202208,금정구,1122
202208,기장군,611
202208,남구,1211
202208,동구,458
202208,동래구,968
202208,부산진구,846
202208,북구,1234
202208,사상구,924
202208,사하구,1512
202208,서구,901
202208,수영구,736
202208,연제구,925
202208,영도구,793
202208,중구,381
202208,해운대구,965
202209,강서구,663
202209,금정구,1535
202209,기장군,656
202209,남구,1528
202209,동구,479
202209,동래구,991
202209,부산진구,930
202209,북구,1279
202209,사상구,1107
202209,사하구,1572
202209,서구,927
202209,수영구,788
202209,연제구,960
202209,영도구,969
202209,중구,359
202209,해운대구,1020
202210,강서구,580
202210,금정구,945
202210,기장군,612
202210,남구,1087
202210,동구,422
202210,동래구,935
202210,부산진구,821
202210,북구,1117
202210,사상구,823
202210,사하구,1367
202210,서구,798
202210,수영구,772
202210,연제구,869
202210,영도구,676
202210,중구,336
202210,해운대구,919
202211,강서구,590
202211,금정구,949
202211,기장군,626
202211,남구,1057
202211,동구,436
202211,동래구,912
202211,부산진구,795
202211,북구,1204
202211,사상구,885
202211,사하구,1417
202211,서구,839
202211,수영구,750
202211,연제구,861
202211,영도구,728
202211,중구,341
202211,해운대구,930
202212,강서구,646
202212,금정구,1085
202212,기장군,708
202212,남구,1217
202212,동구,457
202212,동래구,997
202212,부산진구,836
202212,북구,1301
202212,사상구,1004
202212,사하구,1599
202212,서구,941
202212,수영구,831
202212,연제구,992
202212,영도구,800
202212,중구,359
202212,해운대구,981
202301,해운대구,1068
202301,강서구,720
202301,금정구,1179
202301,기장군,705
202301,남구,1338
202301,동구,513
202301,동래구,1163
202301,부산진구,921
202301,북구,1448
202301,사상구,1022
202301,사하구,1726
202301,서구,970
202301,수영구,904
202301,연제구,1072
202301,영도구,877
202301,중구,406
202302,해운대구,923
202302,강서구,620
202302,금정구,1062
202302,기장군,659
202302,남구,1226
202302,동구,422
202302,동래구,945
202302,부산진구,788
202302,북구,1167
202302,사상구,904
202302,사하구,1411
202302,서구,859
202302,수영구,760
202302,연제구,835
202302,영도구,716
202302,중구,373
202303,해운대구,1170
202303,강서구,661
202303,금정구,1974
202303,기장군,749
202303,남구,1928
202303,동구,509
202303,동래구,1035
202303,부산진구,1116
202303,북구,1447
202303,사상구,1315
202303,사하구,1916
202303,서구,1040
202303,수영구,863
202303,연제구,995
202303,영도구,1665
202303,중구,391
202304,해운대구,905
202304,강서구,538
202304,금정구,856
202304,기장군,608
202304,남구,990
202304,동구,410
202304,동래구,896
202304,부산진구,739
202304,북구,1115
202304,사상구,854
202304,사하구,1329
202304,서구,819
202304,수영구,733
202304,연제구,833
202304,영도구,677
202304,중구,345
202305,해운대구,960
202305,강서구,602
202305,금정구,922
202305,기장군,619
202305,남구,1066
202305,동구,433
202305,동래구,906
202305,부산진구,777
202305,북구,1187
202305,사상구,894
202305,사하구,1401
202305,서구,810
202305,수영구,751
202305,연제구,884
202305,영도구,687
202305,중구,352
202306,해운대구,925
202306,강서구,576
202306,금정구,929
202306,기장군,630
202306,남구,1056
202306,동구,485
202306,동래구,841
202306,부산진구,761
202306,북구,1121
202306,사상구,879
202306,사하구,1391
202306,서구,821
202306,수영구,748
202306,연제구,846
202306,영도구,634
202306,중구,332
202307,해운대구,1046
202307,강서구,679
202307,금정구,1064
202307,기장군,714
202307,남구,1325
202307,동구,514
202307,동래구,970
202307,부산진구,866
202307,북구,1319
202307,사상구,990
202307,사하구,1583
202307,서구,1021
202307,수영구,824
202307,연제구,951
202307,영도구,877
202307,중구,366
202308,해운대구,992
202308,강서구,638
202308,금정구,1133
202308,기장군,661
202308,남구,1260
202308,동구,468
202308,동래구,918
202308,부산진구,865
202308,북구,1242
202308,사상구,1005
202308,사하구,1463
202308,서구,891
202308,수영구,778
202308,연제구,919
202308,영도구,810
202308,중구,354
202309,해운대구,1050
202309,강서구,638
202309,금정구,1513
202309,기장군,652
202309,남구,1496
202309,동구,485
202309,동래구,972
202309,부산진구,938
202309,북구,1282
202309,사상구,1179
202309,사하구,1646
202309,서구,938
202309,수영구,827
202309,연제구,1005
202309,영도구,1225
202309,중구,385
202310,해운대구,884
202310,강서구,575
202310,금정구,853
202310,기장군,589
202310,남구,1020
202310,동구,424
202310,동래구,842
202310,부산진구,760
202310,북구,1058
202310,사상구,881
202310,사하구,1306
202310,서구,799
202310,수영구,743
202310,연제구,863
202310,영도구,632
202310,중구,329
202311,해운대구,911
202311,강서구,610
202311,금정구,928
202311,기장군,657
202311,남구,1061
202311,동구,430
202311,동래구,896
202311,부산진구,761
202311,북구,1124
202311,사상구,886
202311,사하구,1446
202311,서구,841
202311,수영구,761
202311,연제구,866
202311,영도구,736
202311,중구,331
202312,해운대구,996
202312,강서구,626
202312,금정구,1093
202312,기장군,700
202312,남구,1262
202312,동구,460
202312,동래구,1015
202312,부산진구,809
