기준연월,시·도코드,시·도명,시·군·구 코드,시·군·구 명,체류강도_지표코드,체류특성,체류특성_강도지수,,"※ ‘체류특성_강도지수’는 
실제 방문자 수 또는 비율(%)을 의미하는 값이 아니라, 
타권역 방문자 비중·숙박 비중·숙박일수별 방문자 수 
등을 기반으로 산출된 관광 체류 강도 세부 지표값입니다. 
따라서 수치가 높을수록 해당 체류 특성이 
강하게 나타나는 것으로 해석합니다.",,,,,
202501,26,부산광역시,26110,중구,2101,타권역 방문자 비중,115.68,,,,,,,
202501,26,부산광역시,26110,중구,2102,숙박 비중,56.27,,,,,,,
202501,26,부산광역시,26110,중구,2103,1박 방문자수,67.64,,,,,,,
202501,26,부산광역시,26110,중구,2104,2박 방문자수,67.3,,,,,,,
202501,26,부산광역시,26110,중구,2105,3박 방문자수,67.94,,,,,,,
202501,26,부산광역시,26140,서구,2101,타권역 방문자 비중,85.47,,,,,,,
202501,26,부산광역시,26140,서구,2102,숙박 비중,65.99,,,,,,,
202501,26,부산광역시,26140,서구,2103,1박 방문자수,64.82,,,,,,,
202501,26,부산광역시,26140,서구,2104,2박 방문자수,68.35,,,,,,,
202501,26,부산광역시,26140,서구,2105,3박 방문자수,73.8,,,,,,,
202501,26,부산광역시,26170,동구,2101,타권역 방문자 비중,107.55,,,,,,,
202501,26,부산광역시,26170,동구,2102,숙박 비중,57.49,,,,,,,
202501,26,부산광역시,26170,동구,2103,1박 방문자수,67.21,,,,,,,
202501,26,부산광역시,26170,동구,2104,2박 방문자수,68.13,,,,,,,
202501,26,부산광역시,26170,동구,2105,3박 방문자수,71.73,,,,,,,
202501,26,부산광역시,26200,영도구,2101,타권역 방문자 비중,76.69,,,,,,,
202501,26,부산광역시,26200,영도구,2102,숙박 비중,62.49,,,,,,,
202501,26,부산광역시,26200,영도구,2103,1박 방문자수,61.42,,,,,,,
202501,26,부산광역시,26200,영도구,2104,2박 방문자수,65.22,,,,,,,
202501,26,부산광역시,26200,영도구,2105,3박 방문자수,70.46,,,,,,,
202501,26,부산광역시,26230,부산진구,2101,타권역 방문자 비중,82.01,,,,,,,
202501,26,부산광역시,26230,부산진구,2102,숙박 비중,63.44,,,,,,,
202501,26,부산광역시,26230,부산진구,2103,1박 방문자수,98.1,,,,,,,
202501,26,부산광역시,26230,부산진구,2104,2박 방문자수,92.08,,,,,,,
202501,26,부산광역시,26230,부산진구,2105,3박 방문자수,110.64,,,,,,,
202501,26,부산광역시,26260,동래구,2101,타권역 방문자 비중,75.23,,,,,,,
202501,26,부산광역시,26260,동래구,2102,숙박 비중,63.63,,,,,,,
202501,26,부산광역시,26260,동래구,2103,1박 방문자수,74.65,,,,,,,
202501,26,부산광역시,26260,동래구,2104,2박 방문자수,77.81,,,,,,,
202501,26,부산광역시,26260,동래구,2105,3박 방문자수,93.84,,,,,,,
202501,26,부산광역시,26290,남구,2101,타권역 방문자 비중,66.32,,,,,,,
202501,26,부산광역시,26290,남구,2102,숙박 비중,67.68,,,,,,,
202501,26,부산광역시,26290,남구,2103,1박 방문자수,71.56,,,,,,,
202501,26,부산광역시,26290,남구,2104,2박 방문자수,75.88,,,,,,,
202501,26,부산광역시,26290,남구,2105,3박 방문자수,90.79,,,,,,,
202501,26,부산광역시,26320,북구,2101,타권역 방문자 비중,56.47,,,,,,,
202501,26,부산광역시,26320,북구,2102,숙박 비중,68.4,,,,,,,
202501,26,부산광역시,26320,북구,2103,1박 방문자수,68.4,,,,,,,
202501,26,부산광역시,26320,북구,2104,2박 방문자수,73.36,,,,,,,
202501,26,부산광역시,26320,북구,2105,3박 방문자수,87.28,,,,,,,
202501,26,부산광역시,26350,해운대구,2101,타권역 방문자 비중,75.02,,,,,,,
202501,26,부산광역시,26350,해운대구,2102,숙박 비중,73.76,,,,,,,
202501,26,부산광역시,26350,해운대구,2103,1박 방문자수,116.26,,,,,,,
202501,26,부산광역시,26350,해운대구,2104,2박 방문자수,134.38,,,,,,,
202501,26,부산광역시,26350,해운대구,2105,3박 방문자수,121.4,,,,,,,
202501,26,부산광역시,26380,사하구,2101,타권역 방문자 비중,57.95,,,,,,,
202501,26,부산광역시,26380,사하구,2102,숙박 비중,70.15,,,,,,,
202501,26,부산광역시,26380,사하구,2103,1박 방문자수,68.76,,,,,,,
202501,26,부산광역시,26380,사하구,2104,2박 방문자수,74.59,,,,,,,
202501,26,부산광역시,26380,사하구,2105,3박 방문자수,89.53,,,,,,,
202501,26,부산광역시,26410,금정구,2101,타권역 방문자 비중,70.05,,,,,,,
202501,26,부산광역시,26410,금정구,2102,숙박 비중,62.74,,,,,,,
202501,26,부산광역시,26410,금정구,2103,1박 방문자수,66.13,,,,,,,
202501,26,부산광역시,26410,금정구,2104,2박 방문자수,71.07,,,,,,,
202501,26,부산광역시,26410,금정구,2105,3박 방문자수,83.58,,,,,,,
202501,26,부산광역시,26440,강서구,2101,타권역 방문자 비중,93.1,,,,,,,
202501,26,부산광역시,26440,강서구,2102,숙박 비중,56.74,,,,,,,
202501,26,부산광역시,26440,강서구,2103,1박 방문자수,67.51,,,,,,,
202501,26,부산광역시,26440,강서구,2104,2박 방문자수,67.65,,,,,,,
202501,26,부산광역시,26440,강서구,2105,3박 방문자수,76.7,,,,,,,
202501,26,부산광역시,26470,연제구,2101,타권역 방문자 비중,89.66,,,,,,,
202501,26,부산광역시,26470,연제구,2102,숙박 비중,62.92,,,,,,,
202501,26,부산광역시,26470,연제구,2103,1박 방문자수,68.76,,,,,,,
202501,26,부산광역시,26470,연제구,2104,2박 방문자수,72.25,,,,,,,
202501,26,부산광역시,26470,연제구,2105,3박 방문자수,84.61,,,,,,,
202501,26,부산광역시,26500,수영구,2101,타권역 방문자 비중,87.38,,,,,,,
202501,26,부산광역시,26500,수영구,2102,숙박 비중,68.05,,,,,,,
202501,26,부산광역시,26500,수영구,2103,1박 방문자수,82.64,,,,,,,
202501,26,부산광역시,26500,수영구,2104,2박 방문자수,86.66,,,,,,,
202501,26,부산광역시,26500,수영구,2105,3박 방문자수,85.95,,,,,,,
202501,26,부산광역시,26530,사상구,2101,타권역 방문자 비중,77.87,,,,,,,
202501,26,부산광역시,26530,사상구,2102,숙박 비중,64.11,,,,,,,
202501,26,부산광역시,26530,사상구,2103,1박 방문자수,68.39,,,,,,,
202501,26,부산광역시,26530,사상구,2105,3박 방문자수,80,,,,,,,
202501,26,부산광역시,26710,기장군,2101,타권역 방문자 비중,89,,,,,,,
