기준연월,연도,월,지역명,방문자수(연인원),전년동월방문자수(재계산),전년동월대비증감률(%)
Jan-20,2020,1,부산광역시,13512740,,
Feb-20,2020,2,부산광역시,9479306,,
Mar-20,2020,3,부산광역시,8356096,,
Apr-20,2020,4,부산광역시,9035890,,
May-20,2020,5,부산광역시,11105784,,
Jun-20,2020,6,부산광역시,10103576,,
Jul-20,2020,7,부산광역시,10989724,,
Aug-20,2020,8,부산광역시,11664622,,
Sep-20,2020,9,부산광역시,9856056,,
Oct-20,2020,10,부산광역시,11229418,,
Nov-20,2020,11,부산광역시,10412234,,
Dec-20,2020,12,부산광역시,8980440,,
Jan-21,2021,1,부산광역시,8749570,13512740,-35.2
Feb-21,2021,2,부산광역시,10115679,9479306,6.7
Mar-21,2021,3,부산광역시,11716691,8356096,40.2
Apr-21,2021,4,부산광역시,9099500,9035890,0.7
May-21,2021,5,부산광역시,10615448,11105784,-4.4
Jun-21,2021,6,부산광역시,9893394,10103576,-2.1
Jul-21,2021,7,부산광역시,10355972,10989724,-5.8
Aug-21,2021,8,부산광역시,9714856,11664622,-16.7
Sep-21,2021,9,부산광역시,11099624,9856056,12.6
Oct-21,2021,10,부산광역시,10952280,11229418,-2.5
Nov-21,2021,11,부산광역시,10487578,10412234,0.7
Dec-21,2021,12,부산광역시,10860272,8980440,20.9
Jan-22,2022,1,부산광역시,11368994,8749570,29.9
Feb-22,2022,2,부산광역시,9877186,10115679,-2.4
Mar-22,2022,3,부산광역시,11363376,11716691,-3
Apr-22,2022,4,부산광역시,10067470,9099500,10.6
May-22,2022,5,부산광역시,11842218,10615448,11.6
Jun-22,2022,6,부산광역시,11178738,9893394,13
Jul-22,2022,7,부산광역시,12475754,10355972,20.5
Aug-22,2022,8,부산광역시,12622116,9714856,29.9
Sep-22,2022,9,부산광역시,12278746,11099624,10.6
Oct-22,2022,10,부산광역시,12013600,10952280,9.7
Nov-22,2022,11,부산광역시,10901740,10487578,3.9
Dec-22,2022,12,부산광역시,12020771,10860272,10.7
Jan-23,2023,1,부산광역시,13161680,11368994,15.8
Feb-23,2023,2,부산광역시,11221777,9877186,13.6
Mar-23,2023,3,부산광역시,13128549,11363376,15.5
Apr-23,2023,4,부산광역시,11330249,10067470,12.5
May-23,2023,5,부산광역시,12296326,11842218,3.8
Jun-23,2023,6,부산광역시,11523799,11178738,3.1
Jul-23,2023,7,부산광역시,12601932,12475754,1
Aug-23,2023,8,부산광역시,13071261,12622116,3.6
Sep-23,2023,9,부산광역시,13391634,12278746,9.1
Oct-23,2023,10,부산광역시,12300270,12013600,2.4
Nov-23,2023,11,부산광역시,11317982,10901740,3.8
Dec-23,2023,12,부산광역시,12699096,12020771,5.6
Jan-24,2024,1,부산광역시,12205134,13161680,-7.3
Feb-24,2024,2,부산광역시,13042704,11221777,16.2
Mar-24,2024,3,부산광역시,13459148,13128549,2.5
Apr-24,2024,4,부산광역시,10744188,11330249,-5.2
May-24,2024,5,부산광역시,12526098,12296326,1.9
Jun-24,2024,6,부산광역시,11750655,11523799,2
Jul-24,2024,7,부산광역시,12553352,12601932,-0.4
Aug-24,2024,8,부산광역시,13472851,13071261,3.1
Sep-24,2024,9,부산광역시,13618364,13391634,1.7
Oct-24,2024,10,부산광역시,12008294,12300270,-2.4
Nov-24,2024,11,부산광역시,11932462,11317982,5.4
Dec-24,2024,12,부산광역시,12926788,12699096,1.8
Jan-25,2025,1,부산광역시,14167030,12205134,16.1
Feb-25,2025,2,부산광역시,11753406,13042704,-9.9
Mar-25,2025,3,부산광역시,13907002,13459148,3.3
Apr-25,2025,4,부산광역시,10887390,10744188,1.3
May-25,2025,5,부산광역시,14881668,12526098,18.8
Jun-25,2025,6,부산광역시,12654750,11750655,7.7
Jul-25,2025,7,부산광역시,13879274,12553352,10.6
Aug-25,2025,8,부산광역시,14639538,13472851,8.7
Sep-25,2025,9,부산광역시,12990422,13618364,-4.6
Oct-25,2025,10,부산광역시,15551704,12008294,29.5
Nov-25,2025,11,부산광역시,13006564,11932462,9
Dec-25,2025,12,부산광역시,13564702,12926788,4.9
Jan-26,2026,1,부산광역시,13501618,14167030,-4.7
Feb-26,2026,2,부산광역시,13867021,11753406,18
Mar-26,2026,3,부산광역시,14385486,13907002,3.4
Apr-26,2026,4,부산광역시,11514954,10887390,5.8
May-26,2026,5,부산광역시,14047618,14881668,-5.6
Jun-26,2026,6,부산광역시,12015374,12654750,-5.1
