연월,행정구,신설법인수,부산전체신설법인수,부산전체대비비중_pct,원문비중_pct,월내순위,전월대비증감수,전월대비증감률_pct,전년동월대비증감수,전년동월대비증감률_pct,3개월이동평균,6개월이동평균,데이터상태,수치생성방식,출처파일,검증_주의
202401,강서구,69,453,15.23,15.2,1,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,해운대구,66,453,14.57,14.6,2,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,부산진구,42,453,9.27,9.3,3,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,기장군,35,453,7.73,7.7,4,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,남구,28,453,6.18,6.2,5,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,동래구,28,453,6.18,6.2,5,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,수영구,28,453,6.18,6.2,5,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,연제구,24,453,5.3,5.3,8,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,사상구,23,453,5.08,5.1,9,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,금정구,22,453,4.86,4.9,10,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,동구,22,453,4.86,4.9,10,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,사하구,20,453,4.42,4.4,12,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,북구,15,453,3.31,3.3,13,,,,,,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
