연도,지역구분,지역명,폐업사업자_총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
2025,전국,전국,975681,85270,890411,483210,313861,93340
2025,부산전체,부산,56651,4177,52474,28514,18942,5018
2025,부산구군,강서구,3850,408,3442,2310,834,298
2025,부산구군,금정구,3365,244,3121,1706,1127,288
2025,부산구군,기장군,3200,268,2932,1537,1079,316
2025,부산구군,남구,3676,326,3350,1718,1279,353
2025,부산구군,동구,2277,196,2081,1263,680,138
2025,부산구군,동래구,4090,205,3885,1918,1545,422
2025,부산구군,부산진구,6911,438,6473,3532,2344,597
2025,부산구군,북구,3275,184,3091,1473,1329,289
2025,부산구군,사상구,3533,233,3300,1969,1094,237
2025,부산구군,사하구,3797,235,3562,1764,1459,339
2025,부산구군,서구,1456,104,1352,668,525,159
2025,부산구군,수영구,3515,214,3301,1789,1207,305
2025,부산구군,연제구,3648,260,3388,1688,1342,358
2025,부산구군,영도구,1374,79,1295,635,545,115
2025,부산구군,중구,1746,195,1551,997,443,111
2025,부산구군,해운대구,6938,588,6350,3547,2110,693
2024,전국,전국,1008282,82931,925351,503523,329436,92392
2024,부산전체,부산,59164,3988,55176,29901,20132,5143
2024,부산구군,강서구,4123,414,3709,2374,1032,303
2024,부산구군,금정구,3503,209,3294,1723,1252,319
2024,부산구군,기장군,3421,276,3145,1658,1143,344
2024,부산구군,남구,3956,249,3707,1882,1464,361
2024,부산구군,동구,2126,218,1908,1119,654,135
2024,부산구군,동래구,4149,234,3915,1956,1528,431
2024,부산구군,부산진구,7315,492,6823,3785,2474,564
2024,부산구군,북구,3403,189,3214,1474,1417,323
2024,부산구군,사상구,3730,229,3501,2030,1210,261
2024,부산구군,사하구,4046,174,3872,1924,1603,345
2024,부산구군,서구,1451,93,1358,669,528,161
2024,부산구군,수영구,3702,192,3510,1941,1226,343
2024,부산구군,연제구,3609,240,3369,1734,1317,318
2024,부산구군,영도구,1459,80,1379,731,553,95
2024,부산구군,중구,1870,152,1718,1197,419,102
2024,부산구군,해운대구,7301,547,6754,3704,2312,738
2023,전국,전국,986487,75668,910819,499677,316580,94562
2023,부산전체,부산,60075,3927,56148,30689,20208,5251
2023,부산구군,강서구,3755,353,3402,2216,883,303
2023,부산구군,금정구,3645,216,3429,1872,1257,300
2023,부산구군,기장군,3429,229,3200,1753,1144,303
2023,부산구군,남구,4104,222,3882,2027,1485,370
2023,부산구군,동구,2212,169,2043,1276,613,154
2023,부산구군,동래구,4195,216,3979,2001,1588,390
2023,부산구군,부산진구,7057,404,6653,3716,2306,631
2023,부산구군,북구,3486,166,3320,1571,1417,332
2023,부산구군,사상구,3927,256,3671,2184,1206,281
2023,부산구군,사하구,4102,208,3894,1906,1609,379
2023,부산구군,서구,1434,90,1344,669,509,166
2023,부산구군,수영구,3856,207,3649,1900,1344,405
2023,부산구군,연제구,3616,292,3324,1713,1296,315
2023,부산구군,영도구,1360,77,1283,697,487,99
2023,부산구군,중구,1892,158,1734,1150,485,99
2023,부산구군,해운대구,8005,664,7341,4038,2579,724
2022,전국,전국,867292,67656,799636,438023,267912,93701
2022,부산전체,부산,54594,3726,50868,27688,17968,5212
2022,부산구군,강서구,3367,351,3016,1991,755,270
2022,부산구군,금정구,3324,198,3126,1658,1175,293
2022,부산구군,기장군,3177,203,2974,1593,1041,340
2022,부산구군,남구,3481,210,3271,1673,1228,370
2022,부산구군,동구,2075,176,1899,1140,597,162
2022,부산구군,동래구,3981,279,3702,1813,1486,403
2022,부산구군,부산진구,6679,422,6257,3664,2000,593
2022,부산구군,북구,3515,153,3362,1516,1525,321
2022,부산구군,사상구,3604,238,3366,1970,1138,258
2022,부산구군,사하구,3418,151,3267,1555,1345,367
2022,부산구군,서구,1212,59,1153,506,471,176
2022,부산구군,수영구,3493,187,3306,1794,1158,354
2022,부산구군,연제구,3456,292,3164,1695,1144,325
2022,부산구군,영도구,1169,51,1118,577,425,116
2022,부산구군,중구,1722,148,1574,1058,408,108
2022,부산구군,해운대구,6921,608,6313,3485,2072,756
2021,전국,전국,885173,65983,819190,456839,258034,104317
2021,부산전체,부산,55691,3592,52099,29739,16606,5754
2021,부산구군,강서구,3527,339,3188,2206,658,324
2021,부산구군,금정구,3330,183,3147,1697,1102,348
2021,부산구군,기장군,2958,186,2772,1522,889,361
2021,부산구군,남구,3479,221,3258,1758,1114,386
2021,부산구군,동구,2921,176,2745,1906,633,206
2021,부산구군,동래구,3917,252,3665,1875,1314,476
2021,부산구군,부산진구,6329,389,5940,3246,2031,663
2021,부산구군,북구,3106,106,3000,1491,1187,322
2021,부산구군,사상구,3421,227,3194,1947,999,248
2021,부산구군,사하구,3609,182,3427,1649,1354,424
2021,부산구군,서구,1322,83,1239,586,470,183
2021,부산구군,수영구,3411,173,3238,1790,1058,390
2021,부산구군,연제구,3634,208,3426,1897,1169,360
2021,부산구군,영도구,1195,56,1139,587,428,124
2021,부산구군,중구,2084,173,1911,1364,424,123
2021,부산구군,해운대구,7448,638,6810,4218,1776,816
