연월,행정구,신설법인수
202201,강서구,59
202201,금정구,28
202201,기장군,27
202201,남구,36
202201,동구,20
202201,동래구,30
202201,부산진구,62
202201,북구,27
202201,사상구,16
202201,사하구,17
202201,서구,6
202201,수영구,40
202201,연제구,36
202201,영도구,12
202201,중구,18
202201,해운대구,118
202202,강서구,34
202202,금정구,29
202202,기장군,23
202202,남구,40
202202,동구,19
202202,동래구,28
202202,부산진구,52
202202,북구,26
202202,사상구,32
202202,사하구,19
202202,서구,6
202202,수영구,30
202202,연제구,25
202202,영도구,8
202202,중구,23
202202,해운대구,77
202203,강서구,58
202203,금정구,26
202203,기장군,25
202203,남구,34
202203,동구,21
202203,동래구,43
202203,부산진구,54
202203,북구,35
202203,사상구,40
202203,사하구,21
202203,서구,12
202203,수영구,35
202203,연제구,54
202203,영도구,4
202203,중구,20
202203,해운대구,103
202204,강서구,54
202204,금정구,35
202204,기장군,24
202204,남구,40
202204,동구,22
202204,동래구,50
202204,부산진구,74
202204,북구,44
202204,사상구,19
202204,사하구,26
202204,서구,10
202204,수영구,38
202204,연제구,44
202204,영도구,12
202204,중구,20
202204,해운대구,112
202205,강서구,48
202205,금정구,35
202205,기장군,31
202205,남구,53
202205,동구,21
202205,동래구,34
202205,부산진구,63
202205,북구,30
202205,사상구,41
202205,사하구,25
202205,서구,6
202205,수영구,37
202205,연제구,35
202205,영도구,5
202205,중구,17
202205,해운대구,117
202206,강서구,63
202206,금정구,22
202206,기장군,32
202206,남구,39
202206,동구,22
202206,동래구,38
202206,부산진구,45
202206,북구,19
202206,사상구,21
202206,사하구,22
202206,서구,12
202206,수영구,32
202206,연제구,30
202206,영도구,10
202206,중구,13
202206,해운대구,96
202207,강서구,51
202207,금정구,23
202207,기장군,22
202207,남구,29
202207,동구,19
202207,동래구,27
202207,부산진구,50
202207,북구,11
202207,사상구,27
202207,사하구,15
202207,서구,13
202207,수영구,32
202207,연제구,37
202207,영도구,12
202207,중구,22
202207,해운대구,98
202208,강서구,52
202208,금정구,19
202208,기장군,25
202208,남구,27
202208,동구,33
202208,동래구,22
202208,부산진구,44
202208,북구,11
202208,사상구,21
202208,사하구,24
202208,서구,12
202208,수영구,26
202208,연제구,30
202208,영도구,12
202208,중구,25
202208,해운대구,74
202209,강서구,43
202209,금정구,24
202209,기장군,14
202209,남구,22
202209,동구,29
202209,동래구,16
202209,부산진구,28
202209,북구,9
202209,사상구,28
202209,사하구,15
202209,서구,4
202209,수영구,17
202209,연제구,31
202209,영도구,6
202209,중구,16
202209,해운대구,79
202210,강서구,38
202210,금정구,19
202210,기장군,21
202210,남구,20
202210,동구,13
202210,동래구,16
202210,부산진구,45
202210,북구,14
202210,사상구,16
202210,사하구,20
202210,서구,10
202210,수영구,21
202210,연제구,25
202210,영도구,6
202210,중구,17
202210,해운대구,71
202211,강서구,51
202211,금정구,12
202211,기장군,20
202211,남구,25
202211,동구,15
202211,동래구,19
202211,부산진구,40
202211,북구,9
202211,사상구,16
202211,사하구,17
202211,서구,9
202211,수영구,17
202211,연제구,15
202211,영도구,7
202211,중구,19
202211,해운대구,55
202212,강서구,53
202212,금정구,22
202212,기장군,20
202212,남구,25
202212,동구,17
202212,동래구,24
202212,부산진구,48
202212,북구,12
202212,사상구,34
202212,사하구,10
202212,서구,11
202212,수영구,13
202212,연제구,26
202212,영도구,9
202212,중구,16
202212,해운대구,61
202301,강서구,39
202301,금정구,24
202301,기장군,21
202301,남구,21
202301,동구,28
202301,동래구,26
202301,부산진구,43
202301,북구,9
202301,사상구,34
202301,사하구,20
202301,서구,8
202301,수영구,20
202301,연제구,26
202301,영도구,11
202301,중구,18
202301,해운대구,52
202302,강서구,48
202302,금정구,14
202302,기장군,24
202302,남구,41
202302,동구,23
202302,동래구,22
202302,부산진구,43
202302,북구,15
202302,사상구,20
202302,사하구,18
202302,서구,12
202302,수영구,23
202302,연제구,33
202302,영도구,6
202302,중구,12
202302,해운대구,61
202303,강서구,41
202303,금정구,22
202303,기장군,27
202303,남구,18
202303,동구,21
202303,동래구,22
202303,부산진구,49
202303,북구,19
202303,사상구,24
202303,사하구,11
202303,서구,7
202303,수영구,23
202303,연제구,33
202303,영도구,8
202303,중구,18
202303,해운대구,70
202304,강서구,48
202304,금정구,24
202304,기장군,22
202304,남구,26
202304,동구,17
202304,동래구,19
202304,부산진구,37
202304,북구,13
202304,사상구,13
202304,사하구,28
202304,서구,10
202304,수영구,13
202304,연제구,24
202304,영도구,7
202304,중구,13
202304,해운대구,63
202305,강서구,42
202305,금정구,24
202305,기장군,17
202305,남구,29
202305,동구,30
202305,동래구,29
202305,부산진구,28
202305,북구,9
202305,사상구,25
202305,사하구,16
202305,서구,5
202305,수영구,29
202305,연제구,31
202305,영도구,11
202305,중구,9
202305,해운대구,47
202306,강서구,43
202306,금정구,10
202306,기장군,23
202306,남구,22
202306,동구,16
202306,동래구,20
202306,부산진구,39
202306,북구,18
202306,사상구,27
202306,사하구,25
202306,서구,7
202306,수영구,23
202306,연제구,26
202306,영도구,8
202306,중구,14
202306,해운대구,64
202307,강서구,54
202307,금정구,17
202307,기장군,22
202307,남구,24
202307,동구,21
