업종,시도,지역,연월,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
쇼핑업,부산광역시,부산광역시 합계,202201,64928,64185,101.16,58776,110.47
여행/숙박업,부산광역시,부산광역시 합계,202201,2479,2472,100.28,2513,98.65
운송업,부산광역시,부산광역시 합계,202201,5460,5423,100.68,5234,104.32
식음료업,부산광역시,부산광역시 합계,202201,49681,49394,100.58,47630,104.31
의료웰니스업,부산광역시,부산광역시 합계,202201,26062,25944,100.45,24935,104.52
서비스업,부산광역시,부산광역시 합계,202201,30356,30098,100.86,28836,105.27
쇼핑업,부산광역시,중구,202201,2703,2681,100.82,2669,101.27
여행/숙박업,부산광역시,중구,202201,226,226,100.0,241,93.78
운송업,부산광역시,중구,202201,135,135,100.0,130,103.85
식음료업,부산광역시,중구,202201,2000,1990,100.5,2015,99.26
의료웰니스업,부산광역시,중구,202201,755,752,100.4,755,100.0
서비스업,부산광역시,중구,202201,538,537,100.19,530,101.51
쇼핑업,부산광역시,서구,202201,1654,1644,100.61,1581,104.62
여행/숙박업,부산광역시,서구,202201,66,66,100.0,71,92.96
운송업,부산광역시,서구,202201,155,153,101.31,158,98.1
식음료업,부산광역시,서구,202201,1407,1394,100.93,1382,101.81
의료웰니스업,부산광역시,서구,202201,748,750,99.73,740,101.08
서비스업,부산광역시,서구,202201,672,670,100.3,660,101.82
쇼핑업,부산광역시,동구,202201,2737,2704,101.22,2595,105.47
여행/숙박업,부산광역시,동구,202201,266,269,98.88,268,99.25
운송업,부산광역시,동구,202201,220,221,99.55,209,105.26
식음료업,부산광역시,동구,202201,1601,1592,100.57,1550,103.29
의료웰니스업,부산광역시,동구,202201,741,741,100.0,727,101.93
서비스업,부산광역시,동구,202201,736,736,100.0,711,103.52
쇼핑업,부산광역시,영도구,202201,1489,1480,100.61,1356,109.81
여행/숙박업,부산광역시,영도구,202201,98,95,103.16,81,120.99
운송업,부산광역시,영도구,202201,146,146,100.0,143,102.1
식음료업,부산광역시,영도구,202201,1454,1450,100.28,1419,102.47
의료웰니스업,부산광역시,영도구,202201,710,711,99.86,711,99.86
서비스업,부산광역시,영도구,202201,549,541,101.48,527,104.17
쇼핑업,부산광역시,부산진구,202201,8352,8280,100.87,7713,108.28
여행/숙박업,부산광역시,부산진구,202201,340,339,100.29,351,96.87
운송업,부산광역시,부산진구,202201,487,486,100.21,476,102.31
식음료업,부산광역시,부산진구,202201,6195,6155,100.65,5893,105.12
의료웰니스업,부산광역시,부산진구,202201,3543,3524,100.54,3316,106.85
서비스업,부산광역시,부산진구,202201,3349,3321,100.84,3235,103.52
쇼핑업,부산광역시,동래구,202201,4657,4629,100.6,4277,108.88
여행/숙박업,부산광역시,동래구,202201,194,194,100.0,201,96.52
운송업,부산광역시,동래구,202201,355,353,100.57,341,104.11
식음료업,부산광역시,동래구,202201,3841,3817,100.63,3689,104.12
의료웰니스업,부산광역시,동래구,202201,2381,2370,100.46,2278,104.52
서비스업,부산광역시,동래구,202201,2743,2718,100.92,2593,105.78
쇼핑업,부산광역시,남구,202201,4495,4438,101.28,4206,106.87
여행/숙박업,부산광역시,남구,202201,115,115,100.0,114,100.88
운송업,부산광역시,남구,202201,424,422,100.47,412,102.91
식음료업,부산광역시,남구,202201,3224,3214,100.31,3118,103.4
의료웰니스업,부산광역시,남구,202201,1869,1859,100.54,1803,103.66
서비스업,부산광역시,남구,202201,2007,1987,101.01,1920,104.53
쇼핑업,부산광역시,북구,202201,4280,4204,101.81,3636,117.71
여행/숙박업,부산광역시,북구,202201,108,107,100.93,110,98.18
운송업,부산광역시,북구,202201,273,274,99.64,261,104.6
식음료업,부산광역시,북구,202201,2929,2907,100.76,2801,104.57
의료웰니스업,부산광역시,북구,202201,1796,1793,100.17,1743,103.04
서비스업,부산광역시,북구,202201,1930,1922,100.42,1827,105.64
쇼핑업,부산광역시,해운대구,202201,7797,7697,101.3,6668,116.93
여행/숙박업,부산광역시,해운대구,202201,250,251,99.6,265,94.34
운송업,부산광역시,해운대구,202201,519,511,101.57,504,102.98
식음료업,부산광역시,해운대구,202201,5043,5002,100.82,4818,104.67
의료웰니스업,부산광역시,해운대구,202201,2993,2974,100.64,2844,105.24
서비스업,부산광역시,해운대구,202201,4092,4044,101.19,3806,107.51
쇼핑업,부산광역시,사하구,202201,4235,4170,101.56,3962,106.89
여행/숙박업,부산광역시,사하구,202201,94,94,100.0,93,101.08
운송업,부산광역시,사하구,202201,432,427,101.17,433,99.77
식음료업,부산광역시,사하구,202201,3862,3852,100.26,3738,103.32
의료웰니스업,부산광역시,사하구,202201,2203,2191,100.55,2141,102.9
서비스업,부산광역시,사하구,202201,2099,2090,100.43,2036,103.09
쇼핑업,부산광역시,금정구,202201,4105,4038,101.66,3751,109.44
여행/숙박업,부산광역시,금정구,202201,108,107,100.93,112,96.43
운송업,부산광역시,금정구,202201,395,395,100.0,382,103.4
식음료업,부산광역시,금정구,202201,3526,3511,100.43,3413,103.31
의료웰니스업,부산광역시,금정구,202201,1821,1822,99.95,1764,103.23
서비스업,부산광역시,금정구,202201,2115,2102,100.62,2073,102.03
쇼핑업,부산광역시,강서구,202201,2907,2874,101.15,2459,118.22
