연월,지역,원업종,6대업종,6대업종매핑신뢰도,폐업수,분석단위,지역합계검증,모델사용권장,원천발행연월,원천값유형,중복검증원천수
202410,부산광역시 합계,IT관련 및 연구개발업,,,22,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,가구 및 기타제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,가사서비스업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"가죽, 가방 및 신발류 제조업",,,5,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,건설업,,,145,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,고무 및 프라스틱 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,광고업 및 기타 산업관련 서비스업,,,131,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,교육서비스업,,,92,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,금융 및 금융관련 서비스업,,,8,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,기계장비 등 장비 임대업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,기타 서비스업,,,127,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,기타 운송장비 제조업,,,8,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,기타 전지기계 및 전기변환장치 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,기타기계 및 장비 제조업,,,16,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,기타도급제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,농업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,도매 및 상품중개업,,,277,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,목재 및 나무제품 제조업(가구제외),,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"법무, 회계, 건축 및 상담업",,,34,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,보건업,의료웰니스업,중간,11,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,보험 및 보험관련 서비스업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,부동산업,서비스업,부분,398,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,비금속광물 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,섬유제품 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,소매업,쇼핑업,중간,972,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,숙박업,여행/숙박업,중간,30,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,어업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,여행알선 및 운수관련 서비스업,,,36,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"영상, 음향 및 통신장비 제조업",,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"오락, 문화, 운동관련 산업 및 수리업",,,103,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,운송업,운송업,중간,213,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,위생관련 서비스업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,음식료품 및 담배제조업,,,23,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,음식점업,식음료업,높음,650,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"의료, 정밀, 광학기기 및 시계제조업",,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,의복 및 모피 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,인적용역,,,77,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,임업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,자동차 및 트레일러 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,자동차관련 소매,운송업,부분,8,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"전기, 가스 및 수도사업",,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,제1차 금속산업 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,조립금속제품 제조업(기계 및 장비 제외),,,16,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"출판, 인쇄 및 기록매체 제조업",,,5,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,통신업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,"펄프, 종이 및 종이제품 제조업",,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,부산광역시 합계,화합물 및 화학 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202510,전년동월,1
202410,강서구,부동산업,서비스업,부분,39,지역업종,통과,지역업종학습,202510,전년동월,1
202410,강서구,소매업,쇼핑업,중간,63,지역업종,통과,지역업종학습,202510,전년동월,1
202410,강서구,음식점업,식음료업,높음,37,지역업종,통과,지역업종학습,202510,전년동월,1
202410,금정구,부동산업,서비스업,부분,21,지역업종,통과,지역업종학습,202510,전년동월,1
202410,금정구,소매업,쇼핑업,중간,60,지역업종,통과,지역업종학습,202510,전년동월,1
202410,금정구,음식점업,식음료업,높음,46,지역업종,통과,지역업종학습,202510,전년동월,1
202410,기장군,부동산업,서비스업,부분,16,지역업종,통과,지역업종학습,202510,전년동월,1
202410,기장군,소매업,쇼핑업,중간,62,지역업종,통과,지역업종학습,202510,전년동월,1
202410,기장군,음식점업,식음료업,높음,47,지역업종,통과,지역업종학습,202510,전년동월,1
202410,남구,부동산업,서비스업,부분,22,지역업종,통과,지역업종학습,202510,전년동월,1
202410,남구,소매업,쇼핑업,중간,78,지역업종,통과,지역업종학습,202510,전년동월,1
202410,남구,음식점업,식음료업,높음,44,지역업종,통과,지역업종학습,202510,전년동월,1
202410,동구,부동산업,서비스업,부분,17,지역업종,통과,지역업종학습,202510,전년동월,1
202410,동구,소매업,쇼핑업,중간,31,지역업종,통과,지역업종학습,202510,전년동월,1
202410,동구,음식점업,식음료업,높음,23,지역업종,통과,지역업종학습,202510,전년동월,1
202410,동래구,부동산업,서비스업,부분,20,지역업종,통과,지역업종학습,202510,전년동월,1
202410,동래구,소매업,쇼핑업,중간,50,지역업종,통과,지역업종학습,202510,전년동월,1
202410,동래구,음식점업,식음료업,높음,50,지역업종,통과,지역업종학습,202510,전년동월,1
202410,부산진구,부동산업,서비스업,부분,50,지역업종,통과,지역업종학습,202510,전년동월,1
202410,부산진구,소매업,쇼핑업,중간,137,지역업종,통과,지역업종학습,202510,전년동월,1
202410,부산진구,음식점업,식음료업,높음,75,지역업종,통과,지역업종학습,202510,전년동월,1
202410,북구,부동산업,서비스업,부분,14,지역업종,통과,지역업종학습,202510,전년동월,1
202410,북구,소매업,쇼핑업,중간,55,지역업종,통과,지역업종학습,202510,전년동월,1
202410,북구,음식점업,식음료업,높음,34,지역업종,통과,지역업종학습,202510,전년동월,1
202410,사상구,부동산업,서비스업,부분,18,지역업종,통과,지역업종학습,202510,전년동월,1
202410,사상구,소매업,쇼핑업,중간,65,지역업종,통과,지역업종학습,202510,전년동월,1
202410,사상구,음식점업,식음료업,높음,42,지역업종,통과,지역업종학습,202510,전년동월,1
202410,사하구,부동산업,서비스업,부분,9,지역업종,통과,지역업종학습,202510,전년동월,1
202410,사하구,소매업,쇼핑업,중간,73,지역업종,통과,지역업종학습,202510,전년동월,1
202410,사하구,음식점업,식음료업,높음,56,지역업종,통과,지역업종학습,202510,전년동월,1
202410,서구,부동산업,서비스업,부분,11,지역업종,통과,지역업종학습,202510,전년동월,1
202410,서구,소매업,쇼핑업,중간,17,지역업종,통과,지역업종학습,202510,전년동월,1
202410,서구,음식점업,식음료업,높음,14,지역업종,통과,지역업종학습,202510,전년동월,1
202410,수영구,부동산업,서비스업,부분,40,지역업종,통과,지역업종학습,202510,전년동월,1
202410,수영구,소매업,쇼핑업,중간,75,지역업종,통과,지역업종학습,202510,전년동월,1
202410,수영구,음식점업,식음료업,높음,48,지역업종,통과,지역업종학습,202510,전년동월,1
202410,연제구,부동산업,서비스업,부분,28,지역업종,통과,지역업종학습,202510,전년동월,1
202410,연제구,소매업,쇼핑업,중간,54,지역업종,통과,지역업종학습,202510,전년동월,1
202410,연제구,음식점업,식음료업,높음,34,지역업종,통과,지역업종학습,202510,전년동월,1
202410,영도구,부동산업,서비스업,부분,5,지역업종,통과,지역업종학습,202510,전년동월,1
202410,영도구,소매업,쇼핑업,중간,19,지역업종,통과,지역업종학습,202510,전년동월,1
202410,영도구,음식점업,식음료업,높음,17,지역업종,통과,지역업종학습,202510,전년동월,1
