연월,지역,원업종,6대업종,폐업수,6대업종매핑신뢰도,지역합계검증,원천발행연월,원천값유형,중복검증원천수
202410,강서구,소매업,쇼핑업,63,중간,통과,202510,전년동월,1
202410,강서구,음식점업,식음료업,37,높음,통과,202510,전년동월,1
202410,금정구,소매업,쇼핑업,60,중간,통과,202510,전년동월,1
202410,금정구,음식점업,식음료업,46,높음,통과,202510,전년동월,1
202410,기장군,소매업,쇼핑업,62,중간,통과,202510,전년동월,1
202410,기장군,음식점업,식음료업,47,높음,통과,202510,전년동월,1
202410,남구,소매업,쇼핑업,78,중간,통과,202510,전년동월,1
202410,남구,음식점업,식음료업,44,높음,통과,202510,전년동월,1
202410,동구,소매업,쇼핑업,31,중간,통과,202510,전년동월,1
202410,동구,음식점업,식음료업,23,높음,통과,202510,전년동월,1
202410,동래구,소매업,쇼핑업,50,중간,통과,202510,전년동월,1
202410,동래구,음식점업,식음료업,50,높음,통과,202510,전년동월,1
202410,부산진구,소매업,쇼핑업,137,중간,통과,202510,전년동월,1
202410,부산진구,음식점업,식음료업,75,높음,통과,202510,전년동월,1
202410,북구,소매업,쇼핑업,55,중간,통과,202510,전년동월,1
202410,북구,음식점업,식음료업,34,높음,통과,202510,전년동월,1
202410,사상구,소매업,쇼핑업,65,중간,통과,202510,전년동월,1
202410,사상구,음식점업,식음료업,42,높음,통과,202510,전년동월,1
202410,사하구,소매업,쇼핑업,73,중간,통과,202510,전년동월,1
202410,사하구,음식점업,식음료업,56,높음,통과,202510,전년동월,1
202410,서구,소매업,쇼핑업,17,중간,통과,202510,전년동월,1
202410,서구,음식점업,식음료업,14,높음,통과,202510,전년동월,1
202410,수영구,소매업,쇼핑업,75,중간,통과,202510,전년동월,1
202410,수영구,음식점업,식음료업,48,높음,통과,202510,전년동월,1
202410,연제구,소매업,쇼핑업,54,중간,통과,202510,전년동월,1
202410,연제구,음식점업,식음료업,34,높음,통과,202510,전년동월,1
202410,영도구,소매업,쇼핑업,19,중간,통과,202510,전년동월,1
202410,영도구,음식점업,식음료업,17,높음,통과,202510,전년동월,1
202410,중구,소매업,쇼핑업,25,중간,통과,202510,전년동월,1
202410,중구,음식점업,식음료업,23,높음,통과,202510,전년동월,1
202410,해운대구,소매업,쇼핑업,108,중간,통과,202510,전년동월,1
202410,해운대구,음식점업,식음료업,60,높음,통과,202510,전년동월,1
202411,강서구,소매업,쇼핑업,48,중간,통과,202511,전년동월,1
202411,강서구,음식점업,식음료업,27,높음,통과,202511,전년동월,1
202411,금정구,소매업,쇼핑업,50,중간,통과,202511,전년동월,1
202411,금정구,음식점업,식음료업,53,높음,통과,202511,전년동월,1
202411,기장군,소매업,쇼핑업,56,중간,통과,202511,전년동월,1
202411,기장군,음식점업,식음료업,39,높음,통과,202511,전년동월,1
202411,남구,소매업,쇼핑업,69,중간,통과,202511,전년동월,1
202411,남구,음식점업,식음료업,42,높음,통과,202511,전년동월,1
202411,동구,소매업,쇼핑업,39,중간,통과,202511,전년동월,1
202411,동구,음식점업,식음료업,29,높음,통과,202511,전년동월,1
202411,동래구,소매업,쇼핑업,79,중간,통과,202511,전년동월,1
202411,동래구,음식점업,식음료업,46,높음,통과,202511,전년동월,1
202411,부산진구,소매업,쇼핑업,144,중간,통과,202511,전년동월,1
202411,부산진구,음식점업,식음료업,86,높음,통과,202511,전년동월,1
202411,북구,소매업,쇼핑업,79,중간,통과,202511,전년동월,1
202411,북구,음식점업,식음료업,37,높음,통과,202511,전년동월,1
202411,사상구,소매업,쇼핑업,75,중간,통과,202511,전년동월,1
202411,사상구,음식점업,식음료업,32,높음,통과,202511,전년동월,1
202411,사하구,소매업,쇼핑업,84,중간,통과,202511,전년동월,1
202411,사하구,음식점업,식음료업,56,높음,통과,202511,전년동월,1
202411,서구,소매업,쇼핑업,21,중간,통과,202511,전년동월,1
202411,서구,음식점업,식음료업,20,높음,통과,202511,전년동월,1
202411,수영구,소매업,쇼핑업,64,중간,통과,202511,전년동월,1
202411,수영구,음식점업,식음료업,53,높음,통과,202511,전년동월,1
202411,연제구,소매업,쇼핑업,67,중간,통과,202511,전년동월,1
202411,연제구,음식점업,식음료업,44,높음,통과,202511,전년동월,1
202411,영도구,소매업,쇼핑업,39,중간,통과,202511,전년동월,1
202411,영도구,음식점업,식음료업,19,높음,통과,202511,전년동월,1
202411,중구,소매업,쇼핑업,25,중간,통과,202511,전년동월,1
202411,중구,음식점업,식음료업,32,높음,통과,202511,전년동월,1
202411,해운대구,소매업,쇼핑업,126,중간,통과,202511,전년동월,1
202411,해운대구,음식점업,식음료업,50,높음,통과,202511,전년동월,1
202412,강서구,소매업,쇼핑업,107,중간,통과,202512,전년동월,1
202412,강서구,음식점업,식음료업,42,높음,통과,202512,전년동월,1
202412,금정구,소매업,쇼핑업,107,중간,통과,202512,전년동월,1
202412,금정구,음식점업,식음료업,48,높음,통과,202512,전년동월,1
202412,기장군,소매업,쇼핑업,78,중간,통과,202512,전년동월,1
202412,기장군,음식점업,식음료업,40,높음,통과,202512,전년동월,1
202412,남구,소매업,쇼핑업,132,중간,통과,202512,전년동월,1
202412,남구,음식점업,식음료업,57,높음,통과,202512,전년동월,1
202412,동구,소매업,쇼핑업,75,중간,통과,202512,전년동월,1
202412,동구,음식점업,식음료업,21,높음,통과,202512,전년동월,1
202412,동래구,소매업,쇼핑업,138,중간,통과,202512,전년동월,1
202412,동래구,음식점업,식음료업,74,높음,통과,202512,전년동월,1
202412,부산진구,소매업,쇼핑업,244,중간,통과,202512,전년동월,1
202412,부산진구,음식점업,식음료업,129,높음,통과,202512,전년동월,1
202412,북구,소매업,쇼핑업,188,중간,통과,202512,전년동월,1
202412,북구,음식점업,식음료업,44,높음,통과,202512,전년동월,1
202412,사상구,소매업,쇼핑업,97,중간,통과,202512,전년동월,1
202412,사상구,음식점업,식음료업,49,높음,통과,202512,전년동월,1
202412,사하구,소매업,쇼핑업,142,중간,통과,202512,전년동월,1
202412,사하구,음식점업,식음료업,69,높음,통과,202512,전년동월,1
202412,서구,소매업,쇼핑업,53,중간,통과,202512,전년동월,1
202412,서구,음식점업,식음료업,19,높음,통과,202512,전년동월,1
202412,수영구,소매업,쇼핑업,101,중간,통과,202512,전년동월,1
202412,수영구,음식점업,식음료업,66,높음,통과,202512,전년동월,1
202412,연제구,소매업,쇼핑업,126,중간,통과,202512,전년동월,1
202412,연제구,음식점업,식음료업,58,높음,통과,202512,전년동월,1
202412,영도구,소매업,쇼핑업,55,중간,통과,202512,전년동월,1
202412,영도구,음식점업,식음료업,23,높음,통과,202512,전년동월,1
202412,중구,소매업,쇼핑업,47,중간,통과,202512,전년동월,1
202412,중구,음식점업,식음료업,36,높음,통과,202512,전년동월,1
