관리구군명,관리기관명,방문객수(명),방문일,연번
부산광역시 해운대구,관광시설관리사업소,59540,2025-06-21,1
부산광역시 해운대구,관광시설관리사업소,68944,2025-06-22,2
부산광역시 해운대구,관광시설관리사업소,52284,2025-06-23,3
부산광역시 해운대구,관광시설관리사업소,43566,2025-06-24,4
부산광역시 해운대구,관광시설관리사업소,53035,2025-06-25,5
부산광역시 해운대구,관광시설관리사업소,55334,2025-06-26,6
부산광역시 해운대구,관광시설관리사업소,62811,2025-06-27,7
부산광역시 해운대구,관광시설관리사업소,82182,2025-06-28,8
부산광역시 해운대구,관광시설관리사업소,74179,2025-06-29,9
부산광역시 해운대구,관광시설관리사업소,51299,2025-06-30,10
부산광역시 해운대구,관광시설관리사업소,49630,2025-07-01,11
부산광역시 해운대구,관광시설관리사업소,51237,2025-07-02,12
부산광역시 해운대구,관광시설관리사업소,52555,2025-07-03,13
부산광역시 해운대구,관광시설관리사업소,64568,2025-07-04,14
부산광역시 해운대구,관광시설관리사업소,85827,2025-07-05,15
부산광역시 해운대구,관광시설관리사업소,76248,2025-07-06,16
부산광역시 해운대구,관광시설관리사업소,52373,2025-07-07,17
부산광역시 해운대구,관광시설관리사업소,50827,2025-07-08,18
부산광역시 해운대구,관광시설관리사업소,52775,2025-07-09,19
부산광역시 해운대구,관광시설관리사업소,53871,2025-07-10,20
부산광역시 해운대구,관광시설관리사업소,63064,2025-07-11,21
부산광역시 해운대구,관광시설관리사업소,118371,2025-07-12,22
부산광역시 해운대구,관광시설관리사업소,95630,2025-07-13,23
부산광역시 해운대구,관광시설관리사업소,76235,2025-07-14,24
부산광역시 해운대구,관광시설관리사업소,77075,2025-07-15,25
부산광역시 해운대구,관광시설관리사업소,77897,2025-07-16,26
부산광역시 해운대구,관광시설관리사업소,76247,2025-07-17,27
부산광역시 해운대구,관광시설관리사업소,80120,2025-07-18,28
부산광역시 해운대구,관광시설관리사업소,96620,2025-07-19,29
부산광역시 해운대구,관광시설관리사업소,99224,2025-07-20,30
부산광역시 해운대구,관광시설관리사업소,81008,2025-07-21,31
부산광역시 해운대구,관광시설관리사업소,81374,2025-07-22,32
부산광역시 해운대구,관광시설관리사업소,83261,2025-07-23,33
부산광역시 해운대구,관광시설관리사업소,87197,2025-07-24,34
부산광역시 해운대구,관광시설관리사업소,231794,2025-07-25,35
부산광역시 해운대구,관광시설관리사업소,254699,2025-07-26,36
부산광역시 해운대구,관광시설관리사업소,247493,2025-07-27,37
부산광역시 해운대구,관광시설관리사업소,238685,2025-07-28,38
부산광역시 해운대구,관광시설관리사업소,238077,2025-07-29,39
부산광역시 해운대구,관광시설관리사업소,245330,2025-07-30,40
부산광역시 해운대구,관광시설관리사업소,248068,2025-07-31,41
부산광역시 해운대구,관광시설관리사업소,263483,2025-08-01,42
부산광역시 해운대구,관광시설관리사업소,275564,2025-08-02,43
부산광역시 해운대구,관광시설관리사업소,254135,2025-08-03,44
부산광역시 해운대구,관광시설관리사업소,230177,2025-08-04,45
부산광역시 해운대구,관광시설관리사업소,230540,2025-08-05,46
부산광역시 해운대구,관광시설관리사업소,222879,2025-08-06,47
부산광역시 해운대구,관광시설관리사업소,227667,2025-08-07,48
부산광역시 해운대구,관광시설관리사업소,239947,2025-08-08,49
부산광역시 해운대구,관광시설관리사업소,247053,2025-08-09,50
부산광역시 해운대구,관광시설관리사업소,228836,2025-08-10,51
부산광역시 해운대구,관광시설관리사업소,213181,2025-08-11,52
부산광역시 해운대구,관광시설관리사업소,144878,2025-08-12,53
부산광역시 해운대구,관광시설관리사업소,221893,2025-08-13,54
부산광역시 해운대구,관광시설관리사업소,239882,2025-08-14,55
부산광역시 해운대구,관광시설관리사업소,270637,2025-08-15,56
부산광역시 해운대구,관광시설관리사업소,271111,2025-08-16,57
부산광역시 해운대구,관광시설관리사업소,240851,2025-08-17,58
부산광역시 해운대구,관광시설관리사업소,84573,2025-08-18,59
부산광역시 해운대구,관광시설관리사업소,82604,2025-08-19,60
부산광역시 해운대구,관광시설관리사업소,80145,2025-08-20,61
부산광역시 해운대구,관광시설관리사업소,79291,2025-08-21,62
부산광역시 해운대구,관광시설관리사업소,89522,2025-08-22,63
부산광역시 해운대구,관광시설관리사업소,110049,2025-08-23,64
부산광역시 해운대구,관광시설관리사업소,99901,2025-08-24,65
부산광역시 해운대구,관광시설관리사업소,56508,2025-08-25,66
부산광역시 해운대구,관광시설관리사업소,54758,2025-08-26,67
부산광역시 해운대구,관광시설관리사업소,57475,2025-08-27,68
부산광역시 해운대구,관광시설관리사업소,58281,2025-08-28,69
부산광역시 해운대구,관광시설관리사업소,66449,2025-08-29,70
부산광역시 해운대구,관광시설관리사업소,86132,2025-08-30,71
부산광역시 해운대구,관광시설관리사업소,66751,2025-08-31,72
부산광역시 해운대구,관광시설관리사업소,46400,2025-09-01,73
부산광역시 해운대구,관광시설관리사업소,44552,2025-09-02,74
부산광역시 해운대구,관광시설관리사업소,47188,2025-09-03,75
부산광역시 해운대구,관광시설관리사업소,48981,2025-09-04,76
부산광역시 해운대구,관광시설관리사업소,58062,2025-09-05,77
부산광역시 해운대구,관광시설관리사업소,79519,2025-09-06,78
부산광역시 해운대구,관광시설관리사업소,66717,2025-09-07,79
부산광역시 해운대구,관광시설관리사업소,48345,2025-09-08,80
부산광역시 해운대구,관광시설관리사업소,48668,2025-09-09,81
부산광역시 해운대구,관광시설관리사업소,52270,2025-09-10,82
부산광역시 해운대구,관광시설관리사업소,56504,2025-09-11,83
부산광역시 해운대구,관광시설관리사업소,65214,2025-09-12,84
부산광역시 해운대구,관광시설관리사업소,81336,2025-09-13,85
부산광역시 해운대구,관광시설관리사업소,65452,2025-09-14,86
