기준연월,시도명,관광총소비_소비금액(만원),제과음료업_소비금액(만원),일반외식업_소비금액(만원),뷰티_소비금액(만원),문화서비스_소비금액(만원),기타레저_소비금액(만원),골프장_소비금액(만원),기타관광쇼핑_소비금액(만원),레저용품쇼핑_소비금액(만원),대형쇼핑몰_소비금액(만원),면세점_소비금액(만원),수상운송_소비금액(만원),육상운송_소비금액(만원),여행업_소비금액(만원),기타숙박_소비금액(만원),캠핑장/펜션_소비금액(만원),호텔_소비금액(만원),렌터카_소비금액(만원),관광유원시설_소비금액(만원),콘도_소비금액(만원),항공운송_소비금액(만원)
202301,부산광역시,82675375.2,2815834.9,18965276.6,1362274.9,431933.3,670500.3,424275.2,16590914.1,887364.2,25911141.1,307511.7,58581.5,11273808.9,99586.7,732592,8499.1,1488080.8,38996.1,154091.6,933.7,453178.5
202302,부산광역시,74452073.2,2631605.4,18053150.9,1283959.1,354590.6,611491.1,479781.6,13199312.3,785078.4,22818271.6,291655.8,78611.3,10300758.5,147438.4,831329.2,9791.6,1451903,48851.7,175832.2,1171.8,897488.5
202303,부산광역시,80436465,2792621.3,18637976.4,1523178.1,365138.2,611579.6,673657.9,15820321.2,1109484.8,24368241.9,272071.9,91000.8,11236007.8,108005.4,780651.8,8460.7,1093238.3,40387.8,98276.7,431.5,805732.9
202304,부산광역시,79768732.1,2869988.4,19005614.3,1362327.1,360823.6,614856.2,689455.3,14915842.6,1125409.6,24786735.7,252987.3,139091,10825722.3,95562.8,862780.4,8375,1167491.4,34925.8,136484.9,511.2,513747.1
202305,부산광역시,82578737.8,3031012.2,20233412.6,1456109.9,438969.1,663542.6,701352.5,15852051.1,1063442.2,24724860.2,284302.6,134808.8,10804681.9,120352.6,904249.7,9912.2,1402037,40578.4,151605.6,559.6,560896.8
202306,부산광역시,78061896.2,2962431.8,19024381.8,1536743.8,483504.6,652423.1,712104.3,15423628.3,998834.3,22541352,314999.3,128971.9,10184165.6,129980.1,795806.2,6939.1,1331821.2,33670.1,141147.8,1552.4,657438.6
202307,부산광역시,81970055.9,3141982.9,20331325,1502688.9,504067,716658,600687.8,16087580.6,904027.3,23408871.5,381098,101675.4,10528942.8,137815.7,918054.6,7991.7,1772429.3,33366.3,128585.5,1760.5,760447.2
202308,부산광역시,84147581.8,3341670.4,21161310.9,1443867.9,491452.5,741309.6,619439.8,16912229.3,807027.8,22325495.7,377949.3,125174.4,11744824.6,104199.6,945712.3,10322.3,2031275.7,40436.8,159284.9,1230.9,763367.2
202309,부산광역시,84113281.3,3043054.5,19160038,1480410.8,391511.2,665639.3,672669.7,17943038.3,980551.6,24164834.3,361202.4,108490.4,11881078.7,111571.5,715886.4,7646,1439773.1,38778.6,184627.9,693,761785.5
202310,부산광역시,84737744.3,3049579.4,19671532.9,1465878,389312.3,656426.6,749439.3,15613227.6,1329365.8,26282159.5,349617.8,212383.1,11614749,150121,863447,8049.3,1298860.9,33331.4,199285.4,2756,798222
