행정구,연도,현지인 관광소비액(만원),외지인 관광소비액(만원),외국인 관광소비액(만원),폐업수
강서구,2023,519363,75780511,1621782,3755
금정구,2023,1630295,29911626,373546,3645
기장군,2023,656326,93094637,3668080,3429
남구,2023,411158,37818510,1924294,4104
동구,2023,348419,34024491,2915874,2212
동래구,2023,1858036,44570809,339655,4195
부산진구,2023,8154977,95240851,13060002,7057
북구,2023,762990,100493638,185475,3486
사상구,2023,217889,43793223,2609017,3927
사하구,2023,270104,25484769,418793,4102
서구,2023,77761,14131156,807360,1434
수영구,2023,137856,45005692,1012142,3856
연제구,2023,209903,45261062,180284,3616
영도구,2023,151192,9737699,307881,1360
중구,2023,552681,39575823,5801034,1892
해운대구,2023,54888962,177280953,12666005,8005
강서구,2024,586163,84153864,2246143,4123
금정구,2024,1515273,29390062,445096,3503
기장군,2024,637235,95389459,5834485,3421
남구,2024,377164,38073969,2412164,3956
동구,2024,354082,35241740,3066348,2126
동래구,2024,1893395,45731455,321930,4149
부산진구,2024,7146688,92926730,18736206,7315
북구,2024,614522,102099986,230412,3403
사상구,2024,209700,44116597,3137342,3730
사하구,2024,294417,26534266,865519,4046
서구,2024,88519,14927406,1165817,1451
수영구,2024,167187,44239555,1619407,3702
연제구,2024,196460,46704503,218656,3609
영도구,2024,151769,9955753,738132,1459
중구,2024,546838,40264641,8177504,1870
해운대구,2024,53846212,175494034,20217374,7301
강서구,2025,534198,84086008,2470115,3850
금정구,2025,1496228,29239678,527923,3365
기장군,2025,610659,99707936,9245041,3200
남구,2025,338085,39162445,2042208,3676
동구,2025,389900,36325065,2804658,2277
동래구,2025,2045840,48323661,415356,4090
부산진구,2025,6616335,95476750,25666996,6911
북구,2025,473337,108119438,364379,3275
사상구,2025,186930,42356547,4129336,3533
사하구,2025,324082,26499157,1130082,3797
서구,2025,105763,15315828,1408930,1456
수영구,2025,160915,44870861,2402705,3515
연제구,2025,205733,44507644,293306,3648
영도구,2025,123472,9769085,1013443,1374
중구,2025,521803,41392844,10134844,1746
해운대구,2025,55236163,178248074,29913655,6938
