행정구,기준연월,업종대분류,현지인 소비액(만원),외지인 소비액(만원),외국인 소비액(만원)
강서구,202301,쇼핑업,17538,1200000,46708
강서구,202301,숙박업,4101,44735,4231
강서구,202301,식음료업,0,1000000,3265
강서구,202301,여가서비스업,6005,78259,21
강서구,202301,여행업,0,749,0
강서구,202301,운송업,1566,3540000,2896
강서구,202301,의료웰니스업,3751,39032,703
강서구,202302,쇼핑업,13035,1020000,37193
강서구,202302,숙박업,5262,44969,7428
강서구,202302,식음료업,0,972058,4130
강서구,202302,여가서비스업,3631,71370,99
강서구,202302,여행업,0,3454,76
강서구,202302,운송업,8452,3890000,2079
강서구,202302,의료웰니스업,2487,32316,486
강서구,202303,쇼핑업,20492,1130000,66375
강서구,202303,숙박업,3329,36561,11948
강서구,202303,식음료업,0,1060000,6414
강서구,202303,여가서비스업,5156,98461,145
강서구,202303,여행업,0,240,0
강서구,202303,운송업,3521,4160000,3207
강서구,202303,의료웰니스업,2784,39485,745
강서구,202304,쇼핑업,24737,1120000,92397
강서구,202304,숙박업,5582,36475,16438
강서구,202304,식음료업,0,1070000,7468
강서구,202304,여가서비스업,4988,102897,246
강서구,202304,여행업,0,2384,17
강서구,202304,운송업,4251,3700000,4271
강서구,202304,의료웰니스업,2727,33835,1500
강서구,202305,쇼핑업,23608,1160000,102080
강서구,202305,숙박업,3187,37398,14569
강서구,202305,식음료업,0,1120000,8465
강서구,202305,여가서비스업,8608,104560,153
강서구,202305,여행업,0,292,0
강서구,202305,운송업,2572,3640000,3492
강서구,202305,의료웰니스업,1929,37512,1501
강서구,202306,쇼핑업,26821,1160000,129958
강서구,202306,숙박업,3844,35363,13527
강서구,202306,식음료업,0,1060000,8590
강서구,202306,여가서비스업,7762,112777,201
강서구,202306,여행업,0,761,125
강서구,202306,운송업,4508,3480000,3530
강서구,202306,의료웰니스업,1311,36456,1479
강서구,202307,쇼핑업,21655,1240000,125529
강서구,202307,숙박업,5016,40591,14190
강서구,202307,식음료업,0,1140000,8643
강서구,202307,여가서비스업,8159,101523,1035
강서구,202307,여행업,0,68,99
강서구,202307,운송업,8524,3590000,3154
강서구,202307,의료웰니스업,2024,33389,2648
강서구,202308,쇼핑업,18574,1280000,119130
강서구,202308,숙박업,5889,44079,14763
강서구,202308,식음료업,0,1150000,8276
강서구,202308,여가서비스업,9697,102392,227
강서구,202308,여행업,359,2635,0
강서구,202308,운송업,9260,4040000,3739
강서구,202308,의료웰니스업,1314,34269,1484
강서구,202309,쇼핑업,29660,1360000,138997
강서구,202309,숙박업,3082,36187,16789
강서구,202309,식음료업,0,1080000,8620
강서구,202309,여가서비스업,6108,107044,165
강서구,202309,여행업,0,2233,0
강서구,202309,운송업,3669,4000000,3380
강서구,202309,의료웰니스업,1773,35182,1481
강서구,202310,쇼핑업,39706,1290000,172101
강서구,202310,숙박업,2709,42806,22101
강서구,202310,식음료업,0,1110000,10984
강서구,202310,여가서비스업,7135,120738,393
강서구,202310,여행업,0,0,0
강서구,202310,운송업,6748,4020000,3921
강서구,202310,의료웰니스업,2297,36411,1865
강서구,202311,쇼핑업,31591,1200000,157751
강서구,202311,숙박업,3499,37124,17322
강서구,202311,식음료업,0,1020000,9922
강서구,202311,여가서비스업,6173,100565,351
강서구,202311,여행업,0,0,208
강서구,202311,운송업,4097,4080000,2500
강서구,202311,의료웰니스업,2811,35927,917
강서구,202312,쇼핑업,25970,1340000,114971
강서구,202312,숙박업,5554,39638,13915
강서구,202312,식음료업,0,1180000,8291
강서구,202312,여가서비스업,8953,94144,245
강서구,202312,여행업,0,0,100
강서구,202312,운송업,7061,4060000,2199
강서구,202312,의료웰니스업,2751,41167,1220
강서구,202401,쇼핑업,17031,1270000,114960
강서구,202401,숙박업,4260,38632,13811
강서구,202401,식음료업,0,1060000,7900
강서구,202401,여가서비스업,6322,80809,424
강서구,202401,여행업,0,0,72
강서구,202401,운송업,7438,3790000,1990
강서구,202401,의료웰니스업,3185,38103,1133
강서구,202402,쇼핑업,19803,1390000,101876
강서구,202402,숙박업,3627,30184,15723
강서구,202402,식음료업,0,1030000,7819
강서구,202402,여가서비스업,6264,79621,484
강서구,202402,여행업,0,66,240
강서구,202402,운송업,4437,3520000,2872
강서구,202402,의료웰니스업,2394,34358,1069
강서구,202403,쇼핑업,25822,1460000,137288
강서구,202403,숙박업,5971,39836,20019
강서구,202403,식음료업,0,1170000,11348
강서구,202403,여가서비스업,7171,97439,370
강서구,202403,여행업,0,2335,85
강서구,202403,운송업,6848,4210000,2765
강서구,202403,의료웰니스업,2876,43283,1666
강서구,202404,쇼핑업,28101,1410000,147964
강서구,202404,숙박업,4290,31925,22949
강서구,202404,식음료업,0,1100000,14302
강서구,202404,여가서비스업,7339,102745,584
강서구,202404,여행업,0,819,131
강서구,202404,운송업,6304,4070000,3543
강서구,202404,의료웰니스업,2177,37147,1656
강서구,202405,쇼핑업,27188,1510000,151311
강서구,202405,숙박업,4650,39019,16116
강서구,202405,식음료업,0,1220000,12949
강서구,202405,여가서비스업,8107,116313,880
강서구,202405,여행업,0,280,311
강서구,202405,운송업,11029,4300000,2875
강서구,202405,의료웰니스업,1939,36488,2856
강서구,202406,쇼핑업,26732,1480000,163979
강서구,202406,숙박업,6024,34993,18891
강서구,202406,식음료업,0,1140000,12460
강서구,202406,여가서비스업,7385,106437,536
강서구,202406,여행업,0,393,103
강서구,202406,운송업,10130,3990000,3960
강서구,202406,의료웰니스업,1833,37572,1962
강서구,202407,쇼핑업,23783,1470000,147862
강서구,202407,숙박업,7248,44268,18758
강서구,202407,식음료업,0,1150000,11538
강서구,202407,여가서비스업,7408,95767,637
강서구,202407,여행업,0,3589,142
강서구,202407,운송업,8201,4430000,2923
강서구,202407,의료웰니스업,1864,37268,1763
강서구,202408,쇼핑업,20130,1510000,149508
강서구,202408,숙박업,4900,50182,16108
강서구,202408,식음료업,0,1210000,10713
강서구,202408,여가서비스업,7862,105116,628
강서구,202408,여행업,0,218,0
강서구,202408,운송업,7430,4110000,3010
강서구,202408,의료웰니스업,2291,37986,1876
강서구,202409,쇼핑업,23199,1500000,162282
강서구,202409,숙박업,3484,32801,16204
강서구,202409,식음료업,0,1120000,10605
강서구,202409,여가서비스업,6867,100127,369
강서구,202409,여행업,0,1861,0
강서구,202409,운송업,12388,4120000,2500
강서구,202409,의료웰니스업,2073,33994,1966
강서구,202410,쇼핑업,35677,1520000,191205
강서구,202410,숙박업,3542,36463,18941
강서구,202410,식음료업,0,1140000,14999
