기준연월,시군구명,일평균_이용금액(만원),일평균_이용건수,건당_평균이용금액(만원)
202301,강서구,471096.8618,85657,5.499806
202301,금정구,365171.1535,104867,3.482231
202301,기장군,453155.0654,91013,4.979015
202301,남구,395155.7874,112044,3.526791
202301,동구,197969.6727,58142,3.404934
202301,동래구,522287.937,129896,4.020816
202301,부산진구,909674.8327,223919,4.062517
202301,북구,537813.4999,138108,3.894152
202301,사상구,417778.5315,106224,3.932996
202301,사하구,423257.8524,122872,3.444705
202301,서구,203240.7905,45384,4.478248
202301,수영구,400074.5469,97982,4.083143
202301,연제구,412456.7315,98630,4.181859
202301,영도구,120140.1098,38192,3.145688
202301,중구,234687.9637,54064,4.340929
202301,해운대구,878814.5092,193960,4.530906
202302,강서구,518667.6662,91550,5.665403
202302,금정구,385736.4187,111021,3.474446
202302,기장군,463013.9129,97032,4.771765
202302,남구,395742.2925,118195,3.348215
202302,동구,207135.1161,63037,3.285929
202302,동래구,526400.0146,136724,3.850092
202302,부산진구,929469.533,236441,3.931084
202302,북구,500788.3841,141360,3.542646
202302,사상구,404005.2864,110644,3.651398
202302,사하구,437929.3625,129785,3.374268
202302,서구,213393.8584,49123,4.344072
202302,수영구,415871.9675,104419,3.982723
202302,연제구,389198.2414,102790,3.786343
202302,영도구,121078.2007,40582,2.983544
202302,중구,231896.6901,56813,4.081754
202302,해운대구,918454.4231,206741,4.442536
202303,강서구,490083.2404,93231,5.256655
202303,금정구,383311.7608,120638,3.177372
202303,기장군,450811.4826,96560,4.668719
202303,남구,405396.9904,128799,3.147517
202303,동구,201871.9331,61656,3.274165
202303,동래구,527930.4542,139775,3.777002
202303,부산진구,899982.5326,238589,3.772104
202303,북구,516730.185,146419,3.52912
202303,사상구,408450.0616,118594,3.444104
202303,사하구,428858.2659,134994,3.176869
202303,서구,210314.3831,51308,4.099056
202303,수영구,398461.5525,103259,3.858855
202303,연제구,381880.011,105117,3.632904
202303,영도구,120511.1584,42340,2.846272
202303,중구,223170.0441,55045,4.05432
202303,해운대구,864528.6147,200198,4.318368
202304,강서구,522869.6735,94308,5.544277
202304,금정구,378107.5012,120512,3.137509
202304,기장군,468409.9928,100441,4.663534
202304,남구,404589.7276,129937,3.113738
202304,동구,208639.4941,63390,3.291363
202304,동래구,524812.2705,142224,3.69004
202304,부산진구,891102.2692,240801,3.700575
202304,북구,514508.3727,147142,3.496679
202304,사상구,407640.6553,120104,3.394064
202304,사하구,428950.7308,137414,3.121594
202304,서구,210444.5981,51255,4.105835
202304,수영구,379645.2172,105128,3.611266
202304,연제구,383451.0979,106703,3.59363
202304,영도구,122346.5352,43444,2.816189
202304,중구,230074.6427,56401,4.079265
202304,해운대구,883857.6733,205320,4.304781
202305,강서구,507833.6313,93949,5.405418
202305,금정구,385081.1519,120656,3.191562
202305,기장군,460359.2716,100180,4.595321
202305,남구,400897.7574,128869,3.110894
202305,동구,211735.75,64606,3.277339
202305,동래구,528856.5691,141984,3.724762
202305,부산진구,901069.4187,244078,3.691727
202305,북구,505668.5976,145837,3.467355
202305,사상구,406059.8244,118427,3.428777
202305,사하구,434347.3754,137285,3.163837
202305,서구,212752.3789,51825,4.105208
202305,수영구,375988.8863,105388,3.567663
202305,연제구,386323.8849,106227,3.636777
202305,영도구,123700.2424,43716,2.829633
202305,중구,233672.3742,57310,4.07734
202305,해운대구,904636.2472,206493,4.380954
202306,강서구,500696.1941,97346,5.14347
202306,금정구,382298.0915,121682,3.14178
202306,기장군,443372.7597,102054,4.344492
202306,남구,405728.1582,131396,3.087827
202306,동구,215527.8051,66860,3.223569
202306,동래구,547888.664,146473,3.740544
202306,부산진구,916649.9271,249681,3.671284
202306,북구,515801.3768,150693,3.422862
202306,사상구,408420.2721,121250,3.368415
202306,사하구,434270.9524,140870,3.082778
202306,서구,220153.1441,53696,4.099992
202306,수영구,379913.2598,110650,3.433468
202306,연제구,400299.9953,108974,3.673353
202306,영도구,124531.6396,45376,2.744438
202306,중구,234023.8533,59406,3.939398
202306,해운대구,919042.6973,215749,4.259777
202307,강서구,468644.0418,94313,4.969029
202307,금정구,366970.7057,112911,3.250088
202307,기장군,425690.7203,99533,4.27688
202307,남구,379458.1845,121537,3.122162
202307,동구,208926.4466,65584,3.185631
202307,동래구,527101.5295,140579,3.749504
202307,부산진구,879722.8969,242712,3.624555
202307,북구,504227.8096,147050,3.428955
202307,사상구,398437.311,115209,3.458387
202307,사하구,417605.6842,134435,3.106376
202307,서구,199577.837,50236,3.972805
202307,수영구,364514.0265,108709,3.353117
202307,연제구,418493.6638,107253,3.90193
202307,영도구,117322.2941,42435,2.764753
202307,중구,215356.1528,56923,3.783289
202307,해운대구,894226.5524,214232,4.174104
202308,강서구,472550.2019,95601,4.942942
202308,금정구,383475.2922,114997,3.334655
202308,기장군,438466.0934,103153,4.250638
202308,남구,395576.6825,127010,3.114532
202308,동구,210730.9514,69489,3.03258
202308,동래구,530969.6767,146013,3.636455
202308,부산진구,869570.8689,247984,3.50656
202308,북구,511440.1725,151438,3.377225
202308,사상구,403444.2535,118784,3.396453
202308,사하구,425623.5796,138384,3.07567
202308,서구,210789.9088,53607,3.932134
202308,수영구,375806.4081,114310,3.287607
202308,연제구,386401.8553,109987,3.513159
202308,영도구,124411.8986,44820,2.775812
202308,중구,219104.5067,60278,3.6349
202308,해운대구,932123.6475,223492,4.170725
202309,강서구,500923.6282,95010,5.272325
202309,금정구,428902.6233,125125,3.427793
202309,기장군,486983.9002,101501,4.797824
202309,남구,441749.3603,134969,3.272969
202309,동구,224445.2978,67506,3.32482
202309,동래구,584926.0301,146580,3.99049
202309,부산진구,971850.665,255366,3.805717
202309,북구,582557.6999,154575,3.76877
202309,사상구,464890.9035,126406,3.67776
202309,사하구,465062.5204,143757,3.23506
202309,서구,224486.4566,53990,4.157927
202309,수영구,399069.8686,111436,3.581158
202309,연제구,460666.4454,112492,4.095104
202309,영도구,137095.8097,46650,2.938817
202309,중구,247028.1527,60508,4.08257
202309,해운대구,969715.7264,212627,4.560642
202310,강서구,488689.5243,94842,5.15267
202310,금정구,391762.4025,124340,3.150735
202310,기장군,483148.4823,102611,4.708545
202310,남구,400763.5943,132951,3.014371
202310,동구,210628.3117,68146,3.090839
202310,동래구,541155.9012,144974,3.732779
202310,부산진구,896358.4375,251969,3.557416
202310,북구,516605.0562,150397,3.434943
202310,사상구,413762.9927,123252,3.357049
202310,사하구,432030.3104,141712,3.04865
202310,서구,211290.3629,54240,3.895471
202310,수영구,367890.2869,109977,3.345157
202310,연제구,411665.3865,109449,3.761253
202310,영도구,125539.4285,45601,2.752997
202310,중구,241304.8989,61713,3.910115
202310,해운대구,909695.3352,209050,4.351568
202311,강서구,505513.5786,92696,5.453456
202311,금정구,418819.6009,122930,3.406976
202311,기장군,462283.3443,93840,4.926293
202311,남구,415230.9773,132356,3.137228
202311,동구,217537.8912,67533,3.221209
202311,동래구,563077.0173,141015,3.993029
202311,부산진구,941330.3652,251243,3.746693
202311,북구,513788.4332,146279,3.512387
202311,사상구,424758.1256,122242,3.474731
202311,사하구,437958.6569,137585,3.183186
202311,서구,222327.3757,53138,4.183962
202311,수영구,375249.8522,106704,3.516737
202311,연제구,401263.0009,108683,3.692049
202311,영도구,124296.0524,43872,2.833152
202311,중구,243465.778,59862,4.067117
202311,해운대구,948800.9305,204701,4.635058
202312,강서구,492514.2796,90679,5.431404
202312,금정구,404494.2854,117397,3.445525
202312,기장군,497215.9313,96262,5.165236
202312,남구,415912.3796,127241,3.268698
202312,동구,217691.1339,66506,3.273256
202312,동래구,590482.0428,140028,4.216886
