index,연도,지역구분,지역명,신규사업자_총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
0,2023,전국,전국,1275569,128455,1147114,627157,399063,120894
1,2023,부산전체,부산,70460,6238,64222,34423,23641,6158
2,2023,부산구군,강서구,5590,703,4887,3031,1353,503
3,2023,부산구군,금정구,3788,301,3487,1838,1335,314
4,2023,부산구군,기장군,4220,380,3840,1984,1420,436
5,2023,부산구군,남구,4741,415,4326,2214,1650,462
6,2023,부산구군,동구,2396,327,2069,1199,672,198
7,2023,부산구군,동래구,4841,381,4460,2082,1888,490
8,2023,부산구군,부산진구,8688,640,8048,4318,2999,731
9,2023,부산구군,북구,3838,211,3627,1730,1560,337
10,2023,부산구군,사상구,4063,338,3725,2125,1283,317
11,2023,부산구군,사하구,4961,322,4639,2244,1980,415
12,2023,부산구군,서구,1601,135,1466,709,591,166
13,2023,부산구군,수영구,5011,367,4644,2545,1655,444
14,2023,부산구군,연제구,4332,394,3938,2026,1554,358
15,2023,부산구군,영도구,1529,141,1388,677,610,101
16,2023,부산구군,중구,1913,225,1688,1158,456,74
17,2023,부산구군,해운대구,8948,958,7990,4543,2635,812
18,2024,전국,전국,1217660,131633,1086027,598742,373411,113874
19,2024,부산전체,부산,64251,6187,58064,31352,21180,5532
20,2024,부산구군,강서구,4811,749,4062,2625,1028,409
21,2024,부산구군,금정구,3547,296,3251,1738,1208,305
22,2024,부산구군,기장군,3783,403,3380,1764,1183,433
23,2024,부산구군,남구,4334,448,3886,1967,1536,383
24,2024,부산구군,동구,2270,324,1946,1137,651,158
25,2024,부산구군,동래구,4561,339,4222,2085,1661,476
26,2024,부산구군,부산진구,7991,611,7380,3830,2852,698
27,2024,부산구군,북구,3644,213,3431,1661,1486,284
28,2024,부산구군,사상구,3602,320,3282,1956,1065,261
29,2024,부산구군,사하구,4290,347,3943,2029,1582,332
30,2024,부산구군,서구,1430,102,1328,697,493,138
31,2024,부산구군,수영구,4359,333,4026,2047,1610,369
32,2024,부산구군,연제구,4276,390,3886,2006,1501,379
33,2024,부산구군,영도구,1449,135,1314,690,510,114
34,2024,부산구군,중구,1717,217,1500,1023,402,75
35,2024,부산구군,해운대구,8187,960,7227,4097,2412,718
36,2025,전국,전국,1168273,128280,1039993,573870,354263,111860
37,2025,부산전체,부산,60997,6137,54860,30170,19307,5383
38,2025,부산구군,강서구,4740,733,4007,2590,947,470
39,2025,부산구군,금정구,3348,322,3026,1630,1104,292
40,2025,부산구군,기장군,3495,380,3115,1648,1092,375
41,2025,부산구군,남구,4053,367,3686,1965,1358,363
42,2025,부산구군,동구,2547,224,2323,1512,665,146
43,2025,부산구군,동래구,4389,345,4044,2086,1501,457
44,2025,부산구군,부산진구,7598,620,6978,3654,2650,674
45,2025,부산구군,북구,3442,293,3149,1630,1219,300
46,2025,부산구군,사상구,3330,327,3003,1845,934,224
47,2025,부산구군,사하구,3890,339,3551,1841,1361,349
48,2025,부산구군,서구,1421,111,1310,675,481,154
49,2025,부산구군,수영구,4403,510,3893,1965,1571,357
50,2025,부산구군,연제구,3736,326,3410,1795,1284,331
51,2025,부산구군,영도구,1328,113,1215,615,507,93
52,2025,부산구군,중구,1684,240,1444,937,410,97
53,2025,부산구군,해운대구,7593,887,6706,3782,2223,701
