index,연도,지역구분,지역명,폐업자_총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
0,2023,전국,전국,986487,75668,910819,499677,316580,94562
1,2023,부산전체,부산,60075,3927,56148,30689,20208,5251
2,2023,부산구군,강서구,3755,353,3402,2216,883,303
3,2023,부산구군,금정구,3645,216,3429,1872,1257,300
4,2023,부산구군,기장군,3429,229,3200,1753,1144,303
5,2023,부산구군,남구,4104,222,3882,2027,1485,370
6,2023,부산구군,동구,2212,169,2043,1276,613,154
7,2023,부산구군,동래구,4195,216,3979,2001,1588,390
8,2023,부산구군,부산진구,7057,404,6653,3716,2306,631
9,2023,부산구군,북구,3486,166,3320,1571,1417,332
10,2023,부산구군,사상구,3927,256,3671,2184,1206,281
11,2023,부산구군,사하구,4102,208,3894,1906,1609,379
12,2023,부산구군,서구,1434,90,1344,669,509,166
13,2023,부산구군,수영구,3856,207,3649,1900,1344,405
14,2023,부산구군,연제구,3616,292,3324,1713,1296,315
15,2023,부산구군,영도구,1360,77,1283,697,487,99
16,2023,부산구군,중구,1892,158,1734,1150,485,99
17,2023,부산구군,해운대구,8005,664,7341,4038,2579,724
18,2024,전국,전국,1008282,82931,925351,503523,329436,92392
19,2024,부산전체,부산,59164,3988,55176,29901,20132,5143
20,2024,부산구군,강서구,4123,414,3709,2374,1032,303
21,2024,부산구군,금정구,3503,209,3294,1723,1252,319
22,2024,부산구군,기장군,3421,276,3145,1658,1143,344
23,2024,부산구군,남구,3956,249,3707,1882,1464,361
24,2024,부산구군,동구,2126,218,1908,1119,654,135
25,2024,부산구군,동래구,4149,234,3915,1956,1528,431
26,2024,부산구군,부산진구,7315,492,6823,3785,2474,564
27,2024,부산구군,북구,3403,189,3214,1474,1417,323
28,2024,부산구군,사상구,3730,229,3501,2030,1210,261
29,2024,부산구군,사하구,4046,174,3872,1924,1603,345
30,2024,부산구군,서구,1451,93,1358,669,528,161
31,2024,부산구군,수영구,3702,192,3510,1941,1226,343
32,2024,부산구군,연제구,3609,240,3369,1734,1317,318
33,2024,부산구군,영도구,1459,80,1379,731,553,95
34,2024,부산구군,중구,1870,152,1718,1197,419,102
35,2024,부산구군,해운대구,7301,547,6754,3704,2312,738
36,2025,전국,전국,975681,85270,890411,483210,313861,93340
37,2025,부산전체,부산,56651,4177,52474,28514,18942,5018
38,2025,부산구군,강서구,3850,408,3442,2310,834,298
39,2025,부산구군,금정구,3365,244,3121,1706,1127,288
40,2025,부산구군,기장군,3200,268,2932,1537,1079,316
41,2025,부산구군,남구,3676,326,3350,1718,1279,353
42,2025,부산구군,동구,2277,196,2081,1263,680,138
43,2025,부산구군,동래구,4090,205,3885,1918,1545,422
44,2025,부산구군,부산진구,6911,438,6473,3532,2344,597
45,2025,부산구군,북구,3275,184,3091,1473,1329,289
46,2025,부산구군,사상구,3533,233,3300,1969,1094,237
47,2025,부산구군,사하구,3797,235,3562,1764,1459,339
48,2025,부산구군,서구,1456,104,1352,668,525,159
49,2025,부산구군,수영구,3515,214,3301,1789,1207,305
50,2025,부산구군,연제구,3648,260,3388,1688,1342,358
51,2025,부산구군,영도구,1374,79,1295,635,545,115
52,2025,부산구군,중구,1746,195,1551,997,443,111
53,2025,부산구군,해운대구,6938,588,6350,3547,2110,693
