연도,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
2023,강서구,2704399,39971333,30254373,72930105
2023,금정구,321529,29679346,44717001,74717876
2023,기장군,1156329,41591226,35402889,78150444
2023,남구,1169844,30066424,50914948,82151216
2023,동구,1347927,33045121,16910425,51303473
2023,동래구,171791,36786089,49329933,86287813
2023,부산진구,1498406,71357781,76970831,149827018
2023,북구,160439,23854599,55222330,79237368
2023,사상구,345744,27717210,33470622,61533576
2023,사하구,980744,23240233,51782610,76003587
2023,서구,1045785,20305581,19291588,40642954
2023,수영구,613685,37754665,34324519,72692869
2023,연제구,269545,30045311,27026468,57341324
2023,영도구,1360032,19090145,22654233,43104410
2023,중구,1719723,39977112,14331239,56028074
2023,해운대구,2004682,67603182,86758205,156366069
2024,강서구,4030043,41067382,30329530,75426955
2024,금정구,386791,29811315,43610259,73808365
2024,기장군,1310556,40585639,35068923,76965118
2024,남구,1524894,30712129,49558877,81795900
2024,동구,1920485,36437030,16734737,55092252
2024,동래구,192906,38889593,48184331,87266830
2024,부산진구,2194039,71485828,74495639,148175506
2024,북구,176953,24157189,55962334,80296476
2024,사상구,495070,28450559,33608589,62554218
2024,사하구,1314261,23972633,49776858,75063752
2024,서구,1555147,20592181,19029836,41177164
2024,수영구,1051247,38222386,32284811,71558444
2024,연제구,343013,31276455,21528043,53147511
2024,영도구,1876650,18449959,22598356,42924965
2024,중구,2350960,39811722,14151391,56314073
2024,해운대구,3059826,68279911,87120814,158460551
2025,강서구,5571300,44556991,33443717,83572008
2025,금정구,442505,30955832,43454962,74853299
2025,기장군,1741118,42224335,37174627,81140080
2025,남구,1899761,32563907,50607369,85071037
2025,동구,2294701,39204182,17818321,59317204
2025,동래구,245458,42710110,52823417,95778985
2025,부산진구,2775733,76215951,77566318,156558002
2025,북구,208533,25448528,55802586,81459647
2025,사상구,682460,29560996,33291755,63535211
2025,사하구,1341956,25485967,54570253,81398176
2025,서구,2009549,21446598,19524855,42981002
2025,수영구,1543297,41449363,35562930,78555590
2025,연제구,377597,32669658,27017599,60064854
2025,영도구,2171879,18824561,22489609,43486049
2025,중구,2756611,40783846,14353420,57893877
2025,해운대구,4313576,72850929,89321976,166486481
2026,강서구,3389512,22477735,17716596,43583843
2026,금정구,254845,15634455,21775457,37664757
2026,기장군,1181207,20908681,19115803,41205691
2026,남구,1302400,16426237,25046013,42774650
2026,동구,1488392,18939768,9024379,29452539
2026,동래구,191400,21288718,26562285,48042403
2026,부산진구,1890328,37624095,39114583,78629006
2026,북구,121294,12589256,27704418,40414968
2026,사상구,424817,14681414,16557869,31664100
2026,사하구,698620,12475432,27176778,40350830
2026,서구,1362666,10673289,10018348,22054303
2026,수영구,1150549,20652002,18225654,40028205
2026,연제구,306616,16316112,13499867,30122595
2026,영도구,1576752,9491265,11231660,22299677
2026,중구,1808616,20045086,7163275,29016977
2026,해운대구,2996935,35138625,44679970,82815530
