기준연월,지역,외국인 방문자 수,구분
202607,중구,392134,외국인 방문자
202607,서구,303953,외국인 방문자
202607,동구,312009,외국인 방문자
202607,영도구,342318,외국인 방문자
202607,부산진구,410866,외국인 방문자
202607,동래구,34334,외국인 방문자
202607,남구,256778,외국인 방문자
202607,북구,27471,외국인 방문자
202607,해운대구,733817,외국인 방문자
202607,사하구,149153,외국인 방문자
202607,금정구,53924,외국인 방문자
202607,강서구,677009,외국인 방문자
202607,연제구,58948,외국인 방문자
202607,수영구,270758,외국인 방문자
202607,사상구,70306,외국인 방문자
202607,기장군,278720,외국인 방문자
202606,중구,389117,외국인 방문자
202606,서구,293336,외국인 방문자
202606,동구,338247,외국인 방문자
202606,영도구,336973,외국인 방문자
202606,부산진구,416951,외국인 방문자
202606,동래구,71131,외국인 방문자
202606,남구,275168,외국인 방문자
202606,북구,27195,외국인 방문자
202606,해운대구,726217,외국인 방문자
202606,사하구,152857,외국인 방문자
202606,금정구,55881,외국인 방문자
202606,강서구,712741,외국인 방문자
202606,연제구,133626,외국인 방문자
202606,수영구,288084,외국인 방문자
202606,사상구,73294,외국인 방문자
202606,기장군,259246,외국인 방문자
202605,중구,379734,외국인 방문자
202605,서구,290301,외국인 방문자
202605,동구,317733,외국인 방문자
202605,영도구,324775,외국인 방문자
202605,부산진구,384069,외국인 방문자
202605,동래구,32639,외국인 방문자
202605,남구,272085,외국인 방문자
202605,북구,24422,외국인 방문자
202605,해운대구,637919,외국인 방문자
202605,사하구,168797,외국인 방문자
202605,금정구,59845,외국인 방문자
202605,강서구,640400,외국인 방문자
202605,연제구,50203,외국인 방문자
202605,수영구,254471,외국인 방문자
202605,사상구,91507,외국인 방문자
202605,기장군,253034,외국인 방문자
202604,중구,340789,외국인 방문자
202604,서구,273872,외국인 방문자
202604,동구,282746,외국인 방문자
202604,영도구,282045,외국인 방문자
202604,부산진구,343387,외국인 방문자
202604,동래구,29196,외국인 방문자
202604,남구,249431,외국인 방문자
202604,북구,24175,외국인 방문자
202604,해운대구,572598,외국인 방문자
202604,사하구,132466,외국인 방문자
202604,금정구,49026,외국인 방문자
202604,강서구,579512,외국인 방문자
202604,연제구,43696,외국인 방문자
202604,수영구,227033,외국인 방문자
202604,사상구,94624,외국인 방문자
202604,기장군,227512,외국인 방문자
202603,중구,312989,외국인 방문자
202603,서구,211206,외국인 방문자
202603,동구,236843,외국인 방문자
202603,영도구,271715,외국인 방문자
202603,부산진구,317003,외국인 방문자
202603,동래구,25845,외국인 방문자
202603,남구,224524,외국인 방문자
202603,북구,18410,외국인 방문자
202603,해운대구,444749,외국인 방문자
202603,사하구,105800,외국인 방문자
202603,금정구,39964,외국인 방문자
202603,강서구,544952,외국인 방문자
202603,연제구,30759,외국인 방문자
202603,수영구,168859,외국인 방문자
202603,사상구,82460,외국인 방문자
202603,기장군,188665,외국인 방문자
202602,중구,212895,외국인 방문자
202602,서구,164788,외국인 방문자
202602,동구,172334,외국인 방문자
202602,영도구,199452,외국인 방문자
202602,부산진구,240210,외국인 방문자
202602,동래구,17148,외국인 방문자
202602,남구,153897,외국인 방문자
202602,북구,13930,외국인 방문자
202602,해운대구,349588,외국인 방문자
202602,사하구,74916,외국인 방문자
202602,금정구,26582,외국인 방문자
202602,강서구,464277,외국인 방문자
