기준연월,기초지자체,방문자 수,구분
202301,강서구,3381336,외지인 방문자
202301,금정구,2425745,외지인 방문자
202301,기장군,3759980,외지인 방문자
202301,남구,2470836,외지인 방문자
202301,동구,2645570,외지인 방문자
202301,동래구,3174882,외지인 방문자
202301,부산진구,6058770,외지인 방문자
202301,북구,2144142,외지인 방문자
202301,사상구,2321249,외지인 방문자
202301,사하구,2026636,외지인 방문자
202301,서구,1644464,외지인 방문자
202301,수영구,3214071,외지인 방문자
202301,연제구,2504044,외지인 방문자
202301,영도구,1572354,외지인 방문자
202301,중구,3278177,외지인 방문자
202301,해운대구,5661530,외지인 방문자
202302,강서구,3097090,외지인 방문자
202302,금정구,2179468,외지인 방문자
202302,기장군,3151040,외지인 방문자
202302,남구,2225542,외지인 방문자
202302,동구,2521082,외지인 방문자
202302,동래구,2723371,외지인 방문자
202302,부산진구,5580239,외지인 방문자
202302,북구,1752152,외지인 방문자
202302,사상구,2080824,외지인 방문자
202302,사하구,1741194,외지인 방문자
202302,서구,1528555,외지인 방문자
202302,수영구,2914562,외지인 방문자
202302,연제구,2190808,외지인 방문자
202302,영도구,1414186,외지인 방문자
202302,중구,3029810,외지인 방문자
202302,해운대구,5216491,외지인 방문자
202303,강서구,3563840,외지인 방문자
202303,금정구,3009496,외지인 방문자
202303,기장군,3456495,외지인 방문자
202303,남구,2980411,외지인 방문자
202303,동구,2688066,외지인 방문자
202303,동래구,3161700,외지인 방문자
202303,부산진구,6294806,외지인 방문자
202303,북구,2061300,외지인 방문자
202303,사상구,2669107,외지인 방문자
202303,사하구,2157662,외지인 방문자
202303,서구,1836712,외지인 방문자
202303,수영구,3131446,외지인 방문자
202303,연제구,2560562,외지인 방문자
202303,영도구,1678982,외지인 방문자
202303,중구,3369100,외지인 방문자
202303,해운대구,5414857,외지인 방문자
202304,강서구,3443132,외지인 방문자
202304,금정구,2328448,외지인 방문자
202304,기장군,3528004,외지인 방문자
202304,남구,2306836,외지인 방문자
202304,동구,2636410,외지인 방문자
202304,동래구,2947248,외지인 방문자
202304,부산진구,5626348,외지인 방문자
202304,북구,1958310,외지인 방문자
202304,사상구,2211646,외지인 방문자
202304,사하구,1807456,외지인 방문자
202304,서구,1609363,외지인 방문자
202304,수영구,3010872,외지인 방문자
202304,연제구,2347572,외지인 방문자
202304,영도구,1487213,외지인 방문자
202304,중구,3179404,외지인 방문자
202304,해운대구,5293841,외지인 방문자
202305,강서구,3519089,외지인 방문자
202305,금정구,2552042,외지인 방문자
202305,기장군,3718340,외지인 방문자
202305,남구,2503490,외지인 방문자
202305,동구,2833418,외지인 방문자
202305,동래구,3136402,외지인 방문자
202305,부산진구,6097956,외지인 방문자
202305,북구,2087561,외지인 방문자
202305,사상구,2340782,외지인 방문자
202305,사하구,1920348,외지인 방문자
202305,서구,1735052,외지인 방문자
202305,수영구,3195052,외지인 방문자
202305,연제구,2487758,외지인 방문자
202305,영도구,1666416,외지인 방문자
202305,중구,3404516,외지인 방문자
202305,해운대구,5748760,외지인 방문자
202306,강서구,3367434,외지인 방문자
202306,금정구,2333202,외지인 방문자
202306,기장군,3456026,외지인 방문자
202306,남구,2397528,외지인 방문자
202306,동구,2746538,외지인 방문자
202306,동래구,3018844,외지인 방문자
202306,부산진구,5758868,외지인 방문자
202306,북구,1919232,외지인 방문자
202306,사상구,2196124,외지인 방문자
202306,사하구,1800082,외지인 방문자
202306,서구,1698694,외지인 방문자
202306,수영구,3155936,외지인 방문자
202306,연제구,2357509,외지인 방문자
202306,영도구,1609230,외지인 방문자
202306,중구,3261139,외지인 방문자
202306,해운대구,5529534,외지인 방문자
202307,강서구,3359402,외지인 방문자
202307,금정구,2325404,외지인 방문자
202307,기장군,3576360,외지인 방문자
202307,남구,2414755,외지인 방문자
202307,동구,2844975,외지인 방문자
202307,동래구,3096513,외지인 방문자
202307,부산진구,6025460,외지인 방문자
202307,북구,1978630,외지인 방문자
202307,사상구,2243437,외지인 방문자
202307,사하구,1883049,외지인 방문자
202307,서구,1692285,외지인 방문자
202307,수영구,3371214,외지인 방문자
202307,연제구,2448593,외지인 방문자
202307,영도구,1607130,외지인 방문자
202307,중구,3225271,외지인 방문자
202307,해운대구,6127496,외지인 방문자
202308,강서구,3404012,외지인 방문자
202308,금정구,2361569,외지인 방문자
202308,기장군,3709024,외지인 방문자
202308,남구,2459936,외지인 방문자
202308,동구,2906617,외지인 방문자
202308,동래구,3124544,외지인 방문자
202308,부산진구,5966730,외지인 방문자
202308,북구,1973590,외지인 방문자
202308,사상구,2240637,외지인 방문자
202308,사하구,1940816,외지인 방문자
202308,서구,1746314,외지인 방문자
202308,수영구,3462904,외지인 방문자
202308,연제구,2584736,외지인 방문자
202308,영도구,1669325,외지인 방문자
202308,중구,3354827,외지인 방문자
202308,해운대구,6150130,외지인 방문자
202309,강서구,3337716,외지인 방문자
202309,금정구,2952299,외지인 방문자
202309,기장군,3456929,외지인 방문자
202309,남구,2868628,외지인 방문자
202309,동구,2741504,외지인 방문자
202309,동래구,3214960,외지인 방문자
202309,부산진구,6192795,외지인 방문자
202309,북구,2165768,외지인 방문자
202309,사상구,2612032,외지인 방문자
202309,사하구,2245562,외지인 방문자
