기준연월,기초지자체,방문자 수,구분
202511,강서구,3040198,현지인 방문자
202512,강서구,2997407,현지인 방문자
202601,강서구,2938232,현지인 방문자
202602,강서구,2547342,현지인 방문자
202603,강서구,3043974,현지인 방문자
202604,강서구,2907796,현지인 방문자
202605,강서구,3075240,현지인 방문자
202606,강서구,3204012,현지인 방문자
202607,강서구,3120400,현지인 방문자
202302,강서구,2259870,현지인 방문자
202301,강서구,2415172,현지인 방문자
202303,강서구,2591652,현지인 방문자
202304,강서구,2497232,현지인 방문자
202305,강서구,2729020,현지인 방문자
202306,강서구,2499091,현지인 방문자
202307,강서구,2536726,현지인 방문자
202308,강서구,2510476,현지인 방문자
202309,강서구,2475910,현지인 방문자
202310,강서구,2685074,현지인 방문자
202311,강서구,2603212,현지인 방문자
202312,강서구,2450938,현지인 방문자
202401,강서구,2534770,현지인 방문자
202402,강서구,2230392,현지인 방문자
202403,강서구,2523850,현지인 방문자
202404,강서구,2439826,현지인 방문자
202405,강서구,2545564,현지인 방문자
202406,강서구,2452236,현지인 방문자
202407,강서구,2619774,현지인 방문자
202408,강서구,2459300,현지인 방문자
202409,강서구,2482494,현지인 방문자
202410,강서구,2694706,현지인 방문자
202411,강서구,2593710,현지인 방문자
202412,강서구,2752908,현지인 방문자
202501,강서구,2556183,현지인 방문자
202502,강서구,2463926,현지인 방문자
202503,강서구,2587893,현지인 방문자
202504,강서구,2696183,현지인 방문자
202505,강서구,2733034,현지인 방문자
202506,강서구,2759922,현지인 방문자
202507,강서구,2861022,현지인 방문자
202508,강서구,2815852,현지인 방문자
202509,강서구,3053631,현지인 방문자
202510,강서구,2878466,현지인 방문자
202511,금정구,3870713,현지인 방문자
202512,금정구,3814223,현지인 방문자
202601,금정구,3588568,현지인 방문자
202602,금정구,3170419,현지인 방문자
202603,금정구,3689588,현지인 방문자
202604,금정구,3466883,현지인 방문자
202605,금정구,3973907,현지인 방문자
202606,금정구,3886092,현지인 방문자
202607,금정구,3723510,현지인 방문자
202302,금정구,3462266,현지인 방문자
202301,금정구,3791823,현지인 방문자
202303,금정구,3912174,현지인 방문자
202304,금정구,3665739,현지인 방문자
202305,금정구,4173900,현지인 방문자
202306,금정구,3630904,현지인 방문자
202307,금정구,3518806,현지인 방문자
202308,금정구,3452004,현지인 방문자
202309,금정구,3458602,현지인 방문자
202310,금정구,3889060,현지인 방문자
202311,금정구,3967355,현지인 방문자
202312,금정구,3794368,현지인 방문자
202401,금정구,3674706,현지인 방문자
202402,금정구,3353798,현지인 방문자
202403,금정구,3717298,현지인 방문자
202404,금정구,3541930,현지인 방문자
202405,금정구,3924574,현지인 방문자
202406,금정구,3724189,현지인 방문자
202407,금정구,3647080,현지인 방문자
202408,금정구,3462162,현지인 방문자
202409,금정구,3459376,현지인 방문자
202410,금정구,3616750,현지인 방문자
202411,금정구,3671104,현지인 방문자
202412,금정구,3817292,현지인 방문자
202501,금정구,3445589,현지인 방문자
202502,금정구,3177570,현지인 방문자
202503,금정구,3453454,현지인 방문자
202504,금정구,3439170,현지인 방문자
202505,금정구,3840648,현지인 방문자
202506,금정구,3733720,현지인 방문자
202507,금정구,3774242,현지인 방문자
202508,금정구,3575747,현지인 방문자
202509,금정구,3669306,현지인 방문자
202510,금정구,3660580,현지인 방문자
202511,기장군,3223101,현지인 방문자
202512,기장군,3261002,현지인 방문자
202601,기장군,3191748,현지인 방문자
202602,기장군,2879079,현지인 방문자
202603,기장군,3285020,현지인 방문자
202604,기장군,3147739,현지인 방문자
202605,기장군,3322823,현지인 방문자
202606,기장군,3289394,현지인 방문자
202607,기장군,3292604,현지인 방문자
202302,기장군,2646168,현지인 방문자
202301,기장군,2862748,현지인 방문자
202303,기장군,3021106,현지인 방문자
202304,기장군,2874554,현지인 방문자
202305,기장군,3083745,현지인 방문자
202306,기장군,2999986,현지인 방문자
202307,기장군,3018460,현지인 방문자
202308,기장군,2985514,현지인 방문자
202309,기장군,2918510,현지인 방문자
202310,기장군,3088386,현지인 방문자
202311,기장군,2997330,현지인 방문자
202312,기장군,2906382,현지인 방문자
202401,기장군,2928944,현지인 방문자
202402,기장군,2709738,현지인 방문자
202403,기장군,2982567,현지인 방문자
202404,기장군,2859388,현지인 방문자
202405,기장군,3008299,현지인 방문자
202406,기장군,2880311,현지인 방문자
202407,기장군,2947130,현지인 방문자
202408,기장군,2861033,현지인 방문자
202409,기장군,2836330,현지인 방문자
202410,기장군,3019636,현지인 방문자
202411,기장군,2943689,현지인 방문자
202412,기장군,3091858,현지인 방문자
202501,기장군,2971630,현지인 방문자
202502,기장군,2767163,현지인 방문자
202503,기장군,3024525,현지인 방문자
202504,기장군,2964644,현지인 방문자
202505,기장군,3103639,현지인 방문자
202506,기장군,3057288,현지인 방문자
202507,기장군,3176540,현지인 방문자
202508,기장군,3159216,현지인 방문자
202509,기장군,3251094,현지인 방문자
202510,기장군,3214785,현지인 방문자
202511,남구,4449694,현지인 방문자
202512,남구,4458450,현지인 방문자
202601,남구,4243214,현지인 방문자
202602,남구,3699798,현지인 방문자
202603,남구,4232742,현지인 방문자
