행정구,연월,총 인구수
중구,202301,39333
서구,202301,104509
동구,202301,85794
영도구,202301,107401
부산진구,202301,354486
동래구,202301,272173
남구,202301,255033
북구,202301,277735
해운대구,202301,384188
사하구,202301,300855
금정구,202301,219696
강서구,202301,142731
연제구,202301,202375
수영구,202301,173829
사상구,202301,202937
기장군,202301,178657
중구,202302,39421
서구,202302,104425
동구,202302,85443
영도구,202302,107232
부산진구,202302,355481
동래구,202302,272355
남구,202302,255215
북구,202302,277219
해운대구,202302,383439
사하구,202302,301047
금정구,202302,219358
강서구,202302,142563
연제구,202302,202223
수영구,202302,174100
사상구,202302,202823
기장군,202302,178901
중구,202303,39301
서구,202303,104274
동구,202303,85293
영도구,202303,107081
부산진구,202303,355773
동래구,202303,272196
남구,202303,255182
북구,202303,276915
해운대구,202303,382797
사하구,202303,300902
금정구,202303,219079
강서구,202303,142610
연제구,202303,202296
수영구,202303,174322
사상구,202303,202599
기장군,202303,178711
중구,202304,39192
서구,202304,104212
동구,202304,85090
영도구,202304,106907
부산진구,202304,355772
동래구,202304,272040
남구,202304,255118
북구,202304,276553
해운대구,202304,382264
사하구,202304,300684
금정구,202304,218629
강서구,202304,142653
연제구,202304,202274
수영구,202304,174356
사상구,202304,202580
기장군,202304,178942
중구,202305,39126
서구,202305,104051
동구,202305,84979
영도구,202305,106672
부산진구,202305,355941
동래구,202305,271799
남구,202305,254996
북구,202305,276161
해운대구,202305,381981
사하구,202305,300370
금정구,202305,218334
강서구,202305,142706
연제구,202305,202226
수영구,202305,174410
사상구,202305,202471
기장군,202305,179003
중구,202306,39026
서구,202306,103930
동구,202306,86266
영도구,202306,106473
부산진구,202306,355641
동래구,202306,271603
남구,202306,254647
북구,202306,275870
해운대구,202306,381309
사하구,202306,299901
금정구,202306,217869
강서구,202306,142739
연제구,202306,202123
수영구,202306,174458
사상구,202306,202181
기장군,202306,178948
중구,202307,38866
서구,202307,103781
동구,202307,87177
영도구,202307,106610
부산진구,202307,355443
동래구,202307,271378
남구,202307,254246
북구,202307,275504
해운대구,202307,380997
사하구,202307,299412
금정구,202307,217465
강서구,202307,142651
연제구,202307,202227
수영구,202307,174363
사상구,202307,202044
기장군,202307,178840
중구,202308,38776
서구,202308,103788
동구,202308,87484
영도구,202308,106571
부산진구,202308,355358
동래구,202308,271177
남구,202308,253958
북구,202308,274868
해운대구,202308,380389
사하구,202308,298826
금정구,202308,217003
강서구,202308,142574
연제구,202308,202124
수영구,202308,174412
사상구,202308,202697
기장군,202308,178748
중구,202309,38683
서구,202309,103737
동구,202309,87531
영도구,202309,106480
부산진구,202309,356490
동래구,202309,270888
남구,202309,253463
북구,202309,274160
해운대구,202309,380066
사하구,202309,298403
금정구,202309,216589
강서구,202309,142567
연제구,202309,202079
수영구,202309,174110
사상구,202309,202910
기장군,202309,178732
중구,202310,38549
서구,202310,103766
동구,202310,87495
영도구,202310,106295
부산진구,202310,357516
동래구,202310,270703
남구,202310,253366
북구,202310,273675
해운대구,202310,379440
사하구,202310,297825
금정구,202310,215993
강서구,202310,142459
연제구,202310,202228
수영구,202310,173968
사상구,202310,202598
기장군,202310,178641
중구,202311,38416
서구,202311,103690
동구,202311,87364
영도구,202311,106172
부산진구,202311,357844
동래구,202311,270535
남구,202311,253369
북구,202311,273233
해운대구,202311,378909
사하구,202311,297290
금정구,202311,215485
강서구,202311,142365
연제구,202311,202327
수영구,202311,173642
사상구,202311,202336
기장군,202311,178514
중구,202312,38313
서구,202312,103583
동구,202312,87251
영도구,202312,106033
부산진구,202312,357637
동래구,202312,269857
남구,202312,253049
북구,202312,272768
해운대구,202312,378308
사하구,202312,296785
금정구,202312,214781
강서구,202312,142069
연제구,202312,205081
수영구,202312,173419
사상구,202312,202136
기장군,202312,178287
중구,202401,38172
서구,202401,103384
동구,202401,87078
영도구,202401,105816
부산진구,202401,358193
동래구,202401,268823
남구,202401,253236
북구,202401,272103
해운대구,202401,377584
사하구,202401,295899
금정구,202401,213839
강서구,202401,141793
연제구,202401,208644
수영구,202401,172994
사상구,202401,201594
기장군,202401,177908
중구,202402,38184
서구,202402,103192
동구,202402,86912
영도구,202402,105715
부산진구,202402,359042
동래구,202402,268390
남구,202402,254005
북구,202402,271486
해운대구,202402,376646
사하구,202402,295206
금정구,202402,213371
강서구,202402,141471
연제구,202402,210298
수영구,202402,172876
사상구,202402,201286
기장군,202402,177472
중구,202403,38161
서구,202403,103020
동구,202403,86725
영도구,202403,105593
부산진구,202403,359441
동래구,202403,268072
남구,202403,254376
북구,202403,271105
해운대구,202403,375952
사하구,202403,294723
금정구,202403,213189
강서구,202403,141459
연제구,202403,210733
수영구,202403,172672
사상구,202403,201080
기장군,202403,177177
중구,202404,38084
서구,202404,102778
동구,202404,86626
영도구,202404,105350
부산진구,202404,359501
동래구,202404,267920
남구,202404,254547
북구,202404,270702
해운대구,202404,375583
사하구,202404,294183
금정구,202404,212816
강서구,202404,141785
연제구,202404,211153
수영구,202404,172433
사상구,202404,200855
기장군,202404,176898
중구,202405,37944
서구,202405,102631
동구,202405,86427
영도구,202405,105167
부산진구,202405,359677
동래구,202405,267902
남구,202405,254522
북구,202405,270392
해운대구,202405,374982
사하구,202405,293714
금정구,202405,212613
강서구,202405,142021
연제구,202405,211353
수영구,202405,172291
사상구,202405,200657
기장군,202405,176845
중구,202406,37872
서구,202406,102477
동구,202406,86277
영도구,202406,104926
부산진구,202406,360187
동래구,202406,268158
남구,202406,254742
북구,202406,270005
해운대구,202406,374699
사하구,202406,293240
금정구,202406,212106
강서구,202406,141978
연제구,202406,211392
수영구,202406,172118
사상구,202406,200289
기장군,202406,176685
중구,202407,37785
서구,202407,102348
동구,202407,86178
영도구,202407,104632
부산진구,202407,360034
동래구,202407,268106
남구,202407,254699
북구,202407,269510
해운대구,202407,375050
사하구,202407,292769
금정구,202407,211565
강서구,202407,142292
연제구,202407,211492
수영구,202407,171904
사상구,202407,199882
기장군,202407,176461
중구,202408,37676
서구,202408,102409
동구,202408,85953
영도구,202408,104414
부산진구,202408,359883
동래구,202408,268037
남구,202408,254418
북구,202408,269018
해운대구,202408,375171
사하구,202408,292178
금정구,202408,211235
강서구,202408,142691
연제구,202408,211527
수영구,202408,171768
사상구,202408,199471
기장군,202408,176217
중구,202409,37604
서구,202409,102683
동구,202409,85757
영도구,202409,104172
부산진구,202409,359652
동래구,202409,268146
남구,202409,254327
북구,202409,268636
해운대구,202409,375112
사하구,202409,291716
금정구,202409,211007
강서구,202409,142722
연제구,202409,211729
수영구,202409,171616
사상구,202409,199146
기장군,202409,175949
중구,202410,37447
서구,202410,102827
동구,202410,85607
영도구,202410,103794
부산진구,202410,358965
동래구,202410,270698
남구,202410,254037
북구,202410,267850
해운대구,202410,374549
사하구,202410,291713
금정구,202410,210132
강서구,202410,142591
연제구,202410,211719
수영구,202410,171297
사상구,202410,198677
기장군,202410,175729
중구,202411,37322
서구,202411,102724
동구,202411,85538
영도구,202411,103470
부산진구,202411,357966
동래구,202411,272684
남구,202411,253707
북구,202411,267136
해운대구,202411,374257
사하구,202411,291728
금정구,202411,209563
강서구,202411,142451
연제구,202411,211777
수영구,202411,170942
사상구,202411,198316
기장군,202411,175367
중구,202412,37241
서구,202412,102673
동구,202412,85374
영도구,202412,103241
부산진구,202412,357406
동래구,202412,273403
남구,202412,253428
북구,202412,266853
해운대구,202412,374241
사하구,202412,291433
금정구,202412,209129
강서구,202412,142460
연제구,202412,211893
수영구,202412,170842
사상구,202412,197887
기장군,202412,175163
중구,202501,37170
서구,202501,102556
동구,202501,85326
영도구,202501,103005
부산진구,202501,357298
동래구,202501,273877
남구,202501,252909
북구,202501,266457
해운대구,202501,374080
사하구,202501,291066
금정구,202501,208521
강서구,202501,142540
연제구,202501,211864
수영구,202501,170807
사상구,202501,197521
기장군,202501,175068
중구,202502,37081
서구,202502,102489
동구,202502,85233
영도구,202502,102770
부산진구,202502,359352
동래구,202502,273950
남구,202502,252949
북구,202502,265761
해운대구,202502,373555
사하구,202502,290642
금정구,202502,208717
강서구,202502,142488
연제구,202502,211314
수영구,202502,170403
사상구,202502,197270
기장군,202502,174613
중구,202503,36999
서구,202503,102389
동구,202503,85040
영도구,202503,102541
부산진구,202503,360679
동래구,202503,273829
남구,202503,252556
북구,202503,265206
해운대구,202503,373108
사하구,202503,290213
금정구,202503,208293
강서구,202503,142392
