행정구명,사업장명,도로명주소,지번주소,경도,위도
강서구,가덕도 등대,부산광역시 강서구 외양포로 10,,128.8295937,35.00064712
강서구,가덕도 연대봉,부산광역시 강서구 천성동,,128.8216714,35.03175182
기장군,가마솥생복집,부산광역시 기장군 차성로 327-2 가마솥생복집,,129.2134453,35.24702105
기장군,가야포차선지국,부산광역시 기장군 정관읍 정관8로 28,,129.1788934,35.32232585
연제구,가야할매 밀면,부산광역시 연제구 월드컵대로145번길 32,,129.0798725,35.18519494
금정구,가톨릭 특성화 거리,부산광역시 금정구 부곡동,,129.0970389,35.24345539
영도구,감지해변,부산광역시 영도구 감지길 110,,129.0764901,35.06253361
연제구,감천사(부산),부산광역시 연제구 묘봉산로 40,,129.0912632,35.1833037
동구,감포참가자미,부산광역시 동구 범일로102번길 16-20 (범일동),,129.0610588,35.13834984
강서구,강호중마라도물회,부산광역시 강서구 녹산화전로 283 (녹산동),,128.8722537,35.11200765
부산진구,개금밀면,부산광역시 부산진구 가야대로482번길 9-4,,129.0251059,35.15258647
해운대구,갤러리이알디 부산,"부산광역시 해운대구 해운대해변로 302 (중동, 대림맨션)",,129.1639936,35.16106864
해운대구,거대갈비,부산광역시 해운대구 달맞이길 22 (중동),,129.1672794,35.16206859
남구,거창맷돌순두부,부산광역시 남구 유엔로 221 (대연동),,129.1005555,35.13061254
수영구,게임 체험 팝업 전시 ‘Game-Playground’,"부산광역시 수영구 광남로 96 (광안동, 광안 포디움프레스티지 1)",,129.1151037,35.15048837
수영구,경상좌수영성지,부산광역시 수영구 수영성로 43,,129.1117117,35.17431064
동구,고관함박,부산광역시 동구 중앙대로349번길 14 (수정동),,129.0462743,35.12703139
해운대구,고래서이뻐,부산광역시 해운대구 우동1로38번길 15-1 (우동),,129.1583857,35.16573191
기장군,고향연화,부산광역시 기장군 기장읍 연화길 33-8,,129.2245979,35.21723848
기장군,곰내연밭,부산광역시 기장군 철마면 웅천리 254-4,,129.169545,35.29540925
사상구,곰보식당,부산광역시 사상구 낙동대로 1564,,128.9878358,35.19658085
기장군,공극샌드커피,부산광역시 기장군 기장읍 공수해안길 41,,129.2131276,35.18452526
기장군,공수어촌체험마을,부산광역시 기장군 기장읍 공수해안길 13-2,,129.2111944,35.18445857
부산진구,공원집,부산광역시 부산진구 가야공원로 83-12 (가야동),,129.0290836,35.14571787
