행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
수영구,로지하우스,숙박업(생활),영업,202608,,"부산광역시 수영구 민락로6번길 36, 2층 (민락동)",부산광역시 수영구 민락동 35-12,129.1242758,35.15685948
중구,더베이먼트스위트,숙박업(생활),영업,202608,,"부산광역시 중구 중구로5번길 14, 더베이먼트 비프에비뉴 99 1201, 1307, 1308호 (남포동6가)",부산광역시 중구 남포동6가 99,129.0265334,35.09826326
중구,더베이먼트스테이,숙박업(생활),영업,202608,,"부산광역시 중구 중구로5번길 14, 더베이먼트 비프에비뉴 99 1403, 1502, 1507호 (남포동6가)",부산광역시 중구 남포동6가 99,129.0265334,35.09826326
중구,스테이부산(STAY BUSAN),숙박업(생활),영업,202608,,"부산광역시 중구 중구로5번길 14, 더베이먼트 비프에비뉴99 (남포동6가)",부산광역시 중구 남포동6가 99,129.0265334,35.09826326
수영구,풀빌라 오늘의 광안,숙박업(생활),영업,202607,,"부산광역시 수영구 민락수변로 13-1, 정원비치 6층 (민락동)",부산광역시 수영구 민락동 181-143 정원비치,129.1241683,35.15462201
해운대구,여기 바다,숙박업(생활),영업,202607,,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 B동 602호 (중동)",부산광역시 해운대구 중동 1123 해운대푸르지오시티,129.1668175,35.16109798
기장군,오션스위트,숙박업(생활),영업,202607,,"부산광역시 기장군 일광읍 삼성3길 7, 1-2층",부산광역시 기장군 일광읍 삼성리 115-49,129.2335339,35.26229214
수영구,파드,숙박업(생활),영업,202607,,"부산광역시 수영구 민락수변로 109, 화선빌딩 5층 (민락동)",부산광역시 수영구 민락동 110-49 화선빌딩,129.1324364,35.15481205
해운대구,아란스테이해운대,숙박업(생활),영업,202607,,"부산광역시 해운대구 중동1로 11-1, 4층 (우동)",부산광역시 해운대구 우동 601-15,129.1612748,35.16382409
해운대구,이안스테이 해운대,숙박업(생활),영업,202607,,"부산광역시 해운대구 해운대해변로359번길 27, 승훈빌딩 5,6층 (중동)",부산광역시 해운대구 중동 1256-4 승훈빌딩,129.1684005,35.1648835
중구,디토스테이,숙박업(생활),영업,202607,,"부산광역시 중구 남포길 34, 3층 (남포동2가)",부산광역시 중구 남포동2가 25-1,129.0324743,35.09822783
해운대구,빌라드 달안 해운대,숙박업(생활),영업,202607,,"부산광역시 해운대구 중동1로 38, 3층 일부호 (중동)",부산광역시 해운대구 중동 1394-190,129.163129,35.16221033
해운대구,로지캐슬,숙박업(생활),영업,202607,,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 B동 1407호 (중동)",부산광역시 해운대구 중동 1123 해운대푸르지오시티,129.1668175,35.16109798
중구,호스텔 디어문,숙박업 기타,영업,202607,,"부산광역시 중구 구덕로 41, 10, 11층 (남포동4가)",부산광역시 중구 남포동4가 11-4,129.0311206,35.09787574
해운대구,더블루,숙박업(생활),영업,202607,,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 B동 2202호 (중동)",부산광역시 해운대구 중동 1123 해운대푸르지오시티,129.1668175,35.16109798
부산진구,24게스트하우스(서면점),숙박업 기타,영업,202607,,"부산광역시 부산진구 신천대로62번길 46, 3층,4층 (부전동)",부산광역시 부산진구 부전동 232-15,129.0585794,35.15281769
중구,더베이먼트1차 1514호,숙박업(생활),영업,202607,,"부산광역시 중구 중구로5번길 14, 더베이먼트 비프애비뉴 99 15층 1514호 (남포동6가)",부산광역시 중구 남포동6가 99,129.0265334,35.09826326
수영구,낫스탠다드 부산광안리,숙박업(생활),영업,202607,,"부산광역시 수영구 수영로594번길 10, 2층 (광안동)",부산광역시 수영구 광안동 142-37,129.1139444,35.15862646
해운대구,해운재,숙박업(생활),영업,202607,,"부산광역시 해운대구 구남로12번길 13, 씨에프모텔 2층 (우동)",부산광역시 해운대구 우동 541-13 씨에프모텔,129.15897,35.16221466
부산진구,아지트,숙박업(생활),영업,202607,,"부산광역시 부산진구 중앙대로 630-1, 3층 (범천동)",부산광역시 부산진구 범천동 857-7,129.059558,35.14894284
해운대구,해운대라메르스테이2,숙박업(생활),영업,202607,,"부산광역시 해운대구 구남로21번길 6, 1011호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
수영구,오누아,숙박업(생활),영업,202607,,"부산광역시 수영구 민락로33번길 20, 2층 (민락동)",부산광역시 수영구 민락동 165-6,129.120717,35.15751147
동구,온나단 스테이,숙박업(생활),영업,202607,,부산광역시 동구 초량로13번길 27 (초량동),부산광역시 동구 초량동 323-2,129.0398409,35.11778275
동구,더포레스트 스테이,숙박업(생활),영업,202607,,"부산광역시 동구 대영로243번길 21, 2층 (초량동)",부산광역시 동구 초량동 606-1,129.0375345,35.11323128
동구,O'nette stay,숙박업(생활),영업,202607,,"부산광역시 동구 초량중로 15-2, 3층 (초량동)",부산광역시 동구 초량동 1057-19,129.0365118,35.11365993
부산진구,JH BLOSSOM CAPSULE&CABIN HOTEL SEOMYEON,숙박업(생활),영업,202607,,부산광역시 부산진구 서면로 37 (주)진흥빌딩 5층 (부전동),부산광역시 부산진구 부전동 521-10 (주)진흥빌딩,129.0575343,35.15400528
영도구,온정스테이 영도,숙박업(생활),영업,202607,,부산광역시 영도구 봉래길 38 (봉래동4가),부산광역시 영도구 봉래동4가 178-90,129.049608,35.09075124
동구,서라벌 스테이 676,숙박업(생활),영업,202607,,"부산광역시 동구 중앙대로180번길 16-14, 7층 (초량동)",부산광역시 동구 초량동 1213-16,129.039955,35.11178818
동구,무해온수이 부산역,숙박업(생활),영업,202607,,"부산광역시 동구 중앙대로 234, 2층 (초량동)",부산광역시 동구 초량동 1198-5,129.0414473,35.11761829
해운대구,블리스엠 해운대,숙박업(생활),영업,202607,,"부산광역시 해운대구 구남로21번길 6, 2110호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
해운대구,중앙펜션,숙박업(생활),영업,202606,,부산광역시 해운대구 송정해변로 8-4 (송정동),부산광역시 해운대구 송정동 272-1,129.205007,35.18111262
중구,주식회사 커넥트호텔,일반호텔,영업,202606,,부산광역시 중구 대교로 115-1 (중앙동6가),부산광역시 중구 중앙동6가 3-2,129.0373852,35.1004423
해운대구,마리쏠스테이,숙박업 기타,영업,202606,,"부산광역시 해운대구 달맞이길62번길 38, 삼환미포씨랜드 401호 (중동)",부산광역시 해운대구 중동 957-2 삼환미포씨랜드,129.1711885,35.15849067
수영구,진스테이,숙박업(생활),영업,202606,,"부산광역시 수영구 광안해변로344번길 17-9, 마린리치2 6층 (민락동)",부산광역시 수영구 민락동 110-43 마린리치2,129.1311991,35.15522108
중구,스테이 디어문,숙박업 기타,영업,202606,,"부산광역시 중구 구덕로 41, 7,8층 701,801호 (남포동4가)",부산광역시 중구 남포동4가 11-4,129.0311206,35.09787574
해운대구,아리랑스테이A,숙박업(생활),영업,202606,,부산광역시 해운대구 구남로41번길 26-14 (중동),부산광역시 해운대구 중동 1394-210,129.1624808,35.16110048
해운대구,아리랑스테이B,숙박업(생활),영업,202606,,부산광역시 해운대구 구남로41번길 26-18 (중동),부산광역시 해운대구 중동 1394-211,129.1624003,35.16103693
