구군,연월,주요유료관광지입장객수,집계관광지수
중구,202301,19964.0,1.0
중구,202302,21305.0,1.0
중구,202303,18524.0,1.0
중구,202304,24657.0,1.0
중구,202305,27810.0,1.0
중구,202306,23637.0,1.0
중구,202307,21999.0,1.0
중구,202308,29948.0,1.0
중구,202309,26386.0,1.0
중구,202310,35759.0,1.0
중구,202311,26208.0,1.0
중구,202312,26258.0,1.0
중구,202401,19284.0,1.0
중구,202402,20950.0,1.0
중구,202403,26440.0,1.0
중구,202404,28129.0,1.0
중구,202405,28510.0,1.0
중구,202406,25298.0,1.0
중구,202407,21807.0,1.0
중구,202408,28289.0,1.0
중구,202409,23016.0,1.0
중구,202410,30672.0,1.0
중구,202411,26457.0,1.0
중구,202412,22789.0,1.0
중구,202501,,
중구,202502,,
중구,202503,,
중구,202504,,
중구,202505,,
중구,202506,,
중구,202507,,
중구,202508,,
중구,202509,,
중구,202510,,
중구,202511,,
중구,202512,,
중구,202601,,
중구,202602,,
중구,202603,,
중구,202604,,
중구,202605,,
중구,202606,,
서구,202301,,
서구,202302,,
서구,202303,,
서구,202304,,
서구,202305,,
서구,202306,,
서구,202307,,
서구,202308,,
서구,202309,,
서구,202310,,
서구,202311,,
서구,202312,,
서구,202401,,
서구,202402,,
서구,202403,,
서구,202404,,
서구,202405,,
서구,202406,,
서구,202407,,
서구,202408,,
서구,202409,,
서구,202410,,
서구,202411,,
서구,202412,,
서구,202501,,
서구,202502,,
서구,202503,,
서구,202504,,
서구,202505,,
서구,202506,,
서구,202507,,
서구,202508,,
서구,202509,,
서구,202510,,
서구,202511,,
서구,202512,,
서구,202601,,
서구,202602,,
서구,202603,,
서구,202604,,
서구,202605,,
서구,202606,,
동구,202301,,
동구,202302,,
동구,202303,,
동구,202304,,
동구,202305,,
동구,202306,,
동구,202307,,
동구,202308,,
동구,202309,,
동구,202310,,
동구,202311,,
동구,202312,,
동구,202401,,
동구,202402,,
동구,202403,,
동구,202404,,
동구,202405,,
동구,202406,,
동구,202407,,
동구,202408,,
동구,202409,,
동구,202410,,
동구,202411,,
동구,202412,,
동구,202501,,
동구,202502,,
동구,202503,,
동구,202504,,
동구,202505,,
동구,202506,,
동구,202507,,
동구,202508,,
동구,202509,,
동구,202510,,
동구,202511,,
동구,202512,,
동구,202601,,
동구,202602,,
동구,202603,,
동구,202604,,
동구,202605,,
동구,202606,,
영도구,202301,31662.0,1.0
영도구,202302,41925.0,1.0
영도구,202303,37840.0,1.0
