연월,1박,2박,3박,4박,5박,6박,7박이상,전체,전년 1박,전년 2박,전년 3박,전년 4박,전년 5박,전년 6박,전년 7박이상,전년 전체,전년 대비 1박 증감률,전년 대비 2박 증감률,전년 대비 3박 증감률,전년 대비 4박 증감률,전년 대비 5박 증감률,전년 대비 6박 증감률,전년 대비 7박이상 증감률
202101,58,19.3,7.1,3.6,2.4,1.7,7.9,100,60.6,20.6,7.6,3.8,2,1.2,4.2,100,-2.6,-1.3,-0.5,-0.2,0.4,0.5,3.7
202102,57.1,21,8.3,4.1,2.3,1.5,5.8,100,60.5,18,6.8,3.5,2.4,1.6,7.3,100,-3.4,3,1.5,0.6,-0.1,-0.1,-1.5
202103,57.8,18.5,7.5,4,2.7,1.6,7.8,100,56.9,17.4,7.6,4.2,2.7,1.9,9.3,100,0.9,1.1,-0.1,-0.2,0,-0.3,-1.5
202104,60.4,19.8,7,3.3,2,1.3,6.2,100,60.8,17.6,6.8,3.4,2.3,1.6,7.5,100,-0.4,2.2,0.2,-0.1,-0.3,-0.3,-1.3
202105,61.6,19.9,6.7,3.2,1.9,1.2,5.4,100,59.7,19.1,7,3.9,2.2,1.6,6.6,100,1.9,0.8,-0.3,-0.7,-0.3,-0.4,-1.2
202106,60.6,20.9,6.8,3.1,1.9,1.2,5.4,100,61.5,18.3,6.7,3.4,2.2,1.5,6.5,100,-0.9,2.6,0.1,-0.3,-0.3,-0.3,-1.1
202107,57.8,22.3,7.6,3.4,2,1.3,5.6,100,60.5,20.1,7.1,3.4,2,1.3,5.6,100,-2.7,2.2,0.5,0,0,0,0
202108,55.5,22.7,8.4,3.8,2.2,1.5,6,100,57.6,22.6,7.9,3.5,1.9,1.3,5.2,100,-2.1,0.1,0.5,0.3,0.3,0.2,0.8
202109,55.2,20.8,9,4.7,2.7,1.6,6.2,100,61.6,17.7,6.8,3.5,2.3,1.4,6.7,100,-6.4,3.1,2.2,1.2,0.4,0.2,-0.5
202110,60.7,20.7,7.1,3.1,1.8,1.2,5.4,100,61.6,19.7,7.6,3.3,1.8,1.2,4.8,100,-0.9,1,-0.5,-0.2,0,0,0.6
202111,62.2,20.4,6.3,3,1.8,1.1,5.1,100,61.8,18.7,6.6,3.3,2.1,1.4,6,100,0.4,1.7,-0.3,-0.3,-0.3,-0.3,-0.9
202112,61.7,20.5,6.6,3,1.8,1.1,5.2,100,58.1,18.5,7.9,4,2.3,1.5,7.7,100,3.6,2,-1.3,-1,-0.5,-0.4,-2.5
202201,59.5,21.4,8.2,3.3,1.7,1.1,4.9,100,58,19.3,7.1,3.6,2.4,1.7,7.9,100,1.5,2.1,1.1,-0.3,-0.7,-0.6,-3
202202,61.6,20.5,6.6,3,1.9,1.3,5,100,57.1,21,8.3,4.1,2.3,1.5,5.8,100,4.5,-0.5,-1.7,-1.1,-0.4,-0.2,-0.8
202203,55.6,18.9,7.8,4.5,2.7,1.7,8.8,100,57.8,18.5,7.5,4,2.7,1.6,7.8,100,-2.2,0.4,0.3,0.5,0,0.1,1
202204,61.4,21.6,6.2,2.7,1.7,1.2,5.2,100,60.4,19.8,7,3.3,2,1.3,6.2,100,1,1.8,-0.8,-0.6,-0.3,-0.1,-1
202205,60.1,22.1,7.2,3.2,1.7,1,4.7,100,61.6,19.9,6.7,3.2,1.9,1.2,5.4,100,-1.5,2.2,0.5,0,-0.2,-0.2,-0.7
202206,59.1,22.8,7.3,3,1.7,1.1,4.9,100,60.6,20.9,6.8,3.1,1.9,1.2,5.4,100,-1.5,1.9,0.5,-0.1,-0.2,-0.1,-0.5
202207,58.2,24.3,7.3,2.9,1.7,1.1,4.6,100,57.8,22.3,7.6,3.4,2,1.3,5.6,100,0.4,2,-0.3,-0.5,-0.3,-0.2,-1
202208,55.7,25.9,8.1,3.2,1.7,1.1,4.2,100,55.5,22.7,8.4,3.8,2.2,1.5,6,100,0.2,3.2,-0.3,-0.6,-0.5,-0.4,-1.8
