영업상태,점포명,업종대분류,업종중분류,업종명,행정구,인허가일,폐업일,경도,위도
폐업,신대감 연탄불고기와 돌솥쌈밥,외식,한식음식점,한식 일반 음식점업,강서구,201506,202303,128.9566507,35.17900308
폐업,비턴,외식,호프·간이주점,기타 주점업,강서구,201311,202302,128.9032701,35.08140225
폐업,맛고축산,외식,한식음식점,한식 일반 음식점업,강서구,201507,202304,128.9029933,35.08325111
폐업,봉구비어 학장점,외식,한식음식점,한식 일반 음식점업,사상구,200305,202303,128.9804314,35.13977644
폐업,삼정원반점,외식,중식음식점,중식 음식점업,수영구,198411,202304,129.1172337,35.15996598
폐업,한옥마을 전주비빔밥 해운대점,외식,한식음식점,한식 일반 음식점업,해운대구,201901,202305,129.1464056,35.15816589
폐업,아구야 놀자,외식,한식음식점,한식 일반 음식점업,해운대구,201903,202301,129.1258293,35.18857842
폐업,33 떡볶이 연제점,외식,분식전문점,기타 간이 음식점업,연제구,201903,202303,129.0810572,35.18125259
폐업,동구청뒤 초밥집,외식,일식음식점,일식 음식점업,동구,201903,202303,129.0440294,35.12878531
폐업,미가,외식,호프·간이주점,기타 주점업,금정구,201006,202304,129.0979794,35.21672508
폐업,목화,외식,호프·간이주점,기타 주점업,사하구,201303,202301,129.0065882,35.08666431
폐업,서면 오공복이,외식,한식음식점,한식 일반 음식점업,부산진구,201903,202303,129.0575934,35.15634091
폐업,꼬치황제 서면점,외식,분식전문점,기타 간이 음식점업,부산진구,202204,202301,129.0496598,35.1667142
폐업,코월드 푸드,외식,분식전문점,기타 간이 음식점업,해운대구,202204,202304,129.175563,35.17045925
폐업,티타늄,외식,분식전문점,기타 간이 음식점업,부산진구,202204,202301,129.0720848,35.1736696
폐업,다래,외식,분식전문점,기타 간이 음식점업,부산진구,199106,202303,129.0566828,35.16044452
폐업,도쿄덴뿌라,외식,분식전문점,기타 간이 음식점업,해운대구,201903,202301,129.1579388,35.16469094
폐업,호호오뎅바,외식,한식음식점,한식 일반 음식점업,기장군,201902,202302,129.189571,35.32482955
폐업,보글보글,외식,한식음식점,한식 일반 음식점업,부산진구,201806,202301,129.067112,35.14787965
폐업,바른초밥,외식,일식음식점,일식 음식점업,연제구,201901,202301,129.0814022,35.18316908
폐업,술집밥집,외식,호프·간이주점,기타 주점업,부산진구,201902,202301,129.0339184,35.14721592
폐업,호롱또샴엔드럼통,외식,양식음식점,기타 외국식 음식점업,해운대구,201903,202304,129.1323462,35.1991057
영업,센텀RED공인중개사사무소,서비스,부동산,부동산,해운대구,,,129.138776,35.1724871
폐업,드 루고(de Lugo),외식,양식음식점,서양식 음식점업,부산진구,201902,202303,129.0688064,35.16891414
폐업,신성찜닭,외식,한식음식점,한식 일반 음식점업,해운대구,201902,202303,129.1479312,35.22624125
폐업,감천집밥뷔페,외식,분식전문점,기타 간이 음식점업,사하구,201901,202301,129.0064911,35.09083849
폐업,부자치킨,외식,호프·간이주점,기타 주점업,금정구,201902,202303,129.0843231,35.23359227
폐업,찜앤찜청학동,외식,한식음식점,한식 일반 음식점업,동래구,201902,202305,129.0880073,35.20279949
폐업,바로닭발 모라점,외식,한식음식점,한식 일반 음식점업,사상구,201901,202304,128.9936462,35.19143486
폐업,무한리필 통큰조개구이,외식,한식음식점,한식 일반 음식점업,수영구,201901,202301,129.1238225,35.15553654
폐업,범천집목구이,외식,분식전문점,기타 간이 음식점업,부산진구,201901,202305,129.0617251,35.15714282
폐업,스시카부,외식,일식음식점,일식 음식점업,북구,202008,202302,129.0105853,35.20999772
폐업,찜해랑,외식,분식전문점,기타 간이 음식점업,사하구,201811,202301,128.9834379,35.1029451
폐업,속시원해대구탕,외식,한식음식점,한식 일반 음식점업,서구,201812,202303,129.0176977,35.11907839
폐업,데이지,외식,분식전문점,기타 간이 음식점업,강서구,201811,202302,128.9234852,35.09568251
폐업,오빠막창 명지신호점,외식,한식음식점,한식 일반 음식점업,강서구,201811,202302,128.897986,35.08748675
폐업,거기서,외식,호프·간이주점,기타 주점업,기장군,201811,202304,129.1655665,35.33499325
폐업,명륜진사갈비,외식,한식음식점,한식 일반 음식점업,해운대구,201811,202305,129.1307701,35.19690536
폐업,아시안밥,외식,분식전문점,기타 간이 음식점업,연제구,201811,202305,129.0852608,35.1796446
폐업,다보성,외식,한식음식점,한식 일반 음식점업,기장군,200302,202301,129.2244087,35.22828162
폐업,귀한손 손두부,외식,한식음식점,한식 일반 음식점업,부산진구,201102,202303,129.0604908,35.1435555
폐업,소도둑당감점,외식,한식음식점,한식 일반 음식점업,부산진구,200901,202305,129.027155,35.16814165
폐업,끼니식당,외식,한식음식점,한식 일반 음식점업,기장군,200409,202301,129.2228217,35.23884186
폐업,대변식당,외식,한식음식점,한식 일반 음식점업,기장군,200411,202301,129.2281736,35.22601101
폐업,행복한빅마마삼겹,외식,한식음식점,한식 일반 음식점업,기장군,200412,202301,129.2173578,35.2479116
폐업,장터대게,외식,한식음식점,한식 일반 음식점업,기장군,200006,202303,129.2157884,35.24392021
폐업,월내부성맛가,외식,한식음식점,한식 일반 음식점업,기장군,200201,202302,129.2769805,35.3260624
영업/정상,카츠의 하루,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9641256,35.11320521
영업/정상,Real 닭꼬치 명지점,외식,분식전문점,기타 간이 음식점업,강서구,202206,,128.9102608,35.09356177
영업/정상,뮤직카페본라이브,외식,분식전문점,기타 간이 음식점업,수영구,202205,,129.1211647,35.15515932
영업/정상,오슬로우,외식,분식전문점,기타 간이 음식점업,기장군,202205,,129.177872,35.32256146
영업/정상,맛골감자탕,외식,한식음식점,한식 일반 음식점업,강서구,202206,,128.9534275,35.17963456
영업/정상,토다이유 부산명지점1,외식,양식음식점,서양식 음식점업,강서구,202205,,128.9116637,35.09284152
영업/정상,토다이유 부산명지점2,외식,양식음식점,서양식 음식점업,강서구,202205,,128.9116637,35.09284152
영업/정상,영도맥주,외식,분식전문점,기타 간이 음식점업,영도구,202204,,129.0687217,35.07516735
영업/정상,오프루틴(OFF ROUTINE),외식,분식전문점,기타 간이 음식점업,동구,202206,,129.0348065,35.12283655
영업/정상,주식회사큰집기장멸치국수 범일점,외식,한식음식점,한식 일반 음식점업,동구,202206,,129.0622813,35.14083052
영업/정상,소소리,외식,일식음식점,일식 음식점업,부산진구,202204,,129.0679005,35.15928642
영업/정상,치킨에 진심인 사람들,외식,한식음식점,한식 일반 음식점업,부산진구,202206,,129.0672811,35.15982027
영업/정상,고상,외식,한식음식점,한식 일반 음식점업,부산진구,202206,,129.0679253,35.15609277
영업/정상,꼬치황제,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9688136,35.10835393
영업/정상,호식이두마리치킨 신평점,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9784577,35.09255748
영업/정상,24시 따로해장국,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.968519,35.08241945
영업/정상,나뭇잎 마을,외식,일식음식점,일식 음식점업,서구,202204,,129.0206584,35.10713158
영업/정상,아너스골프다이닝,외식,분식전문점,기타 간이 음식점업,남구,202204,,129.0995195,35.13679543
영업/정상,도쿄라멘 기장점,외식,분식전문점,기타 간이 음식점업,기장군,202206,,129.2169799,35.25406532
영업/정상,반하다 식당,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9669023,35.11589435
