연월,행정구,업종대분류,평균이용금액(만원),평균이용건수
202301,강서구,비관광,2627,80
202301,강서구,쇼핑업,8180,1966
202301,강서구,여가서비스업,7028,862
202301,강서구,여행/숙박업,1306,366
202301,강서구,운송업,1394,125
202301,강서구,음식/주점,8184,2473
202301,강서구,음식료품,2262,732
202301,강서구,의료휄니스업,4933,795
202301,금정구,비관광,1205,37
202301,금정구,쇼핑업,5906,1591
202301,금정구,여가서비스업,4302,710
202301,금정구,여행/숙박업,1184,463
202301,금정구,운송업,668,91
202301,금정구,음식/주점,6956,2110
202301,금정구,음식료품,2036,640
202301,금정구,의료휄니스업,4564,742
202301,기장군,비관광,4239,130
202301,기장군,쇼핑업,14774,3491
202301,기장군,여가서비스업,11625,1579
202301,기장군,여행/숙박업,1977,677
202301,기장군,운송업,1853,315
202301,기장군,음식/주점,14782,4366
202301,기장군,음식료품,4221,1180
202301,기장군,의료휄니스업,8968,1508
202301,남구,비관광,1298,43
202301,남구,쇼핑업,7378,1861
202301,남구,여가서비스업,6017,829
202301,남구,여행/숙박업,1525,620
202301,남구,운송업,991,122
202301,남구,음식/주점,7954,2376
202301,남구,음식료품,2222,674
202301,남구,의료휄니스업,5750,835
202301,동구,비관광,387,12
202301,동구,쇼핑업,2925,807
202301,동구,여가서비스업,2220,338
202301,동구,여행/숙박업,689,335
202301,동구,운송업,283,48
202301,동구,음식/주점,3472,1009
202301,동구,음식료품,907,260
202301,동구,의료휄니스업,2421,370
202301,동래구,비관광,2439,80
202301,동래구,쇼핑업,9765,2482
202301,동래구,여가서비스업,6584,1075
202301,동래구,여행/숙박업,1857,758
202301,동래구,운송업,1217,147
202301,동래구,음식/주점,10724,3187
202301,동래구,음식료품,3181,977
202301,동래구,의료휄니스업,7655,1163
202301,부산진구,비관광,1236,40
202301,부산진구,쇼핑업,7746,2143
202301,부산진구,여가서비스업,5254,909
202301,부산진구,여행/숙박업,1579,775
202301,부산진구,운송업,881,122
202301,부산진구,음식/주점,9020,2692
202301,부산진구,음식료품,2337,767
202301,부산진구,의료휄니스업,6312,948
202301,북구,비관광,1878,60
202301,북구,쇼핑업,8857,2344
202301,북구,여가서비스업,6826,1092
202301,북구,여행/숙박업,1547,693
202301,북구,운송업,1284,155
