기준연월,행정동,업종대분류명,외지인 소비액(만원),현지인 소비액(만원)
202201,강서구,쇼핑업,1080000,17581
202201,강서구,숙박업,41960,3993
202201,강서구,식음료업,720272,0
202201,강서구,여가서비스업,58415,4355
202201,강서구,운송업,2590000,1281
202201,강서구,의료웰니스업,31132,471
202201,금정구,쇼핑업,857331,94770
202201,금정구,숙박업,12917,4046
202201,금정구,식음료업,718548,0
202201,금정구,여가서비스업,96882,9315
202201,금정구,여행업,799,0
202201,금정구,운송업,368182,0
202201,금정구,의료웰니스업,70127,4114
202201,기장군,쇼핑업,4340000,17403
202201,기장군,숙박업,389904,12107
202201,기장군,식음료업,1490000,0
202201,기장군,여가서비스업,229004,12684
202201,기장군,여행업,71,74
202201,기장군,운송업,851391,0
202201,기장군,의료웰니스업,28707,3524
202201,남구,쇼핑업,777757,8702
202201,남구,숙박업,35636,7093
202201,남구,식음료업,677992,0
202201,남구,여가서비스업,63297,2272
202201,남구,운송업,1110000,0
202201,남구,의료웰니스업,65113,963
202201,동구,쇼핑업,857851,22990
202201,동구,숙박업,44637,2389
202201,동구,식음료업,570991,0
202201,동구,여가서비스업,70460,267
202201,동구,여행업,5643,389
202201,동구,운송업,630427,136
202201,동구,의료웰니스업,31953,0
202201,동래구,쇼핑업,1610000,111913
202201,동래구,숙박업,68618,16173
202201,동래구,식음료업,958357,0
202201,동래구,여가서비스업,51530,2310
202201,동래구,여행업,310,0
202201,동래구,운송업,356975,112
202201,동래구,의료웰니스업,95192,3324
202201,부산진구,쇼핑업,3870000,603525
202201,부산진구,숙박업,136705,18768
202201,부산진구,식음료업,2220000,0
202201,부산진구,여가서비스업,110475,4817
202201,부산진구,여행업,9983,48
202201,부산진구,운송업,272783,46
202201,부산진구,의료웰니스업,281664,0
202201,북구,쇼핑업,7630000,46965
202201,북구,숙박업,22764,8658
202201,북구,식음료업,493978,0
202201,북구,여가서비스업,20660,4507
202201,북구,여행업,149,754
202201,북구,운송업,564018,0
202201,북구,의료웰니스업,46914,0
202201,사상구,쇼핑업,1290000,8676
202201,사상구,숙박업,21505,6694
202201,사상구,식음료업,623388,0
202201,사상구,여가서비스업,34542,1253
202201,사상구,여행업,343,0
202201,사상구,운송업,1210000,159
202201,사상구,의료웰니스업,42136,557
