연도,행정구,폐업수
2025,강서구,3850
2025,금정구,3365
2025,기장군,3200
2025,남구,3676
2025,동구,2277
2025,동래구,4090
2025,부산진구,6911
2025,북구,3275
2025,사상구,3533
2025,사하구,3797
2025,서구,1456
2025,수영구,3515
2025,연제구,3648
2025,영도구,1374
2025,중구,1746
2025,해운대구,6938
2024,강서구,4123
2024,금정구,3503
2024,기장군,3421
2024,남구,3956
2024,동구,2126
2024,동래구,4149
2024,부산진구,7315
2024,북구,3403
2024,사상구,3730
2024,사하구,4046
2024,서구,1451
2024,수영구,3702
2024,연제구,3609
2024,영도구,1459
2024,중구,1870
2024,해운대구,7301
2023,강서구,3755
2023,금정구,3645
2023,기장군,3429
2023,남구,4104
2023,동구,2212
2023,동래구,4195
2023,부산진구,7057
2023,북구,3486
2023,사상구,3927
2023,사하구,4102
2023,서구,1434
2023,수영구,3856
2023,연제구,3616
2023,영도구,1360
2023,중구,1892
2023,해운대구,8005
