연월,행정구,평균이용금액,평균이용건수,건당평균이용금액,30일기준이용금액
202301,강서구,29443.55375,5353,5,179
202301,금정구,11411.598125,3276,3,112
202301,기장군,45315.506,9101,5,162
202301,남구,11622.229411764705,3295,3,114
202301,동구,8248.735,2422,3,102
202301,동래구,20087.997692307694,4996,3,115
202301,부산진구,22741.8715,5597,3,111
202301,북구,20685.135384615387,5311,3,101
202301,사상구,17407.439166666667,4425,3,112
202301,사하구,13226.80875,3839,3,102
202301,서구,7816.953846153846,1745,3,119
202301,수영구,20003.727,4899,3,112
202301,연제구,17185.696666666667,4109,4,120
202301,영도구,5460.915454545455,1735,3,90
202301,중구,13038.22,3003,3,113
202301,해운대구,24411.51388888889,5387,3,112
202302,강서구,32416.727499999997,5722,5,178
202302,금정구,12054.261875,3469,3,111
202302,기장군,46301.392,9702,4,148
202302,남구,11639.479411764705,3476,3,108
202302,동구,8630.629166666668,2626,3,96
202302,동래구,20246.153846153848,5258,3,111
202302,부산진구,23236.738,5910,3,107
202302,북구,19261.09153846154,5436,3,95
202302,사상구,16833.553333333333,4610,3,103
202302,사하구,13685.29125,4055,3,99
202302,서구,8207.456153846153,1889,3,115
202302,수영구,20793.6,5221,3,108
202302,연제구,16216.595000000001,4282,3,110
202302,영도구,5503.556363636364,1844,2,84
202302,중구,12883.147777777778,3155,3,107
202302,해운대구,25512.623333333333,5742,3,109
202303,강서구,30630.2025,5827,5,164
202303,금정구,11978.493124999999,3769,3,107
202303,기장군,45081.148,9656,4,146
202303,남구,11923.440588235293,3788,3,102
202303,동구,8411.329166666666,2568,3,92
202303,동래구,20305.01846153846,5375,3,108
202303,부산진구,22499.5635,5964,3,103
202303,북구,19874.23769230769,5631,3,92
202303,사상구,17018.751666666667,4941,3,98
202303,사하구,13401.821875,4218,3,95
202303,서구,8089.015384615384,1973,3,109
202303,수영구,19923.076999999997,5162,3,105
202303,연제구,15911.667500000001,4380,3,107
202303,영도구,5477.780909090909,1924,2,80
202303,중구,12398.335555555555,3058,3,107
202303,해운대구,24014.68388888889,5561,3,107
202304,강서구,32679.35375,5893,5,168
202304,금정구,11815.858124999999,3765,3,108
202304,기장군,46841.0,10044,4,147
202304,남구,11899.697647058823,3821,3,101
202304,동구,8693.3125,2641,3,92
202304,동래구,20185.087692307694,5469,3,105
202304,부산진구,22277.5575,6020,3,101
202304,북구,19788.783846153845,5659,3,91
202304,사상구,16985.0275,5004,3,96
202304,사하구,13404.710000000001,4294,3,93
202304,서구,8094.0230769230775,1971,3,109
202304,수영구,18982.260000000002,5256,3,100
202304,연제구,15977.129166666666,4446,3,104
202304,영도구,5561.204545454545,1974,2,79
202304,중구,12781.923333333332,3133,3,106
202304,해운대구,24551.60111111111,5703,3,105
202305,강서구,31739.60125,5872,5,165
202305,금정구,12033.785625,3770,3,107
