기준연월,전체_소비금액(만원),숙박_소비금액(만원),여행_소비금액(만원),운송_소비금액(만원),쇼핑_소비금액(만원),여가서비스_소비금액(만원),의료웰니스_소비금액(만원),식음료_소비금액(만원)
202301,82700000,2230000,99586.7,11800000,43700000,1680000,1360000,21800000
202302,74500000,2290000,147438.4,11300000,37100000,1620000,1280000,20700000
202303,80400000,1880000,108005.4,12200000,41600000,1750000,1520000,21400000
202304,79800000,2040000,95562.8,11500000,41100000,1800000,1360000,21900000
202305,82600000,2320000,120352.6,11500000,41900000,1960000,1460000,23300000
202306,78100000,2140000,129980.1,11000000,39300000,1990000,1540000,22000000
202307,82000000,2700000,137815.7,11400000,40800000,1950000,1500000,23500000
202308,84100000,2990000,104199.6,12700000,40400000,2010000,1440000,24500000
202309,84100000,2160000,111571.5,12800000,43400000,1910000,1480000,22200000
202310,84700000,2170000,150121,12700000,43600000,1990000,1470000,22700000
202311,78800000,1950000,151967.1,12300000,41100000,1650000,1390000,20300000
202312,90300000,2860000,131183.9,12500000,46000000,1900000,1670000,25200000
202401,79700000,2190000,190236.4,11700000,41300000,1550000,1400000,21200000
202402,78700000,2280000,125801.1,11200000,40700000,1690000,1410000,21200000
202403,84800000,2060000,166442.3,12500000,43800000,1900000,1610000,22800000
202404,78700000,1940000,143506.5,12000000,40200000,1750000,1380000,21300000
202405,86400000,2250000,148643.1,13100000,43000000,2060000,1580000,24300000
202406,81500000,2090000,102633.2,12300000,40600000,1940000,1570000,23000000
202407,80800000,2290000,205344.1,13100000,38800000,1820000,1550000,23000000
202408,85800000,2710000,163231,13500000,40400000,2050000,1560000,25400000
202409,84100000,1980000,199669.3,12600000,43700000,1950000,1500000,22200000
202410,83400000,2010000,185120.9,12900000,42500000,1900000,1500000,22300000
202411,81800000,2040000,177121.1,12700000,41900000,1680000,1490000,21800000
202412,88100000,2400000,173216.6,13300000,44600000,1740000,1680000,24200000
202501,86200000,2170000,158183.7,11600000,46200000,1600000,1520000,22900000
202502,73100000,2120000,187679.6,11600000,36600000,1430000,1440000,19700000
202503,82100000,1940000,137691.2,12400000,42200000,1650000,1610000,22100000
202504,75500000,1730000,164233.8,12000000,37700000,1620000,1450000,20800000
202505,89000000,2240000,156556.3,12600000,44900000,2000000,1650000,25400000
202506,79100000,1760000,127936.8,11600000,40700000,1740000,1520000,21800000
202507,84100000,2280000,146307.6,12900000,41100000,1770000,1660000,24200000
202508,87600000,2610000,182306.4,12500000,41900000,1860000,1750000,26700000
202509,80400000,1820000,211230.4,12200000,41300000,1590000,1580000,21700000
202510,93200000,2320000,147419.2,12600000,48000000,2070000,1680000,26500000
202511,89100000,2060000,198442.3,13400000,46800000,1680000,1700000,23400000
202512,93400000,2530000,187803.3,14400000,46600000,1620000,2000000,26000000
202601,91500000,2220000,168967.6,13700000,47300000,1460000,1660000,24900000
202602,89000000,2200000,151800.9,12400000,47000000,1640000,1600000,24000000
202603,88900000,1950000,242226.2,15800000,44100000,1710000,1770000,23300000
202604,85700000,1860000,175497.5,15200000,42100000,1740000,1620000,23000000
202605,99200000,2450000,169575.1,15500000,49100000,2110000,1890000,28000000
202606,86200000,1930000,142249.1,15600000,41600000,1770000,1740000,23400000
