기준연월,전체_소비금액(만원),숙박_소비금액(만원),여행_소비금액(만원),운송_소비금액(만원),쇼핑_소비금액(만원),여가서비스_소비금액(만원),의료웰니스_소비금액(만원),식음료_소비금액(만원)
202301,76200000,1940000,92536.6,11800000,37600000,1560000,1330000,21800000
202302,68500000,2020000,141785.3,11300000,31600000,1530000,1250000,20700000
202303,74400000,1650000,100582.3,12200000,35900000,1640000,1500000,21400000
202304,73700000,1840000,90443.3,11500000,35400000,1690000,1330000,21900000
202305,76500000,2110000,113674.1,11500000,36200000,1820000,1420000,23300000
202306,72500000,1900000,112836.8,11000000,34200000,1840000,1500000,22000000
202307,76400000,2440000,133959.2,11400000,35700000,1800000,1470000,23500000
202308,79400000,2740000,96121.4,12700000,36100000,1870000,1420000,24500000
202309,78800000,1950000,106754.2,12800000,38500000,1810000,1460000,22200000
202310,78600000,1960000,137140,12600000,37800000,1890000,1430000,22700000
202311,72800000,1750000,136462.2,12300000,35400000,1560000,1350000,20300000
202312,83500000,2560000,120063.1,12500000,39800000,1760000,1600000,25200000
202401,73600000,1880000,180522.4,11700000,35800000,1440000,1340000,21200000
202402,73100000,1990000,118195.1,11200000,35600000,1570000,1380000,21200000
202403,78900000,1830000,159385.4,12500000,38400000,1760000,1580000,22800000
202404,72900000,1770000,136648.2,12000000,34700000,1640000,1350000,21300000
202405,80600000,2060000,138580,13100000,37600000,1930000,1540000,24300000
202406,75600000,1890000,95804.4,12300000,35000000,1810000,1540000,23000000
202407,75500000,2080000,198655.1,13100000,33900000,1690000,1520000,23000000
202408,80800000,2480000,151390.8,13500000,35800000,1920000,1540000,25400000
202409,78800000,1770000,188080.9,12500000,38800000,1830000,1470000,22200000
202410,77700000,1790000,174438.9,12900000,37200000,1790000,1470000,22300000
202411,76200000,1810000,167994.1,12700000,36700000,1590000,1460000,21800000
202412,81500000,2120000,161492.1,13300000,38500000,1620000,1610000,24200000
202501,79800000,1910000,153898.1,11600000,40200000,1510000,1470000,22900000
202502,67800000,1810000,176100.1,11600000,31800000,1360000,1400000,19700000
202503,76400000,1720000,130691.4,12400000,36800000,1570000,1570000,22100000
202504,70600000,1530000,144148,12000000,33100000,1530000,1420000,20800000
202505,82800000,2000000,137615,12600000,39200000,1880000,1600000,25400000
202506,73100000,1550000,112882.4,11500000,35000000,1650000,1490000,21800000
202507,78800000,2050000,136019.4,12900000,36200000,1670000,1640000,24200000
202508,82400000,2390000,173701.9,12500000,37000000,1780000,1720000,26700000
202509,75000000,1630000,198640,12200000,36200000,1520000,1550000,21700000
202510,87500000,2120000,142016.6,12600000,42600000,1980000,1640000,26500000
202511,82500000,1810000,187375.3,13400000,40500000,1610000,1660000,23400000
202512,86700000,2170000,176941.4,14400000,40500000,1540000,1940000,26000000
202601,84700000,1890000,159161.1,13700000,40900000,1400000,1610000,24900000
202602,82200000,1910000,127781.6,12400000,40700000,1570000,1550000,24000000
202603,83400000,1700000,225052.6,15800000,39000000,1630000,1730000,23300000
202604,80300000,1650000,156445.6,15200000,37100000,1660000,1590000,23000000
202605,92200000,2200000,145843.6,15500000,42500000,2030000,1840000,28000000
202606,80300000,1700000,126207.7,15600000,36100000,1690000,1700000,23400000
