기준연월,전체_소비금액(만원),숙박_소비금액(만원),여행_소비금액(만원),운송_소비금액(만원),쇼핑_소비금액(만원),여가서비스_소비금액(만원),의료웰니스_소비금액(만원),식음료_소비금액(만원)
202301,6520000,286980.1,7050.1,4922.1,6070000,119393.9,32552.4,
202302,5920000,274635.3,5653.1,12810.4,5500000,89289.6,31436.2,
202303,6070000,233981.6,7423.1,6067.8,5690000,104987.5,28165.8,
202304,6050000,200828,5119.5,6678.5,5690000,109862.6,29790.8,
202305,6090000,211458.2,6678.5,4924.2,5700000,134645,35094.9,
202306,5560000,234107.6,17143.2,7781.7,5110000,150894.6,38321.7,
202307,5580000,263644.4,3856.5,10891.1,5120000,147423,29274.8,
202308,4760000,246504.7,8078.2,12469.1,4320000,144836.6,25765.6,
202309,5350000,210435.8,4817.2,11568.9,5000000,104982.2,24867.6,
202310,6160000,217566.4,12981,9696.9,5780000,103652.2,31674.9,
202311,5990000,197838.1,15504.9,7056.2,5650000,91445.1,34286.6,
202312,6790000,305520.8,11120.8,10524.4,6250000,143755.7,65785.6,
202401,6070000,305734.2,9714.1,11819.7,5580000,105144.2,53647.8,
202402,5530000,293400.9,7606,8750.1,5070000,120185.1,32528.6,
202403,5890000,230987.7,7056.9,9278.3,5460000,140537.5,35133.4,
202404,5850000,169431.3,6858.3,10263,5520000,113949.5,30346.9,
202405,5840000,198391.2,10063,16511.1,5440000,131659.8,40452,
202406,5910000,203962.9,6828.8,12878,5520000,130149.2,35409.2,
202407,5310000,212481.1,6689.1,10823.2,4910000,131811.9,30853,
202408,4970000,227081.6,11840.2,10329.9,4560000,130561.2,25853.3,
202409,5270000,212759.3,11588.4,14533.2,4880000,119709.5,26450.1,
202410,5740000,220536.1,10682,16911,5350000,109242.3,29631,
202411,5660000,229355.5,9127,14211.2,5270000,95177.3,38392.6,
202412,6600000,283449.9,11724.4,15061.4,6100000,124387,65280.2,
202501,6390000,263081.3,4285.6,8550.7,5980000,90545.4,43360.3,
202502,5270000,312255.6,11579.4,11443,4830000,67805.7,38338.9,
202503,5730000,216895.9,6999.8,9152.9,5370000,83971.9,37790.4,
202504,4960000,205301.4,20085.8,9145.7,4600000,92647.7,31373.9,
202505,6140000,234893.6,18941.3,11156.6,5710000,118099.8,47402.9,
202506,5980000,210956.2,15054.4,8754.4,5620000,93498.8,35636.5,
202507,5310000,228188.8,10288.2,9994.3,4930000,104071.2,27529.7,
202508,5230000,217215,8604.5,8649.9,4880000,81910.9,29930.1,
202509,5400000,192477.8,12590.3,9258.9,5090000,70961,25594.5,
202510,5720000,201224.8,5402.6,11191.5,5370000,88672.5,38903.3,
202511,6630000,258804.4,11067,10992.9,6240000,70426.2,39999.4,
202512,6620000,354412.2,10861.9,10684.2,6110000,79820.9,60180.3,
202601,6840000,330691.1,9806.6,9324.8,6390000,59402.1,42076.5,
202602,6750000,287553.6,24019.3,10244.5,6310000,74380.5,45929,
202603,5480000,242386.6,17173.6,19664.3,5070000,87249,36438.3,
202604,5400000,207992.3,19051.9,10478.8,5040000,81219.4,33743.8,
202605,7040000,246078.5,23731.5,12181.4,6610000,87677.7,53002,
202606,5940000,229623.7,16041.4,14994,5560000,75625.2,41843,
