기준연월,시도명,내국인_전체_소비금액(만원),내국인_숙박_소비금액(만원),내국인_여행_소비금액(만원),내국인_운송_소비금액(만원),내국인_쇼핑_소비금액(만원),내국인_여가서비스_소비금액(만원),내국인_의료웰니스_소비금액(만원),내국인_식음료_소비금액(만원),외지인_전체_소비금액(만원),외지인_숙박_소비금액(만원),외지인_여행_소비금액(만원),외지인_운송_소비금액(만원),외지인_쇼핑_소비금액(만원),외지인_여가서비스_소비금액(만원),외지인_의료웰니스_소비금액(만원),외지인_식음료_소비금액(만원),현지인_전체_소비금액(만원),현지인_숙박_소비금액(만원),현지인_여행_소비금액(만원),현지인_운송_소비금액(만원),현지인_쇼핑_소비금액(만원),현지인_여가서비스_소비금액(만원),현지인_의료웰니스_소비금액(만원),현지인_식음료_소비금액(만원)
202301,부산광역시,82700000,2230000,99586.7,11800000,43700000,1680000,1360000,21800000,76200000,1940000,92536.6,11800000,37600000,1560000,1330000,21800000,6520000,286980.1,7050.1,4922.1,6070000,119393.9,32552.4,
202302,부산광역시,74500000,2290000,147438.4,11300000,37100000,1620000,1280000,20700000,68500000,2020000,141785.3,11300000,31600000,1530000,1250000,20700000,5920000,274635.3,5653.1,12810.4,5500000,89289.6,31436.2,
202303,부산광역시,80400000,1880000,108005.4,12200000,41600000,1750000,1520000,21400000,74400000,1650000,100582.3,12200000,35900000,1640000,1500000,21400000,6070000,233981.6,7423.1,6067.8,5690000,104987.5,28165.8,
202304,부산광역시,79800000,2040000,95562.8,11500000,41100000,1800000,1360000,21900000,73700000,1840000,90443.3,11500000,35400000,1690000,1330000,21900000,6050000,200828,5119.5,6678.5,5690000,109862.6,29790.8,
202305,부산광역시,82600000,2320000,120352.6,11500000,41900000,1960000,1460000,23300000,76500000,2110000,113674.1,11500000,36200000,1820000,1420000,23300000,6090000,211458.2,6678.5,4924.2,5700000,134645,35094.9,
202306,부산광역시,78100000,2140000,129980.1,11000000,39300000,1990000,1540000,22000000,72500000,1900000,112836.8,11000000,34200000,1840000,1500000,22000000,5560000,234107.6,17143.2,7781.7,5110000,150894.6,38321.7,
202307,부산광역시,82000000,2700000,137815.7,11400000,40800000,1950000,1500000,23500000,76400000,2440000,133959.2,11400000,35700000,1800000,1470000,23500000,5580000,263644.4,3856.5,10891.1,5120000,147423,29274.8,
202308,부산광역시,84100000,2990000,104199.6,12700000,40400000,2010000,1440000,24500000,79400000,2740000,96121.4,12700000,36100000,1870000,1420000,24500000,4760000,246504.7,8078.2,12469.1,4320000,144836.6,25765.6,
202309,부산광역시,84100000,2160000,111571.5,12800000,43400000,1910000,1480000,22200000,78800000,1950000,106754.2,12800000,38500000,1810000,1460000,22200000,5350000,210435.8,4817.2,11568.9,5000000,104982.2,24867.6,
202310,부산광역시,84700000,2170000,150121,12700000,43600000,1990000,1470000,22700000,78600000,1960000,137140,12600000,37800000,1890000,1430000,22700000,6160000,217566.4,12981,9696.9,5780000,103652.2,31674.9,
202311,부산광역시,78800000,1950000,151967.1,12300000,41100000,1650000,1390000,20300000,72800000,1750000,136462.2,12300000,35400000,1560000,1350000,20300000,5990000,197838.1,15504.9,7056.2,5650000,91445.1,34286.6,
202312,부산광역시,90300000,2860000,131183.9,12500000,46000000,1900000,1670000,25200000,83500000,2560000,120063.1,12500000,39800000,1760000,1600000,25200000,6790000,305520.8,11120.8,10524.4,6250000,143755.7,65785.6,
202401,부산광역시,79700000,2190000,190236.4,11700000,41300000,1550000,1400000,21200000,73600000,1880000,180522.4,11700000,35800000,1440000,1340000,21200000,6070000,305734.2,9714.1,11819.7,5580000,105144.2,53647.8,
202402,부산광역시,78700000,2280000,125801.1,11200000,40700000,1690000,1410000,21200000,73100000,1990000,118195.1,11200000,35600000,1570000,1380000,21200000,5530000,293400.9,7606,8750.1,5070000,120185.1,32528.6,
