기준연월,시도명,시군구명,외지인_소비액_강도지수,전체대비_외지인소비액비중_강도지수,방문량대비_방문소비액_강도지수
202501,부산광역시,강서구,77.59,82.44,84.53
202501,부산광역시,금정구,67.55,68.46,60.44
202501,부산광역시,기장군,81.81,82.85,91.08
202501,부산광역시,남구,69.48,82.32,62.98
202501,부산광역시,동구,68.89,80.93,68.84
202501,부산광역시,동래구,71.77,70.41,65.69
202501,부산광역시,부산진구,80.46,61.63,69.7
202501,부산광역시,북구,84.06,83.72,95.41
202501,부산광역시,사상구,70.85,83.78,72.45
202501,부산광역시,사하구,67.06,80.33,57.75
202501,부산광역시,서구,64.69,82.2,58.29
202501,부산광역시,수영구,70.78,83.35,67.13
202501,부산광역시,연제구,71.62,83.64,75.5
202501,부산광역시,영도구,63.97,79.92,54.54
202501,부산광역시,중구,70.34,80.19,74.07
202501,부산광역시,해운대구,99.6,-7.45,102.68
202502,부산광역시,강서구,77.02,82.74,85.74
202502,부산광역시,금정구,66.7,66.98,59.58
202502,부산광역시,기장군,77.2,82.4,86.4
202502,부산광역시,남구,68.73,82.6,62.63
202502,부산광역시,동구,68.59,81.45,68.72
202502,부산광역시,동래구,69.69,68.5,63.1
202502,부산광역시,부산진구,78.25,61.87,68.84
202502,부산광역시,북구,80.1,83.57,91.67
202502,부산광역시,사상구,69.39,83.21,70.21
202502,부산광역시,사하구,66.55,81.13,57.69
202502,부산광역시,서구,64.33,82.46,57.73
202502,부산광역시,수영구,69.59,83.49,66.48
202502,부산광역시,연제구,69.89,83.04,73.25
202502,부산광역시,영도구,63.53,80.03,53.43
202502,부산광역시,중구,68.87,81.25,71.31
202502,부산광역시,해운대구,94.14,-4.82,99.12
202503,부산광역시,강서구,78.55,83.09,86.5
202503,부산광역시,금정구,68.04,64.71,60.68
202503,부산광역시,기장군,81.03,83.08,90.9
202503,부산광역시,남구,69.66,82.18,62.12
202503,부산광역시,동구,68.88,80.33,68.98
202503,부산광역시,동래구,71.37,71,64.29
202503,부산광역시,부산진구,80.14,62.81,68.83
202503,부산광역시,북구,83.12,83.07,93.21
202503,부산광역시,사상구,70.55,83.73,70.48
202503,부산광역시,사하구,67.38,80.58,58.14
202503,부산광역시,서구,64.78,82.23,58.18
202503,부산광역시,수영구,70.14,83.68,66.29
202503,부산광역시,연제구,71.06,83.21,73.85
202503,부산광역시,영도구,63.83,80.09,53.89
202503,부산광역시,중구,69.44,79.52,71.66
202503,부산광역시,해운대구,95.4,-7.22,97.2
202504,부산광역시,강서구,77.73,81.74,84.27
202504,부산광역시,금정구,67.61,66.4,61.04
202504,부산광역시,기장군,78.92,82.23,87.96
202504,부산광역시,남구,69.4,81.95,63.24
202504,부산광역시,동구,68.77,81,69.3
202504,부산광역시,동래구,70.98,70.55,64.6
202504,부산광역시,부산진구,78.79,59.85,68.95
202504,부산광역시,북구,81.45,83.28,91.72
202504,부산광역시,사상구,69.87,83.4,69.45
202504,부산광역시,사하구,66.91,79.01,57.75
202504,부산광역시,서구,64.78,81.25,58.97
202504,부산광역시,수영구,69.62,83.42,65.99
202504,부산광역시,연제구,70.18,82.77,72.28
202504,부산광역시,영도구,63.69,79.92,53.88
202504,부산광역시,중구,68.92,80.02,70.88
202504,부산광역시,해운대구,91.98,-2.53,93.45
202505,부산광역시,강서구,78.94,82.73,85.13
202505,부산광역시,금정구,68.32,65.87,60.84
202505,부산광역시,기장군,83.24,82.6,91.94
202505,부산광역시,남구,70.13,,62.96
202505,부산광역시,동구,69.65,80.88,69.31
202505,부산광역시,동래구,72.62,70.99,65.66
202505,부산광역시,부산진구,81.21,60.87,69.23
202505,부산광역시,북구,83.87,83.25,92.46
202505,부산광역시,사상구,70.66,83.34,70.11
202505,부산광역시,사하구,67.43,78.51,57.68
202505,부산광역시,서구,65.22,82.58,59.61
202505,부산광역시,수영구,71.59,82.32,67.84
202505,부산광역시,연제구,71.09,82.95,72.52
202505,부산광역시,영도구,64.25,80.75,55.04
202505,부산광역시,중구,70.5,80.13,72.71
202505,부산광역시,해운대구,99.73,-2.5,99.29
202506,부산광역시,강서구,77.5,,82.92
202506,부산광역시,금정구,67.46,67.14,59.7
202506,부산광역시,기장군,79.87,82.87,87.78
202506,부산광역시,남구,69.21,,61.59
202506,부산광역시,동구,68.77,81.25,67.57
202506,부산광역시,동래구,71.57,,64.72
202506,부산광역시,부산진구,79.22,59.88,67.81
202506,부산광역시,북구,82.3,83.62,91.95
202506,부산광역시,사상구,69.79,83.37,68.83
202506,부산광역시,사하구,66.83,79.45,56.84
202506,부산광역시,서구,64.78,81.89,58.17
202506,부산광역시,수영구,70.2,84.04,65.72
202506,부산광역시,연제구,70.27,82.74,71.45
202506,부산광역시,영도구,63.86,80.59,53.9
202506,부산광역시,중구,69.45,80.26,71.04
202506,부산광역시,해운대구,94.8,-12.06,95.92
202507,부산광역시,강서구,78.83,82.92,84.53
202507,부산광역시,금정구,67.61,65.09,59.91
202507,부산광역시,기장군,79.49,82.29,85.84
202507,부산광역시,남구,69.99,82.62,62.97
202507,부산광역시,동구,69.23,81.75,66.85
202507,부산광역시,동래구,72.03,69.53,64.64
202507,부산광역시,부산진구,80.69,60.38,68.39
202507,부산광역시,북구,83.98,83.79,94.18
202507,부산광역시,사상구,70.49,83.48,69.99
202507,부산광역시,사하구,67.3,80.33,57.38
202507,부산광역시,서구,65.11,82.26,59.05
202507,부산광역시,수영구,71.55,84.32,66.99
202507,부산광역시,연제구,71.43,83.58,73.59
202507,부산광역시,영도구,63.97,80.86,
202507,부산광역시,중구,69.74,80.52,70.98
202507,부산광역시,해운대구,97.88,5.39,93.49
202508,부산광역시,강서구,78.08,83.03,82.68
202508,부산광역시,금정구,67.54,68.02,60.15
202508,부산광역시,기장군,81.49,82.82,88.17
202508,부산광역시,남구,69.59,82.84,62.23
202508,부산광역시,동구,69.49,82.11,67.83
202508,부산광역시,동래구,72.14,71.81,64.97
202508,부산광역시,부산진구,81.58,62.68,69.41
202508,부산광역시,북구,84.08,83.99,94.79
202508,부산광역시,사상구,70.54,83.15,70.53
202508,부산광역시,사하구,67.19,80.08,57.26
202508,부산광역시,서구,65.18,82.71,59.59
202508,부산광역시,수영구,72.78,83.99,68.79
202508,부산광역시,연제구,70.95,83.37,72.41
202508,부산광역시,영도구,64.11,80.72,54.9
202508,부산광역시,중구,70.43,81.48,73.51
202508,부산광역시,해운대구,99.13,7.09,93.86
202509,부산광역시,강서구,78.78,83.44,82.98
202509,부산광역시,금정구,67.76,68.23,59.72
202509,부산광역시,기장군,80.76,82.74,89.32
202509,부산광역시,남구,69.78,82.78,61.94
202509,부산광역시,동구,68.93,80.63,68.29
202509,부산광역시,동래구,71.32,69.87,64.11
202509,부산광역시,부산진구,80.87,60.71,68.84
202509,부산광역시,북구,83.12,83.89,93.17
202509,부산광역시,사상구,70.57,83.56,68.89
202509,부산광역시,사하구,67.12,81.77,56.96
202509,부산광역시,서구,64.7,83.21,57.14
202509,부산광역시,수영구,70.22,84.18,64.69
202509,부산광역시,연제구,70.52,83.36,71.46
202509,부산광역시,영도구,63.81,81.3,53.55
202509,부산광역시,중구,69.77,79.81,71.18
202509,부산광역시,해운대구,94.44,-6.04,93.28
202510,부산광역시,강서구,79.18,82.7,83.15
202510,부산광역시,금정구,68.25,66.22,61.04
202510,부산광역시,기장군,87.29,83.16,97.87
202510,부산광역시,남구,69.91,82.24,62.41
202510,부산광역시,동구,69.53,80.57,69.65
202510,부산광역시,동래구,72.01,68.78,64.63
202510,부산광역시,부산진구,82.6,60.38,70.42
202510,부산광역시,북구,85.87,83.12,95.79
202510,부산광역시,사상구,70.51,83.29,69.12
202510,부산광역시,사하구,67.5,79.48,57.38
202510,부산광역시,서구,65.17,82.2,58.93
202510,부산광역시,수영구,71.66,84.21,66.65
202510,부산광역시,연제구,70.86,83.13,71.36
202510,부산광역시,영도구,64.24,80.46,54.87
202510,부산광역시,중구,71.24,79.98,74.54
202510,부산광역시,해운대구,98.52,1.42,95.44
202511,부산광역시,강서구,79.56,82.44,84.15
202511,부산광역시,금정구,67.8,64.95,59.78
202511,부산광역시,기장군,84.05,83.06,95.37
202511,부산광역시,남구,69.68,79.84,61.93
202511,부산광역시,동구,69.21,80.78,68.45
202511,부산광역시,동래구,70.74,65.45,63
202511,부산광역시,부산진구,81.68,55.97,69.96
202511,부산광역시,북구,82.85,82.7,92.35
202511,부산광역시,사상구,69.91,83.41,67.72
202511,부산광역시,사하구,67.09,80.06,56.94
202511,부산광역시,서구,64.65,82.82,57.1
202511,부산광역시,수영구,70.34,83.88,64.72
202511,부산광역시,연제구,70.1,83.52,69.74
202511,부산광역시,영도구,63.72,79.76,53.11
202511,부산광역시,중구,70.24,79.39,72.39
