기준연월,시도명,외지인_관광소비금액(만원),전국_관광소비금액(만원),전국대비_관광소비율(%)
202301,부산광역시,76151300,1214650000,6.3
202302,부산광역시,68535200,1130820000,6.1
202303,부산광역시,74364600,1261920000,5.9
202304,부산광역시,73723600,1265180000,5.8
202305,부산광역시,76486300,1324310000,5.8
202306,부산광역시,72500400,1249900000,5.8
202307,부산광역시,76393400,1292820000,5.9
202308,부산광역시,79388000,1322320000,6
202309,부산광역시,78760500,1352790000,5.8
202310,부산광역시,78582600,1345090000,5.8
202311,부산광역시,72841400,1237950000,5.9
202312,부산광역시,83475500,1330730000,6.3
202401,부산광역시,73586700,1184130000,6.2
202402,부산광역시,73120100,1176060000,6.2
202403,부산광역시,78946400,1325820000,6
202404,부산광역시,72879400,1276850000,5.7
202405,부산광역시,80606400,1380300000,5.8
202406,부산광역시,75580500,1312080000,5.8
202407,부산광역시,75505000,1274530000,5.9
202408,부산광역시,80846100,1359880000,5.9
202409,부산광역시,78838300,1297330000,6.1
202410,부산광역시,77654600,1333100000,5.8
202411,부산광역시,76162300,1275240000,6
202412,부산광역시,81483200,1314730000,6.2
202501,부산광역시,79812000,1226550000,6.5
202502,부산광역시,67805200,1076730000,6.3
202503,부산광역시,76373000,1263780000,6
202504,부산광역시,70587500,1204900000,5.9
202505,부산광역시,82830600,1364350000,6.1
202506,부산광역시,73144400,1216150000,6
202507,부산광역시,78758500,1287170000,6.1
202508,부산광역시,82370600,1334340000,6.2
202509,부산광역시,75009900,1224220000,6.1
202510,부산광역시,87526800,1392230000,6.3
202511,부산광역시,82495500,1346560000,6.1
202512,부산광역시,86739800,1371550000,6.3
202601,부산광역시,84665200,1292660000,6.5
202602,부산광역시,82249300,1234950000,6.7
202603,부산광역시,83417800,1347640000,6.2
202604,부산광역시,80297300,1333000000,6
202605,부산광역시,92164000,1480690000,6.2
202606,부산광역시,80262400,1315920000,6.1
