기준년월,행정구,시간대,평균이용금액(만원),평균이용건수
202301,강서구,00시,4419.0212,675
202301,강서구,01시,2419.8613,415
202301,강서구,02시,1806.1998,299
202301,강서구,03시,1367.2677,219
202301,강서구,04시,1792.5293,240
202301,강서구,05시,3066.0294,495
202301,강서구,06시,6864.3171,1572
202301,강서구,07시,9455.5661,2496
202301,강서구,08시,13576.9224,2933
202301,강서구,09시,18806.7219,3640
202301,강서구,10시,29116.6847,4363
202301,강서구,11시,34838.6323,6047
202301,강서구,12시,36818.5112,8383
202301,강서구,13시,40570.2921,6578
202301,강서구,14시,38491.7231,6212
202301,강서구,15시,39717.6645,6172
202301,강서구,16시,38838.6503,6314
202301,강서구,17시,34226.8157,6675
202301,강서구,18시,31315.5487,6547
202301,강서구,19시,28049.7214,5464
202301,강서구,20시,23487.2356,4363
202301,강서구,21시,15880.2526,2861
202301,강서구,22시,10077.9654,1685
202301,강서구,23시,6092.728,1009
202301,금정구,00시,3125.9047,1202
202301,금정구,01시,2111.9307,757
202301,금정구,02시,1397.6008,528
202301,금정구,03시,857.5587,364
202301,금정구,04시,702.6864,300
202301,금정구,05시,976.8276,425
202301,금정구,06시,1979.7374,804
202301,금정구,07시,2746.8792,1233
202301,금정구,08시,4928.1337,2207
202301,금정구,09시,11259.7828,3796
202301,금정구,10시,23432.6844,5201
202301,금정구,11시,26866.2412,6815
202301,금정구,12시,30863.6335,9215
202301,금정구,13시,30358.6651,8241
202301,금정구,14시,31240.8695,8159
202301,금정구,15시,32697.0831,8267
202301,금정구,16시,30001.6641,8267
202301,금정구,17시,30493.472,8519
202301,금정구,18시,29240.383,8612
202301,금정구,19시,25213.7082,7165
202301,금정구,20시,19273.3648,5624
202301,금정구,21시,12731.5518,4314
202301,금정구,22시,7838.2685,2984
202301,금정구,23시,4832.5223,1868
202301,기장군,00시,1800.8588,583
202301,기장군,01시,1185.7616,365
202301,기장군,02시,731.123,239
202301,기장군,03시,433.9157,155
202301,기장군,04시,379.4986,135
202301,기장군,05시,836.9466,284
202301,기장군,06시,1871.3698,642
202301,기장군,07시,3215.2564,1126
202301,기장군,08시,5022.0636,1726
202301,기장군,09시,9808.3058,2926
202301,기장군,10시,17519.588,4211
202301,기장군,11시,30747.3502,6213
202301,기장군,12시,42068.328,8800
202301,기장군,13시,46733.5301,8600
202301,기장군,14시,50608.6865,8809
202301,기장군,15시,47729.8474,8533
202301,기장군,16시,45714.09,8103
202301,기장군,17시,42767.1152,7743
202301,기장군,18시,36899.4789,6963
202301,기장군,19시,30071.2839,5619
202301,기장군,20시,20026.4484,4079
202301,기장군,21시,9333.2269,2635
202301,기장군,22시,4699.5542,1563
202301,기장군,23시,2951.4378,961
202301,남구,00시,4112.373,1480
202301,남구,01시,2860.6685,982
202301,남구,02시,1917.2403,677
202301,남구,03시,1318.0331,480
202301,남구,04시,1336.1412,414
202301,남구,05시,2001.1669,588
202301,남구,06시,2512.1926,852
202301,남구,07시,3217.6869,1259
202301,남구,08시,6186.0708,2550
202301,남구,09시,13049.203,3953
202301,남구,10시,23298.6025,5509
202301,남구,11시,28657.2033,7397
202301,남구,12시,32645.9603,9765
202301,남구,13시,29421.5062,8205
202301,남구,14시,31596.2398,8340
202301,남구,15시,33896.4374,8687
202301,남구,16시,33032.0083,8880
202301,남구,17시,31894.6642,8860
202301,남구,18시,30362.2168,8922
