행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
강서구,2월호텔더스테이 강서본관,일반호텔,영업/정상,영업,200404,,부산광역시 강서구 신호일로217번길 31 (신호동),,128.87888875,35.08660654
강서구,2월호텔더스테이 강서신관,일반호텔,영업/정상,영업,200310,,부산광역시 강서구 신호일로217번길 12 (신호동),,128.88103981,35.0869463
강서구,B&G호텔,관광호텔,영업/정상,영업,202004,,"부산광역시 강서구 명지국제6로1번길 24, 도하마린타워 7, 8, 9층 (명지동)",,128.90011376,35.09391857
강서구,GOOD프라임호텔,숙박업 기타,영업/정상,영업,201805,,"부산광역시 강서구 과학산단2로 12, 7,8층 (지사동)",,128.83098506,35.1498595
강서구,IW모텔,여관업,영업/정상,영업,200310,,부산광역시 강서구 신호일로217번길 19 (신호동),,128.88027495,35.08660774
강서구,S호텔,여관업,영업/정상,영업,200411,,부산광역시 강서구 신호일로217번길 37 (신호동),,128.87837998,35.08660514
강서구,김해공항 브라운도트 명지점,여관업,영업/정상,영업,200102,,부산광역시 강서구 르노삼성대로 576-6 (명지동),,128.92821692,35.09918382
강서구,넘버25호텔,일반호텔,영업/정상,영업,201810,,"부산광역시 강서구 명지국제2로28번길 7, 9층 (명지동)",,128.90816446,35.0940017
강서구,넘버25호텔 명지오션시티점 비즈니스,일반호텔,영업/정상,영업,200301,,부산광역시 강서구 명지오션시티3로 41 (명지동),,128.90299643,35.08049895
강서구,더브레인호텔,관광호텔,영업/정상,영업,201912,,"부산광역시 강서구 신호일로72번길 58, 신호관광호 (신호동)",,128.87219617,35.08178864
강서구,더블유(W)모텔,여관업,영업/정상,영업,200202,,부산광역시 강서구 르노삼성대로 598 (명지동),,128.92876984,35.10074687
강서구,더웨스턴부산,관광호텔,영업/정상,영업,202204,,부산광역시 강서구 화전산단4로25번길 53 (화전동),,128.88249301,35.11163267
강서구,더포인트호텔,일반호텔,영업/정상,영업,201903,,"부산광역시 강서구 명지국제2로28번길 8, 더프라임 10층 (명지동)",,128.90808005,35.09340715
강서구,디자인팝호텔,여관업,영업/정상,영업,200102,,부산광역시 강서구 르노삼성대로 576-4 (명지동),,128.92805263,35.09905514
강서구,레전드호텔,일반호텔,영업/정상,영업,201901,,부산광역시 강서구 미음산단5로 48 (미음동),,128.86394112,35.15965759
강서구,마르,여관업,영업/정상,영업,200110,,"부산광역시 강서구 르노삼성대로 634, B동 (명지동)",,128.92947012,35.10393894
강서구,명지오션시티호텔,여관업,영업/정상,영업,200010,,부산광역시 강서구 명지오션시티3로 37 (명지동),,128.902996,35.08090828
강서구,베스트루이스해밀턴호텔,관광호텔,영업/정상,영업,202012,,"부산광역시 강서구 범방3로29번길 6, 베스트 루이스 해밀턴호텔 범방점 (범방동)",,128.8787883,35.14688112
강서구,베스티호텔,숙박업 기타,영업/정상,영업,201812,,"부산광역시 강서구 미음산단로 17, 베스티호텔1 (구랑동)",,128.85397468,35.12819604
강서구,벨라지오호텔,여관업,영업/정상,영업,200304,,부산광역시 강서구 신호일로217번길 7 (신호동),,128.8811398,35.0866067
