행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
수영구,로지하우스,호스텔업,영업,202608,,부산광역시 수영구 민락로6번길 36 (민락동),부산광역시 수영구 민락동 35-12,129.1242758,35.15685948
수영구,풀빌라 오늘의 광안,호스텔업,영업,202607,,"부산광역시 수영구 민락수변로 13-1, 정원비치 (민락동)",부산광역시 수영구 민락동 181-143 정원비치,129.1241683,35.15462201
수영구,파드,호스텔업,영업,202607,,"부산광역시 수영구 민락수변로 109, 화선빌딩 (민락동)",부산광역시 수영구 민락동 110-49 화선빌딩,129.1324364,35.15481205
수영구,낫스탠다드 부산광안리,호스텔업,영업,202607,,"부산광역시 수영구 수영로594번길 10, 2층 (광안동)",부산광역시 수영구 광안동 142-37,129.1139444,35.15862646
수영구,오누아,호스텔업,영업,202607,,"부산광역시 수영구 민락로33번길 20, 2층 (민락동)",부산광역시 수영구 민락동 165-6,129.120717,35.15751147
수영구,진스테이,호스텔업,영업,202606,,"부산광역시 수영구 광안해변로344번길 17-9, 마린리치2 6층 (민락동)",부산광역시 수영구 민락동 110-43 마린리치2,129.1311991,35.15522108
수영구,스테이 비사이드,호스텔업,영업,202606,,"부산광역시 수영구 수영로464번길 20, 2층 (남천동)",부산광역시 수영구 남천동 28-9,129.1112599,35.14694826
수영구,루미나 더 조은,호스텔업,영업,202605,,"부산광역시 수영구 광안해변로344번길 17-22, 나경크리스탈 타워 3층 (민락동)",부산광역시 수영구 민락동 110-28 나경크리스탈 타워,129.1319768,35.15503573
수영구,여기 G,호스텔업,영업,202605,,부산광역시 수영구 수영로451번길 4 (남천동),부산광역시 수영구 남천동 52-13,129.1097782,35.14642506
수영구,바이비하우스,호스텔업,영업,202604,,"부산광역시 수영구 광남로 121, 8층 (광안동)",부산광역시 수영구 광안동 174-9,129.1160058,35.15252763
수영구,까사올리브,호스텔업,영업,202604,,"부산광역시 수영구 민락로6번길 20, 3층 (민락동)",부산광역시 수영구 민락동 176-10,129.1236705,35.15642005
수영구,광안리 한옥 Stay 온달,호스텔업,영업,202604,,"부산광역시 수영구 광남로 36, 2층 (남천동)",부산광역시 수영구 남천동 7-18,129.1114288,35.14590914
수영구,광안리비치 코스모스,호스텔업,영업,202604,,"부산광역시 수영구 수영로554번길 10, 1~3층 (광안동)",부산광역시 수영구 광안동 165-11,129.113037,35.15488594
수영구,웨이브 120,호스텔업,영업,202603,,"부산광역시 수영구 광남로 120, 3층 (광안동)",부산광역시 수영구 광안동 198-2,129.1162142,35.15207328
수영구,정재스테이,호스텔업,영업,202602,,"부산광역시 수영구 민락로13번길 2, 3층 (민락동)",부산광역시 수영구 민락동 173-21,129.1223745,35.1566803
수영구,로프트 부산2,호스텔업,영업,202602,,"부산광역시 수영구 광남로 103-3, 6층 (광안동)",부산광역시 수영구 광안동 183-16,129.1147665,35.1512226
수영구,너의계절,호스텔업,영업,202602,,"부산광역시 수영구 광안해변로 235, 7층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,다해,호스텔업,영업,202601,,"부산광역시 수영구 광안해변로344번길 17-9, 마린리치2 5층 (민락동)",부산광역시 수영구 민락동 110-43 마린리치2,129.1311991,35.15522108
수영구,아지트,호스텔업,영업,202601,,"부산광역시 수영구 민락본동로19번길 59, 4층 (민락동)",부산광역시 수영구 민락동 34-7,129.1258051,35.15754961
수영구,굿스테이,호스텔업,영업,202601,,"부산광역시 수영구 광안해변로295번길 4-11, 5~6층 (민락동, 주건축물제1동)",부산광역시 수영구 민락동 181-52 주건축물제1동,129.1260318,35.15712406
수영구,로프트 부산,호스텔업,영업,202601,,"부산광역시 수영구 광남로 103-3, 7층 (광안동)",부산광역시 수영구 광안동 183-16,129.1147665,35.1512226
수영구,컨셉스테이,호스텔업,영업,202601,,"부산광역시 수영구 광안해변로 235, 4층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,하나 여름,호스텔업,영업,202601,,"부산광역시 수영구 광안해변로277번길 3, 2층 (민락동)",부산광역시 수영구 민락동 176-29,129.1239994,35.1560374
수영구,시안,호스텔업,영업,202512,,"부산광역시 수영구 민락본동로19번길 59, 3층 (민락동)",부산광역시 수영구 민락동 34-7,129.1258051,35.15754961
수영구,루미에르,호스텔업,영업,202512,,"부산광역시 수영구 광안해변로 235, 11층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,벡스코 조조하우스,호스텔업,영업,202512,,"부산광역시 수영구 수영성로 9, 2층 (수영동)",부산광역시 수영구 수영동 95,129.1187079,35.169864
수영구,연온담 광안해변점,호스텔업,영업,202512,,"부산광역시 수영구 민락본동로11번길 78-10, 2층 (민락동)",부산광역시 수영구 민락동 35-23,129.124613,35.15709572
수영구,스테이리안,호스텔업,영업,202511,,"부산광역시 수영구 광안해변로344번길 17-17, 수변PLAZA 6층 (민락동)",부산광역시 수영구 민락동 110-45 수변PLAZA,129.1315403,35.15530006
수영구,루미나 더 리안,호스텔업,영업,202511,,"부산광역시 수영구 광안해변로344번길 17-17, 수변PLAZA 7층 (민락동)",부산광역시 수영구 민락동 110-45 수변PLAZA,129.1315403,35.15530006
수영구,수베니어홈,호스텔업,영업,202511,,부산광역시 수영구 광안로22번길 59 (광안동),부산광역시 수영구 광안동 171-36,129.114437,35.15366159
수영구,아눅광안,호스텔업,영업,202511,,"부산광역시 수영구 광남로258번길 39, 3층 (민락동)",부산광역시 수영구 민락동 22-14,129.1278299,35.1579813
수영구,무드온 광안,호스텔업,영업,202511,,"부산광역시 수영구 광안해변로344번길 17-17, 수변PLAZA 9층 (민락동)",부산광역시 수영구 민락동 110-45 수변PLAZA,129.1315403,35.15530006
수영구,스테이순,호스텔업,영업,202511,,"부산광역시 수영구 수영로554번길 11-1 (광안동, 흑석스카이)",부산광역시 수영구 광안동 164-3 흑석스카이,129.1132731,35.15513249
수영구,써니하우스,호스텔업,영업,202510,,"부산광역시 수영구 민락수변로 5, 성진회센터 6층 (민락동)",부산광역시 수영구 민락동 181-204 성진회센터,129.1238997,35.15531677
수영구,해달별,호스텔업,영업,202509,,"부산광역시 수영구 민락수변로 109, 화선빌딩 3층 (민락동)",부산광역시 수영구 민락동 110-49 화선빌딩,129.1324364,35.15481205
수영구,풀빌라한가,호스텔업,영업,202509,,"부산광역시 수영구 민락수변로 125, 골든뷰 6층 (민락동)",부산광역시 수영구 민락동 110-87 골든뷰,129.1340572,35.15526712
수영구,오션투헤븐호텔,호스텔업,영업,202509,,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A동 4층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,129.12452,35.15396447
수영구,시나몬스테이 광안,호스텔업,영업,202509,,"부산광역시 수영구 광안해변로344번길 17-17, 수변PLAZA (민락동)",부산광역시 수영구 민락동 110-45 수변PLAZA,129.1315403,35.15530006
수영구,게스후,관광호텔업,영업,202508,,부산광역시 수영구 광안해변로 181 (광안동),부산광역시 수영구 광안동 200-3,129.1159061,35.15073291
수영구,루미나 더 아너,호스텔업,영업,202508,,"부산광역시 수영구 광안해변로358번길 6, 호원빌딩 3, 5층 (민락동)",부산광역시 수영구 민락동 110-34 호원빌딩,129.1317377,35.15579558
수영구,바나 스테이,호스텔업,영업,202508,,"부산광역시 수영구 광남로 129, 4층 (광안동)",부산광역시 수영구 광안동 173-20,129.1165353,35.15329248
수영구,루미나 더 캠프,호스텔업,영업,202508,,"부산광역시 수영구 광안해변로358번길 6, 호원빌딩 7층 (민락동)",부산광역시 수영구 민락동 110-34 호원빌딩,129.1317377,35.15579558
수영구,잔울림,호스텔업,영업,202508,,"부산광역시 수영구 광안해변로344번길 17-11, 나포리빌딩 4층 (민락동)",부산광역시 수영구 민락동 110-44 나포리빌딩,129.1313699,35.15526077
수영구,명작스테이,호스텔업,영업,202507,,"부산광역시 수영구 민락본동로11번길 66, 2~3층 (민락동)",부산광역시 수영구 민락동 35-4,129.1251065,35.15700129
수영구,숨스테이광안,호스텔업,영업,202507,,"부산광역시 수영구 수영로540번길 36, 2층 (광안동)",부산광역시 수영구 광안동 169-36,129.1140812,35.15345841
수영구,파라스테이,호스텔업,영업,202506,,"부산광역시 수영구 광안해변로 245, 2층 (민락동)",부산광역시 수영구 민락동 178-16,129.1206574,35.15496269
수영구,옹드빌라,호스텔업,영업,202506,,"부산광역시 수영구 광안해변로294번길 36, 3층 (민락동)",부산광역시 수영구 민락동 181-133,129.1261528,35.15482997
수영구,지니스테이,호스텔업,영업,202506,,"부산광역시 수영구 민락수변로 109, 화선빌딩 4층 (민락동)",부산광역시 수영구 민락동 110-49 화선빌딩,129.1324364,35.15481205
수영구,요재,호스텔업,영업,202505,,"부산광역시 수영구 무학로9번길 94, 3층 (광안동)",부산광역시 수영구 광안동 88-2,129.1158516,35.16591029
수영구,모루,호스텔업,영업,202505,,"부산광역시 수영구 광안해변로 239, 광안샤인빌딩 4층 (민락동)",부산광역시 수영구 민락동 179-1 광안샤인빌딩,129.120109,35.15478259
부산진구,더 스테이 챕터,호스텔업,영업,202505,,"부산광역시 부산진구 서전로58번길 16, 3층 (전포동)",부산광역시 부산진구 전포동 207-75,129.0659713,35.15708301
부산진구,스페이스:연,호스텔업,영업,202504,,"부산광역시 부산진구 성지로8번길 10 (연지동, 연지아담재)",부산광역시 부산진구 연지동 42-12 아미스테이,129.0565594,35.17151821
수영구,안리고택3,호스텔업,영업,202503,,"부산광역시 수영구 광안해변로 249, 249타워 7층 (민락동)",부산광역시 수영구 민락동 178-13 249타워,129.1211643,35.15515991
수영구,광안사계스테이,호스텔업,영업,202503,,"부산광역시 수영구 광안해변로344번길 17-17, 수변PLAZA 4층 (민락동)",부산광역시 수영구 민락동 110-45 수변PLAZA,129.1315403,35.15530006
수영구,리온스테이,호스텔업,영업,202503,,"부산광역시 수영구 광안해변로279번길 22, 2~4층 (민락동)",부산광역시 수영구 민락동 181-46,129.1252487,35.15656571
수영구,더오다,호스텔업,영업,202503,,"부산광역시 수영구 광남로 103-3, 8~9층 (광안동)",부산광역시 수영구 광안동 183-16,129.1147665,35.1512226
부산진구,유나리아하우스2,호스텔업,영업,202501,,"부산광역시 부산진구 서전로38번길 9-7, 5층 (전포동)",부산광역시 부산진구 전포동 674-21,129.0642104,35.15732686
부산진구,MomManStay,호스텔업,영업,202501,,"부산광역시 부산진구 서전로58번길 23, 3~5층 (전포동)",부산광역시 부산진구 전포동 305-29,129.0662182,35.15674205
부산진구,207stay korea,호스텔업,영업,202501,,"부산광역시 부산진구 서전로58번길 100, 3,4층 (전포동)",부산광역시 부산진구 전포동 346-64,129.0659996,35.15334173
수영구,더바이브광안,호스텔업,영업,202410,,"부산광역시 수영구 민락수변로 7, OK타운 6층 (민락동)",부산광역시 수영구 민락동 181-86 OK타운,129.1240862,35.15514368
수영구,프레임인,호스텔업,영업,202410,,"부산광역시 수영구 광안해변로255번길 52, 4~5층 (민락동)",부산광역시 수영구 민락동 166-20,129.1208819,35.15730762
수영구,힐조인광안,호스텔업,영업,202410,,"부산광역시 수영구 민락수변로 9-1, 5층 (민락동)",부산광역시 수영구 민락동 181-137,129.124066,35.15492253
수영구,오로라핑크,호스텔업,영업,202410,,"부산광역시 수영구 광안해변로255번길 16, 2층 (민락동)",부산광역시 수영구 민락동 175-13,129.1216759,35.1558129
수영구,샌드스테이,호스텔업,영업,202409,,"부산광역시 수영구 광안해변로279번길 29 (민락동, 유정)",부산광역시 수영구 민락동 181-45 샌드스테이,129.125326,35.15687733
수영구,빌라드브릿지,호스텔업,영업,202409,,"부산광역시 수영구 광안해변로344번길 17-11, 나포리빌딩 6층 (민락동)",부산광역시 수영구 민락동 110-44 나포리빌딩,129.1313699,35.15526077
수영구,고요하우스,호스텔업,영업,202409,,"부산광역시 수영구 광안해변로 235, 10층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,빌라오몬도,호스텔업,영업,202409,,"부산광역시 수영구 광안로 51, 3~5층 (광안동)",부산광역시 수영구 광안동 158-61,129.1179164,35.15518586
수영구,마이애미오렌지,호스텔업,영업,202409,,"부산광역시 수영구 광안해변로284번길 4, 3~4층 (민락동)",부산광역시 수영구 민락동 181-70,129.1247499,35.15572269
수영구,메종 별바다 광안,호스텔업,영업,202407,,"부산광역시 수영구 광안해변로 179, 6층 (광안동)",부산광역시 수영구 광안동 200-4,129.1157665,35.15059728
수영구,부산게스트하우스 노마드인부산,호스텔업,영업,202406,,"부산광역시 수영구 민락본동로11번길 21, 2층 (민락동)",부산광역시 수영구 민락동 140-5,129.1273803,35.15759862
수영구,스테이까사,호스텔업,영업,202406,,"부산광역시 수영구 민락수변로 5, 성진회센터 8층 (민락동)",부산광역시 수영구 민락동 181-204 성진회센터,129.1238997,35.15531677
수영구,알리스테이,호스텔업,영업,202405,,"부산광역시 수영구 민락수변로 127-7, 4,5층 (민락동)",부산광역시 수영구 민락동 110-83,129.1339803,35.15544184
수영구,광안희,호스텔업,영업,202405,,"부산광역시 수영구 민락수변로7번길 26, 3~4층 (민락동)",부산광역시 수영구 민락동 181-87,129.1251454,35.15537853
수영구,THE누리다,호스텔업,영업,202405,,"부산광역시 수영구 광안해변로 292, 마린랜드 10층 (민락동)",부산광역시 수영구 민락동 181-97 마린랜드,129.125615,35.15603961
수영구,브리타니 광안,호스텔업,영업,202405,,"부산광역시 수영구 광안해변로344번길 17-5, 마린리치 5층 (민락동)",부산광역시 수영구 민락동 110-42 마린리치,129.1310297,35.15518199
수영구,스테이 너울,호스텔업,영업,202404,,"부산광역시 수영구 민락수변로17번길 9, 4층 (민락동)",부산광역시 수영구 민락동 181-176,129.1244888,35.15447483
수영구,보다스테이 6호점(캠핑),호스텔업,영업,202403,,"부산광역시 수영구 민락로19번길 21, 4층 (민락동)",부산광역시 수영구 민락동 173-15,129.1215672,35.15633195
수영구,Stay Lazy Morning,호스텔업,영업,202402,,"부산광역시 수영구 광안해변로 235, 6층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,온유지스테이,호스텔업,영업,202402,,"부산광역시 수영구 광안해변로 235, 8~9층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,루미나 더 광안,호스텔업,영업,202401,,"부산광역시 수영구 광남로142번길 9, 2층 (광안동)",부산광역시 수영구 광안동 191-14 서울깍두기,129.1178391,35.15390357
수영구,부산 하루스위트 광안리 풀빌라 펜션,호스텔업,영업,202401,,"부산광역시 수영구 광안해변로344번길 17-22, 나경크리스탈 타워 10층 (민락동)",부산광역시 수영구 민락동 110-28 나경크리스탈 타워,129.1319768,35.15503573
수영구,모이지 게스트하우스,호스텔업,영업,202312,,"부산광역시 수영구 광안해변로294번길 26, 4~5층 (민락동)",부산광역시 수영구 민락동 181-125,129.1260101,35.15523585
수영구,해피앤러브,호스텔업,영업,202310,,"부산광역시 수영구 민락본동로11번길 66, 4~6층 (민락동)",부산광역시 수영구 민락동 35-4,129.1251065,35.15700129
수영구,그레이193호텔,호스텔업,영업,202309,,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 B동 4층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,129.12452,35.15396447
수영구,이집풀빌라,호스텔업,영업,202309,,"부산광역시 수영구 민락수변로 125, 골든뷰 8층 (민락동)",부산광역시 수영구 민락동 110-87 골든뷰,129.1340572,35.15526712
수영구,까사밀락,호스텔업,영업,202309,,"부산광역시 수영구 민락본동로11번길 5, 3~4층 (민락동)",부산광역시 수영구 민락동 130-2,129.1282589,35.1578672
수영구,감성온도광안,호스텔업,영업,202308,,"부산광역시 수영구 광안해변로344번길 17-5, 마린리치 7층 (민락동)",부산광역시 수영구 민락동 110-42 마린리치,129.1310297,35.15518199
수영구,보다스테이 1호점,호스텔업,영업,202308,,"부산광역시 수영구 민락수변로 125, 골든뷰 10층 (민락동)",부산광역시 수영구 민락동 110-87 골든뷰,129.1340572,35.15526712
수영구,STAY 고우담 광안점,호스텔업,영업,202307,,"부산광역시 수영구 남천바다로 13, 2층 (광안동)",부산광역시 수영구 광안동 188-4,129.1123068,35.14981179
수영구,보다스테이,호스텔업,영업,202306,,"부산광역시 수영구 민락로13번길 21, 금샘빌딩 3,4층 (민락동)",부산광역시 수영구 민락동 175-19 금샘빌딩,129.1215861,35.1561703
수영구,광안어썸,호스텔업,영업,202306,,"부산광역시 수영구 광안해변로 249, 249타워 6층 (민락동)",부산광역시 수영구 민락동 178-13 249타워,129.1211643,35.15515991
수영구,언플랜드88,호스텔업,영업,202306,,"부산광역시 수영구 남천바다로33번길 47, 마린빌딩 7,8층 (광안동)",부산광역시 수영구 광안동 199-6 마린빌딩,129.115311,35.1504937
수영구,스테이웨이인,호스텔업,영업,202306,,"부산광역시 수영구 민락수변로 125, 골든뷰 7층 (민락동)",부산광역시 수영구 민락동 110-87 골든뷰,129.1340572,35.15526712
