행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
강서구,에스에스제이제이 커피바(SSJJ COFFEE BAR),감성주점,영업/정상,영업,202308,,"부산광역시 강서구 신호일로140번길 32, 1층 (신호동)",부산광역시 강서구 신호동 263-6,128.87945136,35.0801958
강서구,(주)아말피소울,경양식,영업/정상,영업,202308,,"부산광역시 강서구 가덕해안로 600, 1층 (천성동)",부산광역시 강서구 천성동 1581,128.81044707,35.04269775
강서구,(주)오션공칠일,경양식,영업/정상,영업,201806,,"부산광역시 강서구 명지국제8로 30, 플러스존2 제1동 6층 609호 (명지동)",부산광역시 강서구 명지동 3586-1 플러스존2,128.90174274,35.09455996
강서구,88제육 명지점,경양식,영업/정상,영업,202204,,"부산광역시 강서구 명지오션시티8로42번길 6, 1층 (명지동)",부산광역시 강서구 명지동 3263-5,128.91082529,35.08478978
강서구,生수제돈가츠,경양식,영업/정상,영업,201503,,부산광역시 강서구 과학산단로334번다길 37 (지사동),부산광역시 강서구 지사동 1189-5,128.83476144,35.14972174
강서구,강서구지역자활센터(파스타크래프트 강서구청점),경양식,영업/정상,영업,202511,,"부산광역시 강서구 대저로 269, 1층 일부 (대저1동)",부산광역시 강서구 대저1동 2373-2,128.98194671,35.21320591
강서구,고고미,경양식,영업/정상,영업,202101,,부산광역시 강서구 가덕해안로 655 (천성동),부산광역시 강서구 천성동 1480,128.81297518,35.03826528
강서구,고메이키친,경양식,영업/정상,영업,202312,,"부산광역시 강서구 가락대로900번길 49, 1층 (범방동)",부산광역시 강서구 범방동 1850-1,128.88321583,35.15279031
강서구,고스고스2,경양식,영업/정상,영업,202306,,"부산광역시 강서구 공항로 1315, 3층 일부 (대저1동)",부산광역시 강서구 대저1동 395-25,128.98834989,35.21526108
강서구,고피자 스타필드시티명지점,경양식,영업/정상,영업,202309,,"부산광역시 강서구 명지국제6로 168, 스타필드 시티 명지점 1층 1142호 (명지동)",부산광역시 강서구 명지동 3438 스타필드 시티 명지점,128.91823425,35.09317394
강서구,공항족발,경양식,영업/정상,영업,202212,,"부산광역시 강서구 공항앞길 12, 1층 일부호 (대저2동)",부산광역시 강서구 대저2동 1837-4,128.95416547,35.18028442
강서구,그리움,경양식,영업/정상,영업,202304,,"부산광역시 강서구 에코델타스마트로5길 10, 1층 (명지동)",부산광역시 강서구 명지동 3006-5,128.91394819,35.1304346
강서구,꽃다방,경양식,영업/정상,영업,202102,,"부산광역시 강서구 명지국제8로10번길 51, 108호 (명지동)",부산광역시 강서구 명지동 3587-1,128.90155737,35.09391139
