index,연도,지역구분,지역명,가동사업자_총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
0,2023,전국,전국,9950368,1302189,8648179,5219560,2111809,1316810
1,2023,부산전체,부산,586374,67832,518542,307138,136441,74963
2,2023,부산구군,강서구,47711,8187,39524,29647,5730,4147
3,2023,부산구군,금정구,36131,3874,32257,18400,9309,4548
4,2023,부산구군,기장군,32957,3914,29043,17812,7141,4090
5,2023,부산구군,남구,36417,4033,32384,17665,9045,5674
6,2023,부산구군,동구,24416,3211,21205,13438,5599,2168
7,2023,부산구군,동래구,39391,3757,35634,18719,10917,5998
8,2023,부산구군,부산진구,65245,6244,59001,34343,15785,8873
9,2023,부산구군,북구,29652,2144,27508,13947,9217,4344
10,2023,부산구군,사상구,45287,5147,40140,26938,9509,3693
11,2023,부산구군,사하구,38332,3755,34577,18859,10983,4735
12,2023,부산구군,서구,15088,1861,13227,6997,4046,2184
13,2023,부산구군,수영구,33785,3104,30681,17041,8048,5592
14,2023,부산구군,연제구,33615,4017,29598,16441,8260,4897
15,2023,부산구군,영도구,14883,1628,13255,7628,4284,1343
16,2023,부산구군,중구,22347,3287,19060,13217,4171,1672
17,2023,부산구군,해운대구,71117,9669,61448,36046,14397,11005
18,2024,전국,전국,10145150,1347683,8797467,5235718,2225573,1336176
19,2024,부산전체,부산,590171,69833,520338,303295,141843,75200
20,2024,부산구군,강서구,48363,8492,39871,29848,5767,4256
21,2024,부산구군,금정구,35987,3980,32007,17722,9761,4524
22,2024,부산구군,기장군,33311,4087,29224,17701,7348,4175
23,2024,부산구군,남구,36691,4211,32480,17432,9359,5689
24,2024,부산구군,동구,24444,3329,21115,13141,5789,2185
25,2024,부산구군,동래구,39905,3840,36065,18484,11533,6048
26,2024,부산구군,부산진구,65888,6368,59520,33862,16659,8999
27,2024,부산구군,북구,29750,2180,27570,13707,9575,4288
28,2024,부산구군,사상구,45051,5218,39833,26494,9672,3667
29,2024,부산구군,사하구,38692,3955,34737,18614,11408,4715
30,2024,부산구군,서구,14997,1829,13168,6829,4182,2157
31,2024,부산구군,수영구,34234,3217,31017,17033,8387,5597
32,2024,부산구군,연제구,34269,4116,30153,16476,8715,4962
33,2024,부산구군,영도구,14826,1674,13152,7421,4379,1352
34,2024,부산구군,중구,21931,3328,18603,12675,4290,1638
35,2024,부산구군,해운대구,71832,10009,61823,35856,15019,10948
36,2025,전국,전국,10321407,1386879,8934528,5312467,2270038,1352023
37,2025,부산전체,부산,593221,71660,521561,304052,142094,75415
38,2025,부산구군,강서구,49439,8832,40607,30283,5900,4424
39,2025,부산구군,금정구,35835,4055,31780,17506,9756,4518
40,2025,부산구군,기장군,33808,4227,29581,17853,7487,4241
41,2025,부산구군,남구,37135,4312,32823,17735,9398,5690
42,2025,부산구군,동구,24651,3363,21288,13269,5826,2193
43,2025,부산구군,동래구,40151,3975,36176,18728,11386,6062
44,2025,부산구군,부산진구,66105,6524,59581,33683,16833,9065
45,2025,부산구군,북구,29733,2316,27417,13702,9422,4293
46,2025,부산구군,사상구,44645,5274,39371,26186,9551,3634
47,2025,부산구군,사하구,38654,4054,34600,18636,11259,4705
48,2025,부산구군,서구,14909,1821,13088,6804,4136,2148
49,2025,부산구군,수영구,35054,3489,31565,17155,8763,5647
50,2025,부산구군,연제구,34437,4165,30272,16663,8680,4929
51,2025,부산구군,영도구,14752,1695,13057,7427,4305,1325
52,2025,부산구군,중구,21745,3354,18391,12516,4247,1628
53,2025,부산구군,해운대구,72168,10204,61964,35906,15145,10913
