행정구명,사업장명,대분류,업태구분명,보조업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도,원본출처,통합원본행수
강서구,(사)한국생활개선부산광역시연합회,일반음식점,한식,,폐업,폐업,202404,202404,,부산광역시 강서구 대저1동 1-23,128.97834607,35.20500099,부산_일반음식점_전체.csv,1
강서구,(사)한국생활개선부산광역시연합회,일반음식점,한식,,폐업,폐업,202504,202504,"부산광역시 강서구 공항로 1246, 대저생태공원 유채꽃 경관단지 일원 (대저1동)",부산광역시 강서구 대저1동 2314-11 대저생태공원 유채꽃 경관단지 일원,,,부산_일반음식점_전체.csv,1
강서구,(사)한국생활개선부산광역시연합회,일반음식점,한식,,폐업,폐업,202604,202604,"부산광역시 강서구 공항로 1246, 대저생태공원 일원 (대저1동)",부산광역시 강서구 대저1동 2314-11 대저생태공원 관리사무소,,,부산_일반음식점_전체.csv,1
강서구,(주)밸류홀딩스 크랩포차 명지점,일반음식점,식육(숯불구이),,폐업,폐업,201811,202412,"부산광역시 강서구 명지국제6로232번길 3, 201,202호 2층 (명지동)","부산광역시 강서구 명지동 3442-5 201,202호",128.92305115,35.09625844,부산_일반음식점_전체.csv,1
강서구,(주)부농에프앤에스 홈반,일반음식점,한식,,영업,영업,201708,,"부산광역시 강서구 대저로197번길 19, 2동 2층 (대저1동)",부산광역시 강서구 대저1동 750-19 2층 2동,128.97453101,35.21566295,부산_일반음식점_전체.csv,1
강서구,(주)부농에프앤에스 홈반점(HOME BAN),일반음식점,한식,,영업,영업,201804,,"부산광역시 강서구 대저로197번길 19, 3동 (대저1동)",부산광역시 강서구 대저1동 750-19 3동,128.97453101,35.21566295,부산_일반음식점_전체.csv,1
강서구,(주)서린골프,일반음식점,분식,,폐업,폐업,201907,202306,"부산광역시 강서구 명지국제1로 60-1, SR빌딩 9층 906호 (명지동)",부산광역시 강서구 명지동 3597-2 SR빌딩 906호,128.90543683,35.09423979,부산_일반음식점_전체.csv,1
강서구,(주)아말피소울,일반음식점,경양식,,영업,영업,202308,,"부산광역시 강서구 가덕해안로 600, 1층 (천성동)",부산광역시 강서구 천성동 1581,128.81044707,35.04269775,부산_일반음식점_전체.csv,1
강서구,(주)에스에스클럽 하이스트CC 클럽하우스,일반음식점,한식,,영업,영업,200811,,부산광역시 강서구 과학산단1로 172 (지사동),부산광역시 강서구 지사동 산 207,128.81222705,35.13774135,부산_일반음식점_전체.csv,1
강서구,(주)에스에스클럽 하이스트CC 티하우스,일반음식점,한식,,영업,영업,201211,,"부산광역시 강서구 과학산단1로 172 (지사동,외20필지)",부산광역시 강서구 지사동 산 207 외20필지,128.81222705,35.13774135,부산_일반음식점_전체.csv,1
강서구,(주)오션공칠일,일반음식점,경양식,,영업,영업,201806,,"부산광역시 강서구 명지국제8로 30, 플러스존2 제1동 6층 609호 (명지동)",부산광역시 강서구 명지동 3586-1 플러스존2,128.90174274,35.09455996,부산_일반음식점_전체.csv,1
강서구,(주)지씨에스 부산강서자이에코델타,일반음식점,한식,,폐업,폐업,202210,202409,,부산광역시 강서구 강동동 4998-4,128.91503811,35.14239126,부산_일반음식점_전체.csv,1
강서구,(주)지씨에스 부산조리센터,일반음식점,한식,,영업,영업,202305,,"부산광역시 강서구 대저로 205, 1층 일부 (대저1동)",부산광역시 강서구 대저1동 745-1,128.97521188,35.21479215,부산_일반음식점_전체.csv,1
강서구,(주)캐스크앤 뀌베 명지점,일반음식점,기타,,영업,영업,202306,,"부산광역시 강서구 명지국제2로 41, 판매시설동 126호 (명지동, 더샵 명지퍼스트월드 3단지)",부산광역시 강서구 명지동 3595-3 더샵 명지퍼스트월드 3단지,128.90604782,35.09557057,부산_일반음식점_전체.csv,1
강서구,(주)푸르웰 가덕해양Park 푸드코트2,일반음식점,한식,,영업,영업,201012,,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6 외25필지,128.80787022,35.02284212,부산_일반음식점_전체.csv,1
강서구,(주)히어로플레이파크 명지,일반음식점,식육(숯불구이),,폐업,폐업,201905,202310,"부산광역시 강서구 명지국제8로10번길 51, 씨엘주차타워 6층 601호일부, 602호, 603호 (명지동)","부산광역시 강서구 명지동 3587-1 씨엘주차타워 6층 601호일부, 602호, 603호",128.90155737,35.09391139,부산_일반음식점_전체.csv,1
강서구,101(일공일),일반음식점,분식,,폐업,폐업,202407,202604,"부산광역시 강서구 명지오션시티11로 22, 119동 101 일부호 (명지동, 명지 두산위브 포세이돈)",부산광역시 강서구 명지동 3234 명지 두산위브 포세이돈,128.897766,35.08312961,부산_일반음식점_전체.csv,1
강서구,11월23일,일반음식점,분식,,폐업,폐업,202106,202604,"부산광역시 강서구 명지오션시티10로 114, 115동 B104 일부호 (명지동, 명지오션시티삼정그린코아)",부산광역시 강서구 명지동 3246 명지오션시티삼정그린코아 115동,128.90859116,35.08550337,부산_일반음식점_전체.csv,1
강서구,11층(11TH FLOOR),일반음식점,기타,,영업,영업,201812,,"부산광역시 강서구 명지국제1로 56-1, 플러스타워 1동 11층 1107호 (명지동)",부산광역시 강서구 명지동 3598-2 플러스타워 1동 1107호,128.90536024,35.0936448,부산_일반음식점_전체.csv,1
강서구,1329 삼겹살 돼지갈비,일반음식점,한식,,영업,영업,202307,,부산광역시 강서구 서천로 97 (천성동),부산광역시 강서구 천성동 1329,128.81231223,35.03244136,부산_일반음식점_전체.csv,1
강서구,153구포국수 명지점,일반음식점,분식,,영업,영업,201812,,"부산광역시 강서구 명지국제8로 246, 에이스프라자 105호 (명지동)",부산광역시 강서구 명지동 3412-6 105호,128.91962501,35.09773012,부산_일반음식점_전체.csv,1
강서구,1966노을,일반음식점,호프/통닭,,영업,영업,201910,,"부산광역시 강서구 가덕해안로 787-1, 2층 (천성동)",부산광역시 강서구 천성동 643 2층,128.8157974,35.02818471,부산_일반음식점_전체.csv,1
강서구,1966정원,일반음식점,호프/통닭,,영업,영업,201910,,"부산광역시 강서구 가덕해안로 787-1, 1층 (천성동)",부산광역시 강서구 천성동 643 1층,128.8157974,35.02818471,부산_일반음식점_전체.csv,1
강서구,1980(일구팔영),일반음식점,한식,,폐업,폐업,202012,202302,"부산광역시 강서구 명지국제8로 289, 팔봉프라자 3층 301호 일부호 (명지동)",부산광역시 강서구 명지동 3395-5 팔봉프라자,128.92445109,35.09792192,부산_일반음식점_전체.csv,1
강서구,1984반찬,일반음식점,한식,,폐업,폐업,202011,202401,"부산광역시 강서구 명지국제4로208번길 24, 늘사랑빌 1층 일부호 (명지동)",부산광역시 강서구 명지동 3315-11 늘사랑빌,128.92117885,35.11113252,부산_일반음식점_전체.csv,1
강서구,1987대패집,일반음식점,식육(숯불구이),,영업,영업,201712,,"부산광역시 강서구 명지국제12로 7-3, 1층 (명지동)",부산광역시 강서구 명지동 3503-4,128.92179872,35.10527898,부산_일반음식점_전체.csv,1
강서구,1호선치킨,일반음식점,호프/통닭,,영업,영업,201704,,부산광역시 강서구 동선1길 128 (동선동),부산광역시 강서구 동선동 1061-6,128.83319866,35.05512592,부산_일반음식점_전체.csv,1
강서구,24시전주명가콩나물국밥 부산신호점,일반음식점,한식,,영업,영업,201901,,"부산광역시 강서구 신호사로 64, 1층 (신호동)",부산광역시 강서구 신호동 221 1층,128.87999969,35.0854666,부산_일반음식점_전체.csv,1
강서구,25센치 꼬치앤오뎅바,일반음식점,기타,,영업,영업,202307,,"부산광역시 강서구 명지국제2로28번길 26, 퍼스트삼융 114호 (명지동)",부산광역시 강서구 명지동 3603-5 퍼스트삼융,128.90920953,35.09330672,부산_일반음식점_전체.csv,1
강서구,25센치(명지신호점),일반음식점,호프/통닭,,영업,영업,201804,,"부산광역시 강서구 신호이로49번길 9, 1층 104호 (신호동)",부산광역시 강서구 신호동 219-14,128.87794198,35.08470395,부산_일반음식점_전체.csv,1
강서구,25센치꼬지엔오뎅바 명지점,일반음식점,기타,,폐업,폐업,202004,202308,"부산광역시 강서구 명지국제12로 25, 1층 일부호 (명지동)",부산광역시 강서구 명지동 3510-5 1층 일부,128.92386238,35.10487244,부산_일반음식점_전체.csv,1
강서구,25센치꼬지엔오뎅바 명지점,일반음식점,정종/대포집/소주방,,폐업,폐업,202308,202312,"부산광역시 강서구 명지국제12로 25, 1층 일부 (명지동)",부산광역시 강서구 명지동 3510-5,128.92386238,35.10487244,부산_일반음식점_전체.csv,1
강서구,302키친,일반음식점,호프/통닭,,영업,영업,201504,,부산광역시 강서구 신호오로 51-1 (신호동),부산광역시 강서구 신호동 232-20,128.87871746,35.08346133,부산_일반음식점_전체.csv,1
강서구,33떡볶이&꼬마김밥 신호점,일반음식점,한식,,영업,영업,201907,,"부산광역시 강서구 신호사로64번길 7, 1층 일부 (신호동)",부산광역시 강서구 신호동 222-18 1층 일부,128.87999872,35.08506843,부산_일반음식점_전체.csv,1
강서구,365부산밀면 대저점,일반음식점,냉면집,,영업,영업,201904,,"부산광역시 강서구 대저로 257, 1층 일부 (대저1동)",부산광역시 강서구 대저1동 2378-4 1층 일부,128.98080107,35.21379189,부산_일반음식점_전체.csv,1
강서구,4242샌드위치 지사점,일반음식점,한식,,폐업,폐업,201409,202504,"부산광역시 강서구 과학산단2로20번길 69, 상가B동 109호 (지사동)",부산광역시 강서구 지사동 1184-1 상가B동 109호,128.83781402,35.15190936,부산_일반음식점_전체.csv,1
강서구,59쌀피자&수다방,일반음식점,기타,,폐업,폐업,201802,202302,"부산광역시 강서구 공항앞길163번길 111, 1층 일부 (대저2동)",부산광역시 강서구 대저2동 3131-1,128.95132122,35.17315801,부산_일반음식점_전체.csv,1
강서구,60계치킨 명지국제신도시점,일반음식점,호프/통닭,,영업,영업,201803,,"부산광역시 강서구 명지국제12로11번길 15-23, 일부 1층 (명지동)",부산광역시 강서구 명지동 3488-1,128.92156516,35.10672497,부산_일반음식점_전체.csv,1
강서구,60계치킨 명지포스코점,일반음식점,호프/통닭,,영업,영업,202307,,"부산광역시 강서구 명지국제2로 41, 판매시설동 109호 (명지동, 더샵 명지퍼스트월드 3단지)",부산광역시 강서구 명지동 3595-3 더샵 명지퍼스트월드 3단지,128.90604782,35.09557057,부산_일반음식점_전체.csv,1
강서구,60계치킨 부산신호점,일반음식점,호프/통닭,,영업,영업,202107,,"부산광역시 강서구 신호이로49번길 11, 1층 104호 (신호동)",부산광역시 강서구 신호동 219-13,128.87814597,35.08470407,부산_일반음식점_전체.csv,1
강서구,60계치킨 부산에코델타시티점,일반음식점,호프/통닭,,영업,영업,202510,,"부산광역시 강서구 에코델타3로 43, 근린생활시설 1동 101호 (강동동, 에코델타시티 푸르지오 린)",부산광역시 강서구 강동동 5022 에코델타시티 푸르지오 린 근린생활시설 1동 101호,128.91870793,35.14127637,부산_일반음식점_전체.csv,1
강서구,79 대포 명지더샵점,일반음식점,정종/대포집/소주방,,폐업,폐업,202308,202510,"부산광역시 강서구 명지국제2로 41, 지하 1층 123호 (명지동, 더샵 명지퍼스트월드 3단지)",부산광역시 강서구 명지동 3595-3 더샵 명지퍼스트월드 3단지,128.90604782,35.09557057,부산_일반음식점_전체.csv,1
강서구,79국수,일반음식점,한식,,폐업,폐업,202301,202407,"부산광역시 강서구 명지국제2로28번길 23, 2동 141호 (명지동)",부산광역시 강서구 명지동 3432-1,128.91026041,35.09356237,부산_일반음식점_전체.csv,1
강서구,88제육 명지점,일반음식점,경양식,,영업,영업,202204,,"부산광역시 강서구 명지오션시티8로42번길 6, 1층 (명지동)",부산광역시 강서구 명지동 3263-5,128.91082529,35.08478978,부산_일반음식점_전체.csv,1
강서구,88쪽갈비,일반음식점,식육(숯불구이),,폐업,폐업,202112,202503,"부산광역시 강서구 명지오션시티4로 100, 102호 (명지동)",부산광역시 강서구 명지동 3237-10,128.90327096,35.08020075,부산_일반음식점_전체.csv,1
강서구,88포장마차 명지국제점,일반음식점,기타,,영업,영업,202005,,"부산광역시 강서구 명지국제6로232번길 2, 1층 3, 4호 (명지동)","부산광역시 강서구 명지동 3453-1 1층 3, 4호",128.92300452,35.09595411,부산_일반음식점_전체.csv,1
강서구,8선곱창전골(팔선곱창전골),일반음식점,한식,,폐업,폐업,202101,202510,"부산광역시 강서구 명지국제8로 254, 시온플라자 1층 111호 (명지동)",부산광역시 강서구 명지동 3420-2 시온플라자 111호,128.92054543,35.0976358,부산_일반음식점_전체.csv,1
강서구,990한줄애김밥 명지오션시티점,일반음식점,분식,,영업,영업,202204,,"부산광역시 강서구 명지오션시티3로 7, 1층 일부호 (명지동)",부산광역시 강서구 명지동 3238-2,128.90299236,35.0836123,부산_일반음식점_전체.csv,1
강서구,BBQ(비비큐) 명지점,일반음식점,호프/통닭,,영업,영업,201602,,"부산광역시 강서구 명지오션시티6로 33, B103,B104호 (명지동, 엘크루 블루오션)",부산광역시 강서구 명지동 3243 엘크루 블루오션,128.90937636,35.08302566,부산_일반음식점_전체.csv,1
강서구,BHC 명지국제점,일반음식점,호프/통닭,,영업,영업,201805,,"부산광역시 강서구 명지국제5로 141, 303동 지하1층 307호 (명지동, 명지 협성휴포레)",부산광역시 강서구 명지동 3328 명지 협성휴포레 303동 307호,128.92017513,35.10642541,부산_일반음식점_전체.csv,1
강서구,BHC 통닭,일반음식점,호프/통닭,,영업,영업,202311,,"부산광역시 강서구 낙동남로 614, 1층 일부 (녹산동)",부산광역시 강서구 녹산동 184,128.88644452,35.11415177,부산_일반음식점_전체.csv,1
강서구,BHC지사점,일반음식점,통닭(치킨),,영업,영업,201312,,"부산광역시 강서구 과학산단2로20번길 69, 상가B동 113호 (지사동)",부산광역시 강서구 지사동 1184-1 상가B동 113호,128.83781402,35.15190936,부산_일반음식점_전체.csv,1
강서구,CGV부산명지매점,일반음식점,기타,,영업,영업,202112,,"부산광역시 강서구 명지국제8로10번길 38, 901호 (명지동)",부산광역시 강서구 명지동 3586-4,128.90312045,35.09443782,부산_일반음식점_전체.csv,1
강서구,Real 닭꼬치 명지점,일반음식점,기타,,폐업,폐업,202206,202502,"부산광역시 강서구 명지국제2로28번길 23, 3동 103호 (명지동)",부산광역시 강서구 명지동 3432-1,128.91026041,35.09356237,부산_일반음식점_전체.csv,1
강서구,SLB 샐러드 명지점,일반음식점,기타,,폐업,폐업,202511,202606,"부산광역시 강서구 명지국제6로 168, 스타필드 시티 명지점 1층 1141호 (명지동)",부산광역시 강서구 명지동 3438 스타필드 시티 명지점,128.91823425,35.09317394,부산_일반음식점_전체.csv,1
강서구,again bar(어게인 바),일반음식점,기타,,폐업,폐업,201705,202606,"부산광역시 강서구 명지국제8로 289, 4층 401호 (명지동, 팔봉프라자)",부산광역시 강서구 명지동 3395-5 팔봉프라자 401호,128.92445109,35.09792192,부산_일반음식점_전체.csv,1
강서구,生수제돈가츠,일반음식점,경양식,,영업,영업,201503,,부산광역시 강서구 과학산단로334번다길 37 (지사동),부산광역시 강서구 지사동 1189-5,128.83476144,35.14972174,부산_일반음식점_전체.csv,1
강서구,가덕도1번지쌈밥,일반음식점,횟집,,폐업,폐업,201108,202603,부산광역시 강서구 가덕해안로 805 (천성동),부산광역시 강서구 천성동 585,128.81576207,35.02655975,부산_일반음식점_전체.csv,1
강서구,가덕도쉼터,일반음식점,한식,,영업,영업,201508,,"부산광역시 강서구 가덕해안로1212번길 46, 1층 (대항동)",부산광역시 강서구 대항동 392 1층,128.8270891,35.01411024,부산_일반음식점_전체.csv,1
강서구,가덕도천성항포차,일반음식점,횟집,,폐업,폐업,202006,202301,부산광역시 강서구 가덕해안로 801 (천성동),부산광역시 강서구 천성동 592,128.81581338,35.02681504,부산_일반음식점_전체.csv,1
강서구,가덕뒷고기,일반음식점,식육(숯불구이),,영업,영업,202604,,"부산광역시 강서구 동선1길 134, 1층 일부 (동선동)",부산광역시 강서구 동선동 1061-8 1층 일부,128.83291636,35.05531228,부산_일반음식점_전체.csv,1
강서구,가덕들깨옹심이,일반음식점,한식,,영업,영업,202602,,"부산광역시 강서구 선창길 68, 1층 (성북동)",부산광역시 강서구 성북동 102-1,128.83419809,35.06251519,부산_일반음식점_전체.csv,1
강서구,가덕명가,일반음식점,한식,,영업,영업,201410,,부산광역시 강서구 동선1길 80 (동선동),부산광역시 강서구 동선동 1064-5,128.83494467,35.05451488,부산_일반음식점_전체.csv,1
강서구,가덕식당,일반음식점,한식,,폐업,폐업,200203,202302,부산광역시 강서구 천가길 321-22 (성북동),부산광역시 강서구 성북동 364-1,128.8316602,35.05171037,부산_일반음식점_전체.csv,1
강서구,가덕식당,일반음식점,한식,,영업,영업,201706,,"부산광역시 강서구 동선1길 56, 1층 (동선동)",부산광역시 강서구 동선동 1063-5,128.83444313,35.05507766,부산_일반음식점_전체.csv,1
강서구,가덕유황오리,일반음식점,한식,,영업,영업,201601,,"부산광역시 강서구 가덕해안로773번길 166, 2층 (천성동)",부산광역시 강서구 천성동 117 2층,128.82146657,35.03098255,부산_일반음식점_전체.csv,1
강서구,가덕유황오리,일반음식점,한식,,영업,영업,201608,,"부산광역시 강서구 가덕해안로773번길 166, 1층 (천성동)",부산광역시 강서구 천성동 117 1층,128.82146657,35.03098255,부산_일반음식점_전체.csv,1
강서구,가덕호실네맛집,일반음식점,한식,,폐업,폐업,202209,202607,"부산광역시 강서구 가덕해안로 1129, 2층 (대항동)",부산광역시 강서구 대항동 379-11,128.82818405,35.01448187,부산_일반음식점_전체.csv,1
강서구,가덕횟집,일반음식점,기타,,영업,영업,200106,,"부산광역시 강서구 가덕해안로 1217 (대항동,, 237-2)","부산광역시 강서구 대항동 237-1 , 237-2",128.82736771,35.01173621,부산_일반음식점_전체.csv,1
강서구,가락이가밀면,일반음식점,냉면집,,영업,영업,202605,,부산광역시 강서구 가락대로 1397 (봉림동),부산광역시 강서구 봉림동 11-1,128.90402286,35.1895316,부산_일반음식점_전체.csv,1
강서구,가락한식식당,일반음식점,한식,,영업,영업,201411,,부산광역시 강서구 식만로 4 (죽림동),부산광역시 강서구 죽림동 715-2,128.90148732,35.19637193,부산_일반음식점_전체.csv,1
강서구,가련한부엌,일반음식점,호프/통닭,,영업,영업,201907,,"부산광역시 강서구 명지국제8로 286, 지봉빌딩2 1층 106,107호 (명지동)","부산광역시 강서구 명지동 3440-4 지봉빌딩2 106,107호",128.92404472,35.09729011,부산_일반음식점_전체.csv,1
강서구,가마로강정명지오션시티점,일반음식점,호프/통닭,,영업,영업,201711,,"부산광역시 강서구 명지오션시티4로 88, 1층 일부 (명지동)",부산광역시 강서구 명지동 3237-14,128.90326999,35.08116243,부산_일반음식점_전체.csv,1
강서구,가마솥 골목통닭,일반음식점,호프/통닭,,영업,영업,202510,,"부산광역시 강서구 에코중앙1로 33, 근린생활시설동 지하1층 115호 (강동동, 에코델타 스마트시티 수자인)",부산광역시 강서구 강동동 5058-9 에코델타 스마트시티 수자인,128.91572885,35.13951352,부산_일반음식점_전체.csv,1
강서구,가마솥 돼지국밥,일반음식점,한식,,폐업,폐업,201202,202302,부산광역시 강서구 화전산단4로30번길 25-16 (화전동),부산광역시 강서구 화전동 571-1,128.88231754,35.10974109,부산_일반음식점_전체.csv,1
강서구,가마솥 순대국밥,일반음식점,한식,,영업,영업,202511,,"부산광역시 강서구 대저들길17번길 323, 2동 1층 일부 (대저1동)",부산광역시 강서구 대저1동 1666-3 2동 1층 일부,128.95243236,35.21329299,부산_일반음식점_전체.csv,1
강서구,가마솥돼지국밥,일반음식점,한식,,영업,영업,201404,,"부산광역시 강서구 미음산단로 19, 1층 일부호 (구랑동)",부산광역시 강서구 구랑동 1205-1,128.85377254,35.12841635,부산_일반음식점_전체.csv,1
강서구,가마치 부산신호점,일반음식점,호프/통닭,,영업,영업,202308,,"부산광역시 강서구 신호이로49번길 3, 1층 104호 (신호동)",부산광역시 강서구 신호동 219-15,128.87772201,35.08470381,부산_일반음식점_전체.csv,1
강서구,가마치옛날통닭,일반음식점,호프/통닭,,폐업,폐업,201802,202504,"부산광역시 강서구 명지국제5로 59, 근린생활시설1동 1층 103호 (명지동, 명지1차 금강펜테리움 센트럴파크)",부산광역시 강서구 명지동 3354 명지1차 금강펜테리움 센트럴파크 근린생활시설1동 103호,128.9191972,35.09986066,부산_일반음식점_전체.csv,1
강서구,가마치통닭,일반음식점,호프/통닭,,영업,영업,202402,,"부산광역시 강서구 과학산단2로20번길 24, 1층 일부 (지사동)",부산광역시 강서구 지사동 1194-2 1층 일부,128.83322884,35.15050882,부산_일반음식점_전체.csv,1
